"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NCBC0083","2014-06","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","15","4,N","12","4,N","3","4,N","0","3,N","0","3,N","0","3,,N,30,+","0","3,,N,30,+","49.5","4,,N,14,","171.3","4,,,N","0","3,,,N"
"US1NCBC0083","2014-09","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","12","2,N","7","2,N","1","2,N","","","0","2,N","","","0","2,,N,30,+","77.5","2,,N,08,","128.8",",a,,N","0","2,,,N"
"US1NCBC0083","2014-10","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","10",",N","7",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","56.1",",,N,15,","102.8",",,,N","0",",,,N"
"US1NCBC0083","2014-11","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","6","4,N","5","4,N","1","4,N","0","5,N","1","4,N","0","5,,N,30,+","86","4,,N,01,","49.3","4,,N,24,","92.2","4,,,N","86","4,,,N"
"US1NCBC0083","2014-12","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","10","5,N","1","5,N","0","5,N","","","0","5,N","","","0","5,,N,31,+","10.4","5,,N,29,","66.9","2,a,,N","0","5,,,N"
"US1NCBC0083","2015-01","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","11",",N","6",",N","1",",N","0",",N","0",",N","0",",T,N,30,","0",",T,N,30,+","30.2",",,N,04,","69.9",",,,N","0",",T,,N"
"US1NCBC0083","2015-02","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","8",",N","6",",N","0",",N","3",",N","2",",N","122",",,N,26,","122",",,N,26,","16.8",",,N,02,","56.8",",,,N","193",",,,N"
"US1NCBC0083","2015-04","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","15","2,N","9","2,N","1","2,N","0","2,N","0","2,N","0","2,,N,30,+","0","2,,N,30,+","27.9","2,,N,20,","129.0","2,,,N","0","2,,,N"
"US1NCBC0083","2015-05","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","8",",N","3",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","21.1",",,N,12,","49.2",",,,N","0",",,,N"
"US1NCBC0083","2015-06","35.474264","-82.55825","632.5","ARDEN 2.4 WNW, NC US","15","2,N","10","2,N","2","2,N","0","1,N","0","1,N","0","1,,N,30,+","0","1,,N,30,+","35.8","2,,N,09,","138.8","2,,,N","0","1,,,N"
