"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NCJH0080","2017-08","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","10",",N","7",",N","2",",N","0",",N","0",",,N,31,+","58.9",",,N,13,","135.5",",,,N","0",",,,N"
"US1NCJH0080","2017-09","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","12",",N","6",",N","1",",N","0",",N","0",",,N,30,+","97.3",",,N,02,","169.8",",,,N","0",",,,N"
"US1NCJH0080","2017-10","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","8",",N","6",",N","2",",N","0","1,N","0","1,,N,31,+","29.7",",,N,29,","93.9",",,,N","0","1,,,N"
"US1NCJH0080","2017-11","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","7",",N","5",",N","0",",N","0",",N","0",",,N,30,+","14.7",",,N,08,","35.1",",,,N","0",",,,N"
"US1NCJH0080","2017-12","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","12",",N","6",",N","1",",N","0",",N","0",",T,N,28,+","47.5",",,N,09,","83.1",",,,N","0",",T,,N"
"US1NCJH0080","2018-01","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","9",",N","7",",N","1",",N","2",",N","58",",,N,04,","50.0",",,N,29,","96.1",",,,N","96",",,,N"
"US1NCJH0080","2018-02","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","12",",N","3",",N","0",",N","0",",N","0",",,N,28,+","19.3",",,N,05,","53.5",",,,N","0",",,,N"
"US1NCJH0080","2018-03","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","12",",N","7",",N","1",",N","1",",N","25",",,N,13,","28.4",",,N,25,","104.8",",,,N","25",",,,N"
"US1NCJH0080","2018-04","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","9",",N","5",",N","3",",N","0",",N","0",",,N,30,+","35.6",",,N,25,+","113.6",",,,N","0",",,,N"
"US1NCJH0080","2018-05","35.536","-78.1004","66.8","KENLY 4.2 SSE, NC US","15",",N","7",",N","2",",N","0",",N","0",",,N,31,+","48.3",",,N,18,","136.6",",,,N","0",",,,N"
