"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NCPT0057","2014-05","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","4","1,N","2","1,N","1","1,N","0","5,N","0","5,,N,31,+","65.3","1,,N,16,","75.2","1,,,N","0","5,,,N"
"US1NCPT0057","2014-06","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","10","4,N","8","4,N","0","4,N","","","","","23.9","4,,N,14,","102.4","2,a,,N","",""
"US1NCPT0057","2014-07","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","","","","","","","","","","","","","269.9",",a,,N","",""
"US1NCPT0057","2014-09","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","13","2,N","8","2,N","3","2,N","","","","","71.1","2,,N,08,","217.6","2,,,N","",""
"US1NCPT0057","2014-11","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","11","2,N","5","2,N","1","2,N","","","","","30.0","2,,N,26,","73.6","2,,,N","",""
"US1NCPT0057","2015-01","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","12","3,N","7","3,N","1","3,N","","","","","60.7","3,,N,13,","138.7","3,,,N","",""
"US1NCPT0057","2015-05","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","9","5,N","7","5,N","1","5,N","","","","","39.1","5,,N,11,","118.0","5,,,N","",""
"US1NCPT0057","2015-07","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","","","","","","","","","","","","","108.9","2,a,,N","",""
"US1NCPT0057","2015-09","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","16","3,N","12","3,N","3","3,N","","","","","37.6","3,,N,01,","202.6","3,,,N","",""
"US1NCPT0057","2015-10","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","12",",N","8",",N","3",",N","","","","","100.8",",,N,01,","240.0",",,,N","",""
"US1NCPT0057","2015-11","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","15",",N","10",",N","4",",N","","","","","38.9",",,N,03,","194.5",",,,N","",""
"US1NCPT0057","2015-12","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","16","3,N","8","3,N","2","3,N","","","","","26.7","3,,N,24,","126.5","3,,,N","",""
"US1NCPT0057","2016-01","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","6","3,N","3","3,N","1","3,N","","","","","44.2","3,,N,23,","89.7",",a,,N","",""
"US1NCPT0057","2016-03","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","8","2,N","6","2,N","0","2,N","","","","","16.5","2,,N,28,","58.4","2,,,N","",""
"US1NCPT0057","2016-04","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","10","1,N","8","1,N","2","1,N","","","","","27.2","1,,N,13,","111.5","1,,,N","",""
"US1NCPT0057","2016-05","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","","","","","","","","","","","","","175.8","2,a,,N","",""
"US1NCPT0057","2016-06","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","12","3,N","7","3,N","3","3,N","","","","","55.9","3,,N,24,","201.9",",a,,N","",""
"US1NCPT0057","2016-07","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","9","5,N","7","5,N","1","5,N","","","","","33.0","5,,N,09,","142.7","1,a,,N","",""
"US1NCPT0057","2016-09","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","12","1,N","9","1,N","4","1,N","","","","","110.5","1,,N,03,","334.4","1,,,N","",""
"US1NCPT0057","2016-10","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","5","1,N","4","1,N","1","1,N","","","","","176.0","1,,N,09,","212.6","1,,,N","",""
"US1NCPT0057","2016-11","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","9",",N","3",",N","0",",N","","","","","5.8",",,N,10,","20.4",",,,N","",""
"US1NCPT0057","2016-12","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","13","3,N","7","3,N","0","3,N","","","","","16.8","3,,N,05,","78.3","1,a,,N","",""
"US1NCPT0057","2017-01","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","16",",N","6",",N","0",",N","","","","","22.9",",,N,02,","76.9",",,,N","",""
"US1NCPT0057","2017-03","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","12","3,N","5","3,N","1","3,N","","","","","34.0","3,,N,14,","91.9","3,,,N","",""
"US1NCPT0057","2017-05","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","13",",N","9",",N","2",",N","","","","","42.7",",,N,02,","140.4",",,,N","",""
"US1NCPT0057","2017-06","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","7","4,N","5","4,N","1","4,N","","","","","63.5","4,,N,06,","139.5",",a,,N","",""
"US1NCPT0057","2017-09","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","9",",N","5",",N","1",",N","","","","","54.6",",,N,02,","95.9",",,,N","",""
"US1NCPT0057","2017-10","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","8","3,N","6","3,N","0","3,N","","","","","24.1","3,,N,29,","77.9",",a,,N","",""
"US1NCPT0057","2017-11","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","7",",N","6",",N","0",",N","","","","","10.2",",,N,08,","39.7",",,,N","",""
"US1NCPT0057","2018-01","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","7","4,N","5","4,N","1","4,N","","","","","30.5","4,,N,13,","112.3","1,a,,N","",""
"US1NCPT0057","2018-03","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","","","","","","","","","","","","","108.3","3,a,,N","",""
"US1NCPT0057","2018-05","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","13",",N","11",",N","1",",N","","","","","31.2",",,N,07,","149.4",",,,N","",""
"US1NCPT0057","2018-06","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","","","","","","","","","","","","","73.2",",a,,N","",""
"US1NCPT0057","2018-08","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","","","","","","","","","","","","","121.9","3,a,,N","",""
"US1NCPT0057","2018-09","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","12","2,N","8","2,N","4","2,N","","","","","101.1","2,,N,15,","340.1",",a,,N","",""
"US1NCPT0057","2018-10","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","8",",N","3",",N","1",",N","","","","","36.6",",,N,27,","52.1",",,,N","",""
"US1NCPT0057","2018-11","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","18",",N","11",",N","1",",N","","","","","45.7",",,N,13,","117.5",",,,N","",""
"US1NCPT0057","2018-12","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","10","2,N","8","2,N","2","2,N","","","","","30.2","2,,N,15,","140.9",",a,,N","",""
"US1NCPT0057","2019-01","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","","","","","","","","","","","","","86.6","2,a,,N","",""
"US1NCPT0057","2019-03","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","10","3,N","3","3,N","0","3,N","","","","","20.3","3,,N,21,","53.1","3,,,N","",""
"US1NCPT0057","2019-05","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","5",",N","2",",N","0",",N","","","","","3.3",",,N,12,","7.4",",,,N","",""
"US1NCPT0057","2019-06","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","12",",N","9",",N","2",",N","","","","","29.0",",,N,01,","160.9",",,,N","",""
"US1NCPT0057","2019-07","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","10","1,N","5","1,N","2","1,N","","","","","43.7","1,,N,24,","114.5","1,,,N","",""
"US1NCPT0057","2019-09","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","6","1,N","4","1,N","1","1,N","","","","","131.6","1,,N,06,","168.8","1,,,N","",""
"US1NCPT0057","2019-10","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","8",",N","6",",N","0",",N","","","","","19.3",",,N,17,","61.7",",,,N","",""
"US1NCPT0057","2020-01","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","7","2,N","7","2,N","1","2,N","","","","","32.0","2,,N,14,","105.0",",a,,N","",""
"US1NCPT0057","2020-03","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","14","1,N","5","1,N","1","1,N","","","","","27.7","1,,N,25,","71.0","1,,,N","",""
"US1NCPT0057","2020-04","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","15",",N","9",",N","1",",N","","","","","34.0",",,N,01,","82.3",",,,N","",""
"US1NCPT0057","2020-05","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","13","1,N","7","1,N","2","1,N","","","","","70.6","1,,N,01,","185.2","1,,,N","",""
"US1NCPT0057","2020-08","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","15","4,N","13","4,N","1","4,N","","","","","50.8","4,,N,04,","163.2","4,,,N","",""
"US1NCPT0057","2020-09","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","14",",N","9",",N","3",",N","","","","","63.8",",,N,30,","196.7",",,,N","",""
"US1NCPT0057","2020-10","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","6","1,N","3","1,N","1","1,N","","","","","33.8","1,,N,26,","51.4","1,,,N","",""
"US1NCPT0057","2020-11","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","6",",N","5",",N","2",",N","","","","","110.0",",,N,12,","206.8",",,,N","",""
"US1NCPT0057","2021-01","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","11","1,N","9","1,N","2","1,N","","","","","31.8","1,,N,03,","131.0","1,,,N","",""
"US1NCPT0057","2021-03","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","10",",N","6",",N","1",",N","","","","","34.5",",,N,17,","70.3",",,,N","",""
"US1NCPT0057","2021-05","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","10",",N","5",",N","1",",N","","","","","34.3",",,N,30,","73.1",",,,N","",""
"US1NCPT0057","2021-07","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","7","4,N","6","4,N","2","4,N","","","","","41.4","4,,N,27,","169.9",",a,,N","",""
"US1NCPT0057","2021-09","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","8",",N","3",",N","1",",N","","","","","29.2",",,N,23,","45.4",",,,N","",""
"US1NCPT0057","2021-10","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","5","2,N","2","2,N","0","2,N","","","","","13.2","2,,N,26,","45.0",",a,,N","",""
"US1NCPT0057","2021-11","35.6519012451172","-77.4536743164063","16.2","GREENVILLE 5.7 NW, NC US","5",",N","4",",N","0",",N","0","5,N","0","5,,N,30,+","10.7",",,N,23,","27.8",",,,N","0","5,,,N"
