"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NCSK0010","2016-10","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","2","3,N","2","3,N","1","3,N","","","","","48.3","3,,N,09,","68.6","3,,,N","",""
"US1NCSK0010","2016-11","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","3","2,N","2","2,N","0","2,N","","","","","15.7","2,,N,30,","31.7","2,,,N","",""
"US1NCSK0010","2016-12","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","12","1,N","5","1,N","0","1,N","","","","","15.2","1,,N,07,","48.4","1,,,N","",""
"US1NCSK0010","2017-01","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","11","2,N","6","2,N","1","2,N","","","","","48.8","2,,N,23,","118.9","2,,,N","",""
"US1NCSK0010","2017-02","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","4",",N","2",",N","0",",N","","","","","11.7",",,N,15,","21.9",",,,N","",""
"US1NCSK0010","2017-03","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","9","2,N","5","2,N","0","2,N","","","","","21.1","2,,N,31,","71.0","2,,,N","",""
"US1NCSK0010","2017-04","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","13","1,N","11","1,N","3","1,N","","","","","69.9","1,,N,24,","240.3","1,,,N","",""
"US1NCSK0010","2017-05","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","15",",N","11",",N","1",",N","","","","","42.2",",,N,05,","199.3",",,,N","",""
"US1NCSK0010","2017-06","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","12",",N","8",",N","1",",N","","","","","29.2",",,N,17,","99.4",",,,N","",""
"US1NCSK0010","2017-07","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","11",",N","9",",N","0",",N","","","","","15.5",",,N,24,","70.6",",,,N","",""
"US1NCSK0010","2017-08","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","8","1,N","8","1,N","2","1,N","","","","","36.3","1,,N,08,","115.5","1,,,N","",""
"US1NCSK0010","2017-09","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","9",",N","5",",N","2",",N","","","","","38.4",",,N,02,","96.1",",,,N","",""
"US1NCSK0010","2017-10","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","8",",N","5",",N","1",",N","","","","","28.2",",,N,24,","71.4",",,,N","",""
"US1NCSK0010","2017-11","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","9",",N","3",",N","0",",N","","","","","10.2",",,N,13,","30.3",",,,N","",""
"US1NCSK0010","2018-06","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","8","3,N","5","3,N","1","3,N","","","","","29.5","3,,N,22,","55.2","3,,,N","",""
"US1NCSK0010","2018-07","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","7",",N","5",",N","2",",N","","","","","44.2",",,N,07,","127.9",",,,N","",""
"US1NCSK0010","2018-08","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","12",",N","12",",N","2",",N","","","","","57.9",",,N,01,","207.1",",,,N","",""
"US1NCSK0010","2018-09","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","11",",N","6",",N","2",",N","","","","","91.9",",,N,17,","157.6",",,,N","",""
"US1NCSK0010","2018-10","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","10","1,N","7","1,N","2","1,N","","","","","123.4","1,,N,12,","208.3","1,,,N","",""
"US1NCSK0010","2019-06","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","16","1,N","12","1,N","2","1,N","","","","","58.4","1,,N,19,","218.2","1,,,N","",""
"US1NCSK0010","2019-07","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","7",",N","5",",N","2",",N","","","","","32.5",",,N,24,","98.9",",,,N","",""
"US1NCSK0010","2019-08","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","12","2,N","8","2,N","0","2,N","","","","","23.6","2,,N,16,","105.3","2,,,N","",""
"US1NCSK0010","2019-09","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,30,+","3.8",",,N,28,","4.6",",,,N","0","2,,,N"
"US1NCSK0010","2019-10","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","8",",N","7",",N","2",",N","","","","","72.9",",,N,31,","191.5",",,,N","",""
"US1NCSK0010","2019-11","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","7",",N","7",",N","1",",N","","","","","31.5",",,N,24,","84.4",",,,N","",""
"US1NCSK0010","2019-12","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","10",",N","10",",N","1",",N","","","","","39.1",",,N,01,","105.6",",,,N","",""
"US1NCSK0010","2020-01","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","9",",N","8",",N","2",",N","","","","","26.4",",,N,12,","109.7",",,,N","",""
"US1NCSK0010","2020-02","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","11",",N","10",",N","4",",N","","","","","106.2",",,N,07,","237.2",",,,N","",""
"US1NCSK0010","2020-03","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","5","5,N","3","5,N","1","5,N","","","","","32.8","5,,N,25,","43.8","5,,,N","",""
"US1NCSK0010","2020-04","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","9",",N","9",",N","2",",N","","","","","54.9",",,N,30,","139.5",",,,N","",""
"US1NCSK0010","2020-05","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","12",",N","8",",N","4",",N","","","","","77.7",",,N,21,","240.5",",,,N","",""
"US1NCSK0010","2020-06","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","7",",N","4",",N","0",",N","","","","","23.9",",,N,17,","64.0",",,,N","",""
"US1NCSK0010","2020-07","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","11",",N","8",",N","1",",N","","","","","49.3",",,N,24,","86.6",",,,N","",""
"US1NCSK0010","2020-08","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","14",",N","9",",N","4",",N","","","","","54.1",",,N,22,","203.8",",,,N","",""
"US1NCSK0010","2020-09","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","10",",N","7",",N","2",",N","","","","","68.1",",,N,18,","156.2",",,,N","",""
"US1NCSK0010","2020-10","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","7",",N","7",",N","2",",N","","","","","60.7",",,N,11,","156.0",",,,N","",""
"US1NCSK0010","2020-11","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","8",",N","6",",N","2",",N","","","","","88.9",",,N,12,","200.1",",,,N","",""
"US1NCSK0010","2020-12","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","8",",N","7",",N","2",",N","","","","","33.3",",,N,14,","112.3",",,,N","",""
"US1NCSK0010","2021-01","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","9",",N","6",",N","0",",N","","","","","21.6",",,N,26,","85.4",",,,N","",""
"US1NCSK0010","2021-02","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","11",",N","11",",N","2",",N","","","","","30.7",",,N,16,","153.8",",,,N","",""
"US1NCSK0010","2021-03","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","8",",N","7",",N","1",",N","","","","","25.7",",,N,19,","101.4",",,,N","",""
"US1NCSK0010","2021-04","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","5",",N","3",",N","0",",N","","","","","23.4",",,N,25,","45.8",",,,N","",""
"US1NCSK0010","2021-05","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","9",",N","3",",N","0",",N","","","","","21.8",",,N,11,","51.3",",,,N","",""
"US1NCSK0010","2021-06","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","10",",N","8",",N","1",",N","","","","","41.4",",,N,04,","108.7",",,,N","",""
"US1NCSK0010","2021-07","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","9",",N","6",",N","2",",N","","","","","109.7",",,N,02,","206.2",",,,N","",""
"US1NCSK0010","2021-08","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","11",",N","7",",N","2",",N","","","","","30.5",",,N,16,","94.1",",,,N","",""
"US1NCSK0010","2021-09","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","4",",N","4",",N","2",",N","0","4,N","0","4,,N,30,+","40.6",",,N,22,","78.7",",,,N","0","4,,,N"
"US1NCSK0010","2021-10","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","9","1,N","4","1,N","0","1,N","","","","","17.8","1,,N,29,","47.3","1,,,N","",""
"US1NCSK0010","2021-11","36.3066454231739","-80.1171433925629","183.8","WALNUT COVE 1.5 ENE, NC US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,30,+","9.1",",,N,22,+","19.2",",,,N","0","3,,,N"
