"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NCWK0036","2007-10","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","4","5,N","4","5,N","2","5,N","0","4,N","0","4,,N,31,+","64.5","5,,N,27,","157.5","3,a,,N","0","4,,,N"
"US1NCWK0036","2007-11","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","5","3,N","2","3,N","0","3,N","0","2,N","0","2,,N,30,+","10.2","3,,N,16,","17.6","3,,,N","0","2,,,N"
"US1NCWK0036","2007-12","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","12",",N","7",",N","2",",N","0",",N","0",",,N,31,+","48.3",",,N,31,","122.5",",,,N","0",",,,N"
"US1NCWK0036","2008-01","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","7","4,N","4","4,N","0","4,N","0","4,N","5","4,,N,20,","12.4","4,,N,18,","31.3","1,a,,N","5","4,,,N"
"US1NCWK0036","2008-02","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","11","2,N","8","2,N","0","2,N","0","1,N","5","1,,N,14,","17.8","2,,N,13,","76.4","2,,,N","5","1,,,N"
"US1NCWK0036","2008-03","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","7","1,N","6","1,N","0","1,N","0","1,N","0","1,,N,31,+","24.9","1,,N,05,","90.9","1,,,N","0","1,,,N"
"US1NCWK0036","2008-04","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","15","1,N","10","1,N","1","1,N","0","1,N","0","1,,N,30,+","31.5","1,,N,28,","131.0","1,,,N","0","1,,,N"
"US1NCWK0036","2008-05","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","11",",N","8",",N","0",",N","0",",N","0",",,N,31,+","18.3",",,N,12,","69.6",",,,N","0",",,,N"
"US1NCWK0036","2008-08","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","13","2,N","6","2,N","2","2,N","0","2,N","0","2,,N,31,+","62.5","2,,N,28,","135.4","2,,,N","0","2,,,N"
"US1NCWK0036","2008-09","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","12","4,N","8","4,N","3","4,N","0","3,N","0","3,,N,30,+","92.2","4,,N,06,","253.6","4,,,N","0","3,,,N"
"US1NCWK0036","2008-10","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","","","","","","","0","5,N","0","5,,N,31,+","","","","","0","5,,,N"
"US1NCWK0036","2008-11","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","10",",N","6",",N","0",",N","0","1,N","0","1,T,N,19,","22.4",",,N,15,","77.4",",,,N","0","1,T,,N"
"US1NCWK0036","2008-12","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","13","2,N","7","2,N","1","2,N","","","","","31.8","2,,N,12,","103.2","2,,,N","",""
"US1NCWK0036","2009-01","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","12","2,N","9","2,N","0","2,N","","","","","18.0","2,,N,06,","76.8","2,,,N","",""
"US1NCWK0036","2009-02","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","7","5,N","3","5,N","0","5,N","","","","","12.4","5,,N,19,","29.0","5,,,N","",""
"US1NCWK0036","2009-03","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","13",",N","11",",N","2",",N","","","","","41.4",",,N,02,","204.0",",,,N","",""
"US1NCWK0036","2009-04","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","9",",N","6",",N","0",",N","","","","","11.2",",,N,03,","40.6",",,,N","",""
"US1NCWK0036","2009-05","35.926","-78.6205","110.9","RALEIGH 7.5 NNE, NC US","14","1,N","10","1,N","1","1,N","","","","","28.7","1,,N,27,","121.0","1,,,N","",""
