"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NJBT0059","2015-12","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","14",",N","13",",N","2",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","26.9",",,N,18,","128.3",",,,N","0",",,,N"
"US1NJBT0059","2016-01","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","4","2,N","4","2,N","1","2,N","","","2","1,N","","","290","1,,N,24,","29.5","2,,N,10,","63.5","2,,,N","577","1,,,N"
"US1NJBT0059","2016-02","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","12","2,N","7","2,N","1","2,N","","","1","1,N","","","28","1,,N,16,","31.0","2,,N,25,","97.5",",a,,N","64","1,,,N"
"US1NJBT0059","2016-03","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","11","1,N","4","1,N","0","1,N","0","3,N","0","2,N","0","3,T,N,21,","23","2,,N,04,","15.5","1,,N,15,","51.7","1,,,N","28","2,,,N"
"US1NJBT0059","2016-04","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","13",",N","10",",N","0",",N","0","1,N","0","1,N","0","1,,N,30,+","0","1,T,N,10,","12.4",",,N,10,","65.3",",,,N","0","1,T,,N"
"US1NJBT0059","2016-06","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","9","1,N","5","1,N","0","1,N","","","","","","","","","13.2","1,,N,28,","39.9","1,,,N","",""
"US1NJBT0059","2016-07","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","13",",N","11",",N","2",",N","","","","","","","","","46.7",",,N,26,","177.7",",,,N","",""
"US1NJBT0059","2016-08","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","8",",N","4",",N","0",",N","","","","","","","","","8.1",",,N,22,","28.8",",,,N","",""
"US1NJBT0059","2016-09","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","8",",N","6",",N","0",",N","","","","","","","","","24.1",",,N,19,","89.5",",,,N","",""
"US1NJBT0059","2016-10","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","8",",N","6",",N","0",",N","","","","","","","","","23.6",",,N,09,","65.9",",,,N","",""
"US1NJBT0059","2016-11","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","7","2,N","2","2,N","0","2,N","","","","","","","","","5.1","2,,N,10,","40.2",",a,,N","",""
"US1NJBT0059","2016-12","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","14",",N","9",",N","0",",N","0","2,N","0",",N","0","2,,N,31,+","13",",,N,17,","21.3",",,N,07,","95.5",",,,N","21",",,,N"
"US1NJBT0059","2017-01","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","17","1,N","11","1,N","0","1,N","","","2","2,N","","","97","2,,N,08,","23.9","1,,N,24,","87.7","1,,,N","151","2,,,N"
"US1NJBT0059","2017-02","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","7","1,N","4","1,N","0","1,N","0","5,N","2","1,N","0","5,,N,28,+","48","1,,N,10,","12.2","1,,N,09,","30.3","1,,,N","73","1,,,N"
"US1NJBT0059","2017-03","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","15",",N","7",",N","0",",N","","","4","1,N","","","89","1,,N,14,","22.1",",,N,14,","89.9",",,,N","244","1,,,N"
"US1NJBT0059","2017-04","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","15",",N","8",",N","2",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","31.0",",,N,07,","115.2",",,,N","0",",,,N"
"US1NJBT0059","2017-05","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","12","5,N","8","5,N","2","5,N","","","","","","","","","31.2","5,,N,14,","130.0",",a,,N","",""
"US1NJBT0059","2017-06","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","10",",N","7",",N","0",",N","","","","","","","","","23.9",",,N,20,","78.8",",,,N","",""
"US1NJBT0059","2017-07","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","11",",N","9",",N","1",",N","","","","","","","","","32.8",",,N,25,","140.5",",,,N","",""
"US1NJBT0059","2017-08","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","13",",N","8",",N","0",",N","","","","","","","","","22.4",",,N,05,","126.3",",,,N","",""
"US1NJBT0059","2017-09","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","5","4,N","2","4,N","0","4,N","","","","","","","","","9.7","4,,N,03,","28.9",",a,,N","",""
"US1NJBT0059","2017-10","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","12",",N","4",",N","1",",N","","","","","","","","","88.9",",,N,30,","131.5",",,,N","",""
"US1NJBT0059","2017-11","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","8",",N","5",",N","0",",N","0","4,N","0","4,N","0","4,,N,30,+","0","4,,N,30,+","13.0",",,N,08,","40.0",",,,N","0","4,,,N"
"US1NJBT0059","2018-01","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","13",",N","7",",N","0",",N","","","1",",N","","","76",",,N,05,","24.1",",,N,13,","61.2",",,,N","102",",,,N"
"US1NJBT0059","2018-02","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","16",",N","12",",N","1",",N","0","1,N","1",",N","0","1,T,N,07,","46",",,N,18,","31.5",",,N,12,","168.6",",,,N","46",",,,N"
"US1NJBT0059","2018-03","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","13",",N","7",",N","2",",N","","","2","1,N","","","185","1,,N,22,","31.2",",,N,08,","121.5",",,,N","404","1,,,N"
"US1NJBT0059","2018-04","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","15",",N","7",",N","1",",N","0","1,N","0",",N","0","1,,N,30,+","5",",,N,03,+","33.0",",,N,16,","87.0",",,,N","10",",,,N"
"US1NJBT0059","2018-06","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","13",",N","7",",N","2",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","83.8",",,N,11,","176.5",",,,N","0",",,,N"
"US1NJBT0059","2018-07","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","12",",N","10",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","30.0",",,N,22,","102.5",",,,N","0",",,,N"
"US1NJBT0059","2018-08","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","14","1,N","11","1,N","1","1,N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","43.9","1,,N,14,","139.0","1,,,N","0","1,,,N"
"US1NJBT0059","2018-09","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","19","3,N","11","3,N","4","3,N","","","0","3,N","","","0","3,,N,30,+","41.7","3,,N,26,","223.2",",a,,N","0","3,,,N"
"US1NJBT0059","2018-10","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","12",",N","7",",N","1",",N","0","2,N","0","2,N","0","2,,N,31,+","0","2,,N,31,+","31.2",",,N,12,","88.1",",,,N","0","2,,,N"
"US1NJBT0059","2018-11","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","12",",N","9",",N","4",",N","0","1,N","1",",N","0","1,,N,30,+","79",",,N,16,","68.8",",,N,25,","240.0",",,,N","79",",,,N"
"US1NJBT0059","2019-02","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","11",",N","7",",N","0",",N","0","5,N","3",",N","0","5,T,N,13,","61",",,N,21,","23.9",",,N,13,","76.5",",,,N","147",",,,N"
"US1NJBT0059","2019-03","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","10","2,N","7","2,N","2","2,N","2","2,N","2","2,N","71","2,,N,01,","71","2,,N,01,","30.2","2,,N,22,","112.3","2,,,N","109","2,,,N"
"US1NJBT0059","2019-04","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","13",",N","8",",N","2",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","31.0",",,N,20,","106.6",",,,N","0",",,,N"
"US1NJBT0059","2019-05","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","16",",N","11",",N","3",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","42.4",",,N,30,","204.7",",,,N","0",",,,N"
"US1NJBT0059","2019-06","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","14",",N","11",",N","2",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","37.1",",,N,20,","165.1",",,,N","0",",,,N"
"US1NJBT0059","2019-07","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","7","4,N","5","4,N","2","4,N","","","0","3,N","","","0","3,,N,31,+","40.9","4,,N,12,","111.8","1,a,,N","0","3,,,N"
"US1NJBT0059","2019-08","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","12","4,N","8","4,N","1","4,N","","","0","4,N","","","0","4,,N,31,+","41.9","4,,N,08,","115.5",",a,,N","0","4,,,N"
"US1NJBT0059","2019-09","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","8",",N","5",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","21.8",",,N,03,","56.7",",,,N","0",",,,N"
"US1NJBT0059","2019-10","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","14",",N","8",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","36.6",",,N,17,","105.2",",,,N","0",",,,N"
"US1NJBT0059","2019-11","39.998581","-74.980484","14.9","CINNAMINSON TWP 0.7 ESE, NJ US","7","2,N","5","2,N","0","2,N","0","2,N","0","2,N","0","2,,N,30,+","0","2,T,N,25,+","22.4","2,,N,24,","47.7","2,,,N","0","2,T,,N"
