"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NJMS0025","2009-10","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","10","4,N","8","4,N","1","4,N","","","","","30.5","4,,N,28,","151.6","2,a,,N","",""
"US1NJMS0025","2009-11","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","6",",N","4",",N","0",",N","","","","","24.9",",,N,20,","40.9",",,,N","",""
"US1NJMS0025","2010-02","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","9","1,N","8","1,N","0","1,N","7","2,N","318","2,,N,26,","24.9","1,,N,26,","97.3","1,,,N","877","2,,,N"
"US1NJMS0025","2010-03","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","10","1,N","9","1,N","3","1,N","","","","","78.0","1,,N,14,","219.7","1,,,N","",""
"US1NJMS0025","2010-04","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","5",",N","5",",N","0",",N","","","","","24.4",",,N,26,","83.1",",,,N","",""
"US1NJMS0025","2010-05","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","10","2,N","6","2,N","2","2,N","","","","","42.7","2,,N,03,","106.2","2,,,N","",""
"US1NJMS0025","2010-09","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","","","","","","","","","","","","","75.9","3,a,,N","",""
"US1NJMS0025","2011-04","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","19",",N","12",",N","3",",N","","","","","73.9",",,N,17,","212.9",",,,N","",""
"US1NJMS0025","2011-05","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","12","2,N","11","2,N","3","2,N","","","","","42.2","2,,N,17,","190.9","2,,,N","",""
"US1NJMS0025","2012-01","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","10",",N","8",",N","1",",N","","","","","30.2",",,N,12,","75.0",",,,N","",""
"US1NJMS0025","2012-02","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","10","1,N","3","1,N","0","1,N","","","","","5.8","1,,N,24,","20.5","1,,,N","",""
"US1NJMS0025","2012-03","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","9","2,N","4","2,N","0","2,N","","","","","16.5","2,,N,31,","39.7","2,,,N","",""
"US1NJMS0025","2012-04","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","7",",N","3",",N","1",",N","","","","","40.1",",,N,23,","57.1",",,,N","",""
"US1NJMS0025","2012-06","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","11",",N","7",",N","3",",N","","","","","58.9",",,N,02,","169.8",",,,N","",""
"US1NJMS0025","2012-07","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","9","5,N","7","5,N","0","5,N","","","","","13.0","5,,N,24,","43.2","5,,,N","",""
"US1NJMS0025","2012-10","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","14","1,N","9","1,N","2","1,N","","","","","57.7","1,,N,20,","157.7","1,,,N","",""
"US1NJMS0025","2012-12","40.831473","-74.544869","299.6","RANDOLPH TWP 2.1 ESE, NJ US","13",",N","8",",N","2",",N","","","","","56.1",",,N,21,","147.8",",,,N","",""
