"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1NJSM0022","2009-12","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","9","3,N","8","3,N","2","3,N","34.8","3,,N,09,","168.0","3,,,N"
"US1NJSM0022","2010-02","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","12",",N","8",",N","1",",N","26.9",",,N,11,","106.1",",,,N"
"US1NJSM0022","2010-04","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","10","3,N","6","3,N","0","3,N","16.3","3,,N,27,","58.8","3,,,N"
"US1NJSM0022","2010-05","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","11","4,N","6","4,N","0","4,N","16.3","4,,N,12,","55.1","4,,,N"
"US1NJSM0022","2010-08","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","","","","","","","","","42.3","5,a,,N"
"US1NJSM0022","2010-12","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","5","3,N","5","3,N","0","3,N","24.6","3,,N,02,","77.9","3,,,N"
"US1NJSM0022","2011-01","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","9","5,N","8","5,N","1","5,N","44.7","5,,N,27,","100.6","5,,,N"
"US1NJSM0022","2011-02","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","9","2,N","6","2,N","0","2,N","16.5","2,,N,25,","69.7","2,,,N"
"US1NJSM0022","2011-03","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","12","4,N","7","4,N","2","4,N","57.7","4,,N,07,","136.8","4,,,N"
"US1NJSM0022","2011-04","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","16",",N","9",",N","1",",N","64.5",",,N,17,","160.3",",,,N"
"US1NJSM0022","2011-07","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","","","","","","","","","73.4","3,a,,N"
"US1NJSM0022","2011-12","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","6","4,N","5","4,N","2","4,N","51.6","4,,N,08,","91.2","4,,,N"
"US1NJSM0022","2012-02","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","8","4,N","5","4,N","0","4,N","5.3","4,,N,25,","23.5","4,,,N"
"US1NJSM0022","2012-03","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","9","2,N","4","2,N","0","2,N","14.5","2,,N,31,","31.9","2,,,N"
"US1NJSM0022","2012-04","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","7",",N","2",",N","1",",N","60.5",",,N,23,","71.8",",,,N"
"US1NJSM0022","2012-05","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","","","","","","","","","135.0","4,a,,N"
"US1NJSM0022","2012-07","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","","","","","","","","","91.4",",a,,N"
"US1NJSM0022","2012-12","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","","","","","","","","","108.3","4,a,,N"
"US1NJSM0022","2013-01","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","9","3,N","5","3,N","0","3,N","24.4","3,,N,31,","72.4","3,,,N"
"US1NJSM0022","2013-02","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","10","3,N","6","3,N","0","3,N","19.3","3,,N,09,","45.1","3,,,N"
"US1NJSM0022","2013-03","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","9","5,N","6","5,N","0","5,N","16.8","5,,N,19,+","59.1","2,a,,N"
"US1NJSM0022","2014-01","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","11","3,N","8","3,N","0","3,N","18.8","3,,N,03,","82.2","3,,,N"
"US1NJSM0022","2014-03","40.393599","-74.677282","30.5","MONTGOMERY TWP 2.3 S, NJ US","","","","","","","","","100.1","2,a,,N"
