"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1NJSS0029","2012-12","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","15","1,N","9","1,N","2","1,N","47.5","1,,N,21,","135.7","1,,,N"
"US1NJSS0029","2013-01","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","8","3,N","5","3,N","1","3,N","39.4","3,,N,31,","76.0","3,,,N"
"US1NJSS0029","2013-02","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","13","1,N","7","1,N","0","1,N","17.5","1,,N,09,","59.1","1,,,N"
"US1NJSS0029","2013-04","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","9","2,N","5","2,N","0","2,N","22.4","2,,N,20,","58.3","2,,,N"
"US1NJSS0029","2013-05","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","13","2,N","7","2,N","2","2,N","43.4","2,,N,09,","131.9","2,,,N"
"US1NJSS0029","2013-06","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","14","3,N","8","3,N","3","3,N","46.5","3,,N,08,","178.4","3,,,N"
"US1NJSS0029","2013-07","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","14","1,N","7","1,N","1","1,N","26.7","1,,N,02,","101.2","1,,,N"
"US1NJSS0029","2013-10","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","6","3,N","1","3,N","0","3,N","9.7","3,,N,08,","13.3","3,,,N"
"US1NJSS0029","2013-11","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","9","1,N","6","1,N","1","1,N","41.7","1,,N,27,","73.0","1,,,N"
"US1NJSS0029","2014-03","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","5","2,N","4","2,N","1","2,N","30.2","2,,N,30,","75.4","2,,,N"
"US1NJSS0029","2014-04","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","11","1,N","6","1,N","1","1,N","48.8","1,,N,16,","119.0","1,,,N"
"US1NJSS0029","2014-05","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","14","1,N","9","1,N","2","1,N","48.3","1,,N,01,","126.1","1,,,N"
"US1NJSS0029","2014-06","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","12","1,N","5","1,N","2","1,N","39.1","1,,N,13,","129.8","1,,,N"
"US1NJSS0029","2014-10","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","16",",N","8",",N","1",",N","48.0",",,N,16,","105.7",",,,N"
"US1NJSS0029","2014-11","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","10","2,N","7","2,N","0","2,N","15.5","2,,N,24,","56.6","2,,,N"
"US1NJSS0029","2014-12","41.00861111","-74.68194444","239.9","SPARTA TWP 4.0 SW, NJ US","12","1,N","9","1,N","0","1,N","17.8","1,,N,07,","83.8","1,,,N"
