"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMBR0059","2006-04","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","1",",N","1",",N","0",",N","0",",N","0",",,N,30,+","3.3",",,N,29,","3.3",",,,N","0",",,,N"
"US1NMBR0059","2006-05","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",T,N,06,","0.0",",T,,N","0",",,,N"
"US1NMBR0059","2006-06","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","3",",N","1",",N","0",",N","0",",N","0",",,N,30,+","19.1",",,N,28,","20.9",",,,N","0",",,,N"
"US1NMBR0059","2006-07","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","9",",N","5",",N","0",",N","0",",N","0",",,N,31,+","8.6",",,N,19,","32.1",",,,N","0",",,,N"
"US1NMBR0059","2006-08","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","16","2,N","10","2,N","1","2,N","0","2,N","0","2,,N,31,+","46.5","2,,N,01,","130.6","2,,,N","0","2,,,N"
"US1NMBR0059","2006-09","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","5",",N","3",",N","0",",N","0",",N","0",",,N,30,+","14.2",",,N,09,","31.5",",,,N","0",",,,N"
"US1NMBR0059","2006-10","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","3",",N","2",",N","0",",N","0",",N","0",",,N,31,+","13.7",",,N,09,","27.2",",,,N","0",",,,N"
"US1NMBR0059","2006-11","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1NMBR0059","2006-12","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","3",",N","3",",N","1",",N","2",",N","310",",,N,30,","29.5",",,N,30,","46.0",",,,N","361",",,,N"
"US1NMBR0059","2007-01","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","5",",N","0",",N","0",",N","1",",N","25",",,N,20,","2.3",",,N,20,","7.5",",,,N","33",",,,N"
"US1NMBR0059","2007-02","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","4",",N","2",",N","0",",N","1",",N","135",",,N,14,","13.7",",,N,14,","20.1",",,,N","145",",,,N"
"US1NMBR0059","2007-03","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","4",",N","1",",N","0",",N","0",",N","0",",,N,31,+","10.2",",,N,24,","13.1",",,,N","0",",,,N"
"US1NMBR0059","2007-04","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","5",",N","3",",N","0",",N","0",",N","0",",,N,30,+","22.1",",,N,13,","31.6",",,,N","0",",,,N"
"US1NMBR0059","2007-05","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","9",",N","4",",N","0",",N","0",",N","0",",,N,31,+","14.7",",,N,02,","26.6",",,,N","0",",,,N"
"US1NMBR0059","2007-06","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","1",",N","1",",N","0",",N","0",",N","0",",,N,30,+","2.5",",,N,12,","2.5",",,,N","0",",,,N"
"US1NMBR0059","2007-07","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","9",",N","3",",N","0",",N","0",",N","0",",,N,31,+","9.7",",,N,08,","25.6",",,,N","0",",,,N"
"US1NMBR0059","2007-08","35.128398","-106.671242","1513.0","ALBUQUERQUE 2.7 WNW, NM US","9","1,N","5","1,N","0","1,N","0","1,N","0","1,,N,31,+","12.7","1,,N,01,","34.2","1,,,N","0","1,,,N"
