"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMCB0004","2013-03","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","0.5",",,N,09,","0.8",",,,N","0","2,,,N"
"US1NMCB0004","2013-07","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","14",",N","5",",N","0",",N","","","","","16.0",",,N,13,","40.2",",,,N","",""
"US1NMCB0004","2013-08","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","15","4,N","8","4,N","0","4,N","","","","","14.7","4,,N,11,","64.9","4,,,N","",""
"US1NMCB0004","2013-09","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","10",",N","5",",N","0",",N","","","","","15.2",",,N,11,","40.4",",,,N","",""
"US1NMCB0004","2013-10","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","2",",N","2",",N","0",",N","0","2,N","0","2,T,N,31,","8.1",",,N,25,","13.4",",,,N","0","2,T,,N"
"US1NMCB0004","2013-11","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","6","1,N","5","1,N","0","1,N","","","","","13.2","1,,N,22,","31.9","1,,,N","",""
"US1NMCB0004","2013-12","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","2",",N","0",",N","0",",N","0",",N","13",",,N,14,+","0.5",",,N,14,+","1.0",",,,N","26",",,,N"
"US1NMCB0004","2014-01","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1NMCB0004","2014-02","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","2",",N","0",",N","0",",N","1",",N","25",",,N,04,","2.3",",,N,04,","4.3",",,,N","38",",,,N"
"US1NMCB0004","2014-09","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","8",",N","3",",N","0",",N","","","","","11.9",",,N,09,","22.4",",,,N","",""
"US1NMCB0004","2015-01","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","5",",N","5",",N","0",",N","5",",N","140",",,N,14,","8.6",",,N,14,","28.7",",,,N","397",",,,N"
"US1NMCB0004","2015-03","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","2",",N","2",",N","0",",N","0","2,N","0","2,,N,31,+","3.3",",,N,20,","6.1",",,,N","0","2,,,N"
"US1NMCB0004","2015-04","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","3","2,N","1","2,N","0","2,N","0","5,N","0","5,,N,30,+","4.1","2,,N,27,","5.2","2,,,N","0","5,,,N"
"US1NMCB0004","2015-07","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","15","3,N","7","3,N","1","3,N","","","","","32.5","3,,N,30,","135.0",",a,,N","",""
"US1NMCB0004","2015-08","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","10",",N","6",",N","0",",N","","","","","21.1",",,N,23,","70.5",",,,N","",""
"US1NMCB0004","2015-09","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","7","4,N","4","4,N","0","4,N","","","","","12.2","4,,N,22,","35.7",",a,,N","",""
"US1NMCB0004","2015-10","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","8",",N","5",",N","0",",N","","","","","10.9",",,N,05,","42.1",",,,N","",""
"US1NMCB0004","2015-11","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","2",",N","2",",N","0",",N","0","1,N","0","1,T,N,05,","9.4",",,N,16,","12.4",",,,N","0","1,T,,N"
"US1NMCB0004","2015-12","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","3",",N","2",",N","0",",N","1","1,N","25","1,,N,13,","3.3",",,N,13,+","6.9",",,,N","45","1,,,N"
"US1NMCB0004","2016-01","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","1",",N","1",",N","0",",N","1",",N","140",",,N,08,","4.6",",,N,08,","4.6",",,,N","140",",,,N"
"US1NMCB0004","2016-02","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","0",",N","0",",N","0",",N","0",",N","0",",,N,29,+","0.0",",,N,29,+","0.0",",,,N","0",",,,N"
"US1NMCB0004","2016-03","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1NMCB0004","2016-04","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","6","4,N","3","4,N","0","4,N","","","","","10.4","4,,N,17,","28.7",",a,,N","",""
"US1NMCB0004","2016-05","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","5",",N","3",",N","0",",N","0","3,N","0","3,T,N,02,","12.4",",,N,02,+","29.3",",,,N","0","3,T,,N"
"US1NMCB0004","2016-06","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","3",",N","1",",N","0",",N","0","4,N","0","4,,N,30,+","2.5",",,N,24,","3.8",",,,N","0","4,,,N"
"US1NMCB0004","2016-07","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","9",",N","2",",N","0",",N","","","","","12.2",",,N,02,","20.5",",,,N","",""
"US1NMCB0004","2016-08","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","15","3,N","7","3,N","0","3,N","","","","","19.1","3,,N,11,","74.4",",a,,N","",""
"US1NMCB0004","2016-09","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","7",",N","3",",N","1",",N","","","","","26.4",",,N,30,","39.6",",,,N","",""
"US1NMCB0004","2016-10","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","4",",N","1",",N","0",",N","0","4,N","0","4,,N,31,+","6.1",",,N,09,","8.9",",,,N","0","4,,,N"
"US1NMCB0004","2016-11","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","4","3,N","1","3,N","0","3,N","1","5,N","25","5,,N,28,","4.1","3,,N,22,","38.4",",a,,N","35","5,,,N"
"US1NMCB0004","2016-12","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","4",",N","2",",N","0",",N","0","3,N","13","3,,N,25,+","18.3",",,N,23,","23.4",",,,N","26","3,,,N"
"US1NMCB0004","2017-01","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","","","","","","","","","","","","","34.7",",a,,N","",""
"US1NMCB0004","2017-02","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","2",",N","1",",N","0",",N","1","1,N","58","1,,N,13,","8.1",",,N,13,","9.1",",,,N","58","1,,,N"
"US1NMCB0004","2017-03","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","5","2,N","1","2,N","0","2,N","","","","","4.8","2,,N,29,","6.7","2,,,N","",""
"US1NMCB0004","2017-04","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","3",",N","2",",N","0",",N","0","2,N","3","2,,N,29,","4.6",",,N,02,","8.9",",,,N","3","2,,,N"
"US1NMCB0004","2017-05","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","4",",N","2",",N","0",",N","0","4,N","13","4,,N,19,","2.8",",,N,17,","8.6",",,,N","13","4,,,N"
"US1NMCB0004","2017-06","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","7",",N","2",",N","0",",N","","","","","12.7",",,N,02,","27.6",",,,N","",""
"US1NMCB0004","2017-07","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","14",",N","6",",N","0",",N","","","","","24.6",",,N,29,","48.0",",,,N","",""
"US1NMCB0004","2017-08","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","9",",N","2",",N","0",",N","","","","","6.6",",,N,06,","15.3",",,,N","",""
"US1NMCB0004","2017-09","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","9",",N","4",",N","1",",N","","","","","38.1",",,N,28,","58.4",",,,N","",""
"US1NMCB0004","2017-10","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,31,+","8.9",",,N,05,","13.9",",,,N","0","3,,,N"
"US1NMCB0004","2017-11","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1NMCB0004","2017-12","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1NMCB0004","2018-01","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","0.8",",,N,10,","1.1",",,,N","0","2,,,N"
"US1NMCB0004","2018-02","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","4",",N","0",",N","0",",N","1","2,N","25","2,,N,11,","2.3",",,N,15,","4.9",",,,N","50","2,,,N"
"US1NMCB0004","2018-03","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","5",",N","3",",N","0",",N","0","4,N","3","4,,N,16,","7.1",",,N,28,","14.7",",,,N","3","4,,,N"
"US1NMCB0004","2018-04","35.19184","-107.89295","1998.9","MILAN 0.2 NNW, NM US","1","1,N","1","1,N","0","1,N","0","2,N","0","2,,N,30,+","5.1","1,,N,29,","5.1","1,,,N","0","2,,,N"
