"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMDA0331","2016-09","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","9","4,N","6","4,N","1","4,N","","","","","25.9","4,,N,30,","91.1","4,,,N","",""
"US1NMDA0331","2016-10","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","4","4,N","1","4,N","0","4,N","","","","","14.2","4,,N,10,","15.6","4,,,N","",""
"US1NMDA0331","2016-11","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","3","2,N","1","2,N","0","2,N","","","","","16.3","2,,N,05,","17.1","2,,,N","",""
"US1NMDA0331","2017-01","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","9","4,N","6","4,N","1","4,N","","","","","25.9","4,,N,15,","52.1","4,,,N","",""
"US1NMDA0331","2017-02","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","5","1,N","2","1,N","0","1,N","","","","","8.9","1,,N,13,","15.5","1,,,N","",""
"US1NMDA0331","2017-03","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","0","2,N","0","2,N","0","2,N","0","3,N","0","3,,N,31,+","0.0","2,T,N,28,","0.0","2,T,,N","0","3,,,N"
"US1NMDA0331","2017-04","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","1",",N","1",",N","0",",N","0","1,N","0","1,,N,30,+","2.5",",,N,29,","2.5",",,,N","0","1,,,N"
"US1NMDA0331","2017-05","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","2","1,N","1","1,N","1","1,N","0","4,N","0","4,,N,31,+","56.9","1,,N,31,","57.4","1,,,N","0","4,,,N"
"US1NMDA0331","2017-06","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","4",",N","2",",N","0",",N","","","","","5.8",",,N,08,","10.6",",,,N","",""
"US1NMDA0331","2017-07","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","14","1,N","8","1,N","0","1,N","","","","","14.2","1,,N,24,","56.6","1,,,N","",""
"US1NMDA0331","2017-08","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","10",",N","6",",N","1",",N","","","","","28.2",",,N,01,","88.4",",,,N","",""
"US1NMDA0331","2017-09","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","3",",N","1",",N","0",",N","0","4,N","0","4,,N,30,+","4.1",",,N,28,","5.7",",,,N","0","4,,,N"
"US1NMDA0331","2017-10","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","5","1,N","2","1,N","0","1,N","","","","","20.1","1,,N,06,","26.5","1,,,N","",""
"US1NMDA0331","2017-11","32.348192","-106.725974","1310.0","LAS CRUCES 1.9 ENE, NM US","2","1,N","1","1,N","0","1,N","0","3,N","0","3,,N,30,+","10.2","1,,N,08,","10.7","1,,,N","0","3,,,N"
