"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMGR0004","2006-06","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","6",",N","3",",N","0",",N","0",",N","0",",,N,30,+","22.1",",,N,28,","36.8",",,,N","0",",,,N"
"US1NMGR0004","2006-07","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","17",",N","11",",N","0",",N","0",",N","0",",,N,31,+","20.3",",,N,31,","114.4",",,,N","0",",,,N"
"US1NMGR0004","2006-08","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","21",",N","16",",N","0",",N","0",",N","0",",,N,31,+","22.1",",,N,22,+","147.9",",,,N","0",",,,N"
"US1NMGR0004","2006-09","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","11",",N","6",",N","0",",N","0",",N","0",",,N,30,+","22.9",",,N,13,","92.9",",,,N","0",",,,N"
"US1NMGR0004","2006-10","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","10",",N","6",",N","0",",N","0",",N","0",",,N,31,+","18.5",",,N,08,","57.1",",,,N","0",",,,N"
"US1NMGR0004","2006-11","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","3",",N","0",",N","0",",N","0",",N","13",",,N,30,","1.3",",,N,30,","2.4",",,,N","13",",,,N"
"US1NMGR0004","2006-12","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","5",",N","2",",N","0",",N","2",",N","38",",,N,29,+","3.8",",,N,20,","9.1",",,,N","79",",,,N"
"US1NMGR0004","2007-01","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","9",",N","7",",N","0",",N","5",",N","165",",,N,22,","13.0",",,N,22,","54.2",",,,N","465",",,,N"
"US1NMGR0004","2007-02","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","6",",N","3",",N","0",",N","3",",N","76",",,N,14,","7.6",",,N,14,","19.9",",,,N","186",",,,N"
"US1NMGR0004","2007-03","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","3",",N","2",",N","0",",N","1",",N","25",",,N,24,","8.9",",,N,24,","13.2",",,,N","25",",,,N"
"US1NMGR0004","2007-04","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","5",",N","2",",N","0",",N","0",",N","13",",,N,13,","11.4",",,N,29,","17.0",",,,N","13",",,,N"
"US1NMGR0004","2007-05","32.823","-108.004","1969.9","BAYARD 8.9 ENE, NM US","8",",N","5",",N","0",",N","0",",N","0",",T,N,07,","12.4",",,N,17,","38.6",",,,N","0",",T,,N"
