"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMQY0002","2006-08","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","13","3,N","11","3,N","1","3,N","0","3,N","0","3,,N,31,+","26.7","3,,N,21,","117.9","3,,,N","0","3,,,N"
"US1NMQY0002","2006-09","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","6","1,N","5","1,N","0","1,N","0","1,N","0","1,,N,30,+","5.6","1,,N,08,","21.6","1,,,N","0","1,,,N"
"US1NMQY0002","2006-10","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","4","1,N","2","1,N","0","1,N","0","1,N","0","1,,N,31,+","17.3","1,,N,10,","30.1","1,,,N","0","1,,,N"
"US1NMQY0002","2006-11","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","1",",N","0",",N","0",",N","1",",N","38",",,N,30,","0.3",",,N,30,","0.3",",,,N","38",",,,N"
"US1NMQY0002","2006-12","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","0","5,N","0","5,N","0","5,N","0","3,N","0","3,,N,31,+","0.0","5,,N,31,+","20.1","3,a,,N","0","3,,,N"
"US1NMQY0002","2007-01","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","3",",N","2",",N","0",",N","1",",N","127",",,N,14,","18.0",",,N,20,","31.0",",,,N","127",",,,N"
"US1NMQY0002","2007-02","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","2",",N","1",",N","0",",N","2",",N","51",",,N,02,","3.8",",,N,14,","4.6",",,,N","89",",,,N"
"US1NMQY0002","2007-03","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","4","1,N","4","1,N","1","1,N","0","1,N","0","1,,N,31,+","28.4","1,,N,24,","42.4","1,,,N","0","1,,,N"
"US1NMQY0002","2007-04","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","4","2,N","3","2,N","0","2,N","1","2,N","25","2,,N,14,","9.1","2,,N,14,","21.9","2,,,N","25","2,,,N"
"US1NMQY0002","2007-05","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","4",",N","4",",N","0",",N","0",",N","0",",,N,31,+","12.2",",,N,03,","29.2",",,,N","0",",,,N"
"US1NMQY0002","2007-06","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","9","1,N","5","1,N","0","1,N","0","1,N","0","1,,N,30,+","18.8","1,,N,24,","60.0","1,,,N","0","1,,,N"
"US1NMQY0002","2007-07","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","2",",N","2",",N","0",",N","0",",N","0",",,N,31,+","14.7",",,N,11,","17.5",",,,N","0",",,,N"
"US1NMQY0002","2007-08","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","4","2,N","3","2,N","1","2,N","0","2,N","0","2,,N,31,+","25.4","2,,N,02,","42.2","2,,,N","0","2,,,N"
"US1NMQY0002","2007-09","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","1","2,N","1","2,N","0","2,N","0","2,N","0","2,,N,30,+","10.2","2,,N,13,","10.2","2,,,N","0","2,,,N"
"US1NMQY0002","2007-10","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","3","1,N","2","1,N","0","1,N","0","1,N","0","1,,N,31,+","3.6","1,,N,11,","7.7","1,,,N","0","1,,,N"
"US1NMQY0002","2007-11","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","2","2,N","2","2,N","0","2,N","2","2,N","51","2,,N,24,+","5.1","2,,N,24,+","10.2","2,,,N","102","2,,,N"
"US1NMQY0002","2007-12","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","3","1,N","2","1,N","0","1,N","2","1,N","51","1,,N,26,+","5.3","1,,N,26,","9.6","1,,,N","102","1,,,N"
"US1NMQY0002","2008-01","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","2",",N","0",",N","0",",N","0",",N","0",",,N,31,+","1.5",",,N,08,","1.8",",,,N","0",",,,N"
"US1NMQY0002","2008-02","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","1",",N","1",",N","0",",N","0",",N","0",",,N,29,+","6.1",",,N,17,","6.1",",,,N","0",",,,N"
"US1NMQY0002","2008-03","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","1",",N","1",",N","0",",N","1",",N","51",",,N,08,","4.6",",,N,08,","4.6",",,,N","51",",,,N"
"US1NMQY0002","2008-04","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","3",",N","3",",N","0",",N","0",",N","0",",,N,30,+","14.7",",,N,12,","24.6",",,,N","0",",,,N"
"US1NMQY0002","2008-05","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","5",",N","5",",N","0",",N","0",",N","0",",,N,31,+","9.7",",,N,14,+","33.6",",,,N","0",",,,N"
"US1NMQY0002","2008-06","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","4",",N","3",",N","1",",N","0",",N","0",",,N,30,+","35.6",",,N,28,","65.9",",,,N","0",",,,N"
"US1NMQY0002","2008-07","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","9",",N","9",",N","2",",N","0",",N","0",",,N,31,+","37.6",",,N,08,","135.7",",,,N","0",",,,N"
"US1NMQY0002","2008-08","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","7",",N","6",",N","1",",N","0",",N","0",",,N,31,+","41.9",",,N,17,","93.0",",,,N","0",",,,N"
"US1NMQY0002","2008-09","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","3",",N","2",",N","0",",N","0",",N","0",",,N,30,+","12.7",",,N,20,","23.2",",,,N","0",",,,N"
"US1NMQY0002","2008-10","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","4",",N","4",",N","0",",N","0",",N","0",",,N,31,+","17.3",",,N,14,","34.6",",,,N","0",",,,N"
"US1NMQY0002","2008-11","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1NMQY0002","2008-12","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","0","1,N","0","1,N","0","1,N","0","1,N","0","1,,N,31,+","0.0","1,,N,31,+","0.0","1,,,N","0","1,,,N"
"US1NMQY0002","2010-08","35.143712","-103.541634","1211.0","TUCUMCARI 10.6 E, NM US","","","","","","","","","","","","","132.3","5,a,,N","",""
