"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMRA0051","2019-04","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","3","4,N","3","4,N","0","4,N","","","","","14.0","4,,N,29,","28.7","4,,,N","",""
"US1NMRA0051","2019-06","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","7","3,N","4","3,N","0","3,N","","","","","16.5","3,,N,30,","45.5","3,,,N","",""
"US1NMRA0051","2019-08","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","7","1,N","4","1,N","0","1,N","","","","","16.8","1,,N,11,","59.4","1,,,N","",""
"US1NMRA0051","2020-08","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","9",",N","2",",N","0",",N","","","","","15.7",",,N,26,","25.2",",,,N","",""
"US1NMRA0051","2020-10","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","2","3,N","2","3,N","1","3,N","2","3,N","102","3,,N,27,","33.0","3,,N,26,","43.9","3,,,N","153","3,,,N"
"US1NMRA0051","2020-11","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","6","1,N","4","1,N","0","1,N","3","1,N","51","1,,N,10,","15.2","1,,N,08,","35.8","1,,,N","125","1,,,N"
"US1NMRA0051","2020-12","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","7",",N","6",",N","0",",N","6",",N","221",",,N,13,","16.0",",,N,13,","49.5",",,,N","649",",,,N"
"US1NMRA0051","2021-01","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","9",",N","7",",N","0",",N","8",",N","203",",,N,25,","15.7",",,N,25,","48.7",",,,N","675",",,,N"
"US1NMRA0051","2021-02","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","10","1,N","5","1,N","0","1,N","4","1,N","114","1,,N,14,","9.7","1,,N,14,","27.2","1,,,N","325","1,,,N"
"US1NMRA0051","2021-03","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","9","1,N","7","1,N","0","1,N","6","2,N","279","2,,N,14,","15.2","1,,N,14,","52.5","1,,,N","624","2,,,N"
"US1NMRA0051","2021-08","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","11","3,N","4","3,N","0","3,N","","","","","9.4","3,,N,02,","28.3","3,,,N","",""
"US1NMRA0051","2021-11","36.737","-106.4765","2354.0","CHAMA 12.3 SSE, NM US","2","3,N","1","3,N","0","3,N","1","4,N","25","4,,N,24,","5.6","3,,N,24,","6.6","3,,,N","25","4,,,N"
