"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NYER0004","2009-12","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","21","3,N","18","3,N","1","3,N","","","10","3,N","","","114","3,,N,29,","35.6","3,,N,10,","192.5","3,,,N","670","3,,,N"
"US1NYER0004","2010-01","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","","","9",",N","","","264",",,N,04,","","","","","902",",,,N"
"US1NYER0004","2010-02","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","","","4","1,N","","","74","1,,N,18,","","","","","334","1,,,N"
"US1NYER0004","2010-03","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","","","0","4,N","","","0","4,,N,31,+","","","","","0","4,,,N"
"US1NYER0004","2010-11","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","","","0","1,N","","","0","1,T,N,27,+","","","","","0","1,T,,N"
"US1NYER0004","2010-12","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","","","9",",N","","","175",",,N,15,","","","","","929",",,,N"
"US1NYER0004","2011-01","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","24","5,N","10","1,N","295","5,,N,15,","168","1,,N,11,","","","","","817","1,,,N"
"US1NYER0004","2011-02","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","","","11",",N","","","224",",,N,25,","","","","","913",",,,N"
"US1NYER0004","2011-03","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","13","3,N","2","3,N","249","3,,N,06,","155","3,,N,23,","","","","","254","3,,,N"
"US1NYER0004","2011-12","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","2","4,N","1","3,N","43","4,,N,09,","43","3,,N,09,","","","","","85","3,,,N"
"US1NYER0004","2012-01","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","","","7",",N","","","170",",,N,13,","","","","","521",",,,N"
"US1NYER0004","2012-02","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","","","4",",N","","","86",",,N,23,","","","","","300",",,,N"
"US1NYER0004","2012-03","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","","","0",",N","","","15",",,N,08,","","","","","20",",,,N"
"US1NYER0004","2012-04","43.021609","-78.743216","184.1","WILLIAMSVILLE 4.1 N, NY US","","","","","","","0","5,N","0","5,N","0","5,,N,30,+","15","5,,N,23,","","","","","23","5,,,N"
