"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"US1NYER0080","2010-07","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","86.7","1,a,,N"
"US1NYER0080","2010-08","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","64.9","2,a,,N"
"US1NYER0080","2010-09","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","61.6",",a,,N"
"US1NYER0080","2010-10","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","88.6","3,a,,N"
"US1NYER0080","2010-11","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","69.1","1,a,,N"
"US1NYER0080","2011-06","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","95.8",",a,,N"
"US1NYER0080","2011-08","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","85.3","1,a,,N"
"US1NYER0080","2011-09","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","131.0","1,a,,N"
"US1NYER0080","2012-06","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","85.5","2,a,,N"
"US1NYER0080","2012-08","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","53.5","1,a,,N"
"US1NYER0080","2012-09","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","119.1","2,a,,N"
"US1NYER0080","2012-10","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","170.9","5,a,,N"
"US1NYER0080","2013-05","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","128.9",",a,,N"
"US1NYER0080","2013-07","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","87.1","2,a,,N"
"US1NYER0080","2013-08","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","78.8","4,a,,N"
"US1NYER0080","2013-09","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","85.1","2,a,,N"
"US1NYER0080","2013-10","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","139.4","4,a,,N"
"US1NYER0080","2014-06","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","146.2","3,a,,N"
"US1NYER0080","2014-10","42.926463","-78.595198","233.2","LANCASTER 4.1 ENE, NY US","107.3",",a,,N"
