"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NYJF0005","2008-09","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","8",",N","5",",N","0",",N","0",",N","0",",,N,30,+","16.8",",,N,14,","47.8",",,,N","0",",,,N"
"US1NYJF0005","2008-10","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","13",",N","11",",N","1",",N","0",",N","18",",,N,29,","56.6",",,N,26,","158.6",",,,N","18",",,,N"
"US1NYJF0005","2008-11","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","9",",N","5",",N","0",",N","0",",N","10",",,N,26,","17.8",",,N,16,","51.9",",,,N","10",",,,N"
"US1NYJF0005","2008-12","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","16","5,N","8","5,N","1","5,N","","","","","27.7","5,,N,01,","130.0","1,a,,N","",""
"US1NYJF0005","2009-01","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","10","2,N","5","2,N","0","2,N","7","4,N","140","4,,N,29,","14.0","2,,N,29,","44.3","2,,,N","513","4,,,N"
"US1NYJF0005","2009-03","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","9",",N","5",",N","0",",N","","","","","17.8",",,N,30,","50.4",",,,N","",""
"US1NYJF0005","2009-04","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","11",",N","8",",N","1",",N","","","","","33.8",",,N,04,","88.8",",,,N","",""
"US1NYJF0005","2009-05","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","14","2,N","8","2,N","0","2,N","","","","","23.1","2,,N,29,","134.1",",a,,N","",""
"US1NYJF0005","2009-06","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","8",",N","4",",N","0",",N","","","","","18.5",",,N,09,","43.7",",,,N","",""
"US1NYJF0005","2009-07","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","11",",N","7",",N","1",",N","","","","","27.7",",,N,06,","125.7",",,,N","",""
"US1NYJF0005","2009-08","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","13",",N","9",",N","0",",N","","","","","16.3",",,N,21,","63.8",",,,N","",""
"US1NYJF0005","2009-09","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","8","1,N","5","1,N","0","1,N","","","","","12.4","1,,N,30,","38.4","1,,,N","",""
"US1NYJF0005","2009-10","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","","","","","","","","","","","","","120.2","3,a,,N","",""
"US1NYJF0005","2009-11","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","12","2,N","5","2,N","0","2,N","","","","","19.8","2,,N,20,","68.8",",a,,N","",""
"US1NYJF0005","2009-12","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","11","1,N","9","1,N","1","1,N","","","","","32.0","1,,N,03,","80.0","1,,,N","",""
"US1NYJF0005","2010-01","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","8","5,N","2","5,N","0","5,N","","","","","24.9","5,,N,25,","38.6","5,,,N","",""
"US1NYJF0005","2010-02","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","5","2,N","4","2,N","0","2,N","","","","","16.8","2,,N,24,","49.2","2,,,N","",""
"US1NYJF0005","2010-06","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","10","3,N","9","3,N","1","3,N","","","","","31.8","3,,N,23,","146.3","3,,,N","",""
"US1NYJF0005","2010-08","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","6",",N","4",",N","1",",N","","","","","48.3",",,N,23,","80.6",",,,N","",""
"US1NYJF0005","2010-09","44.22936","-76.09562","80.8","CLAYTON 0.6 SW, NY US","9",",N","7",",N","2",",N","","","","","33.8",",,N,27,","100.1",",,,N","",""
