"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NYOR0018","2017-09","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","8",",N","4",",N","0",",N","","","","","","","","","23.4",",,N,07,","64.2",",,,N","",""
"US1NYOR0018","2017-11","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","9",",N","2",",N","0",",N","","","","","","","","","8.4",",,N,19,","19.4",",,,N","",""
"US1NYOR0018","2017-12","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","8","3,N","4","3,N","0","3,N","","","","","","","","","7.9","3,,N,06,","44.6","1,a,,N","",""
"US1NYOR0018","2018-01","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","","","","","","","","","","","","","","","","","66.3","1,a,,N","",""
"US1NYOR0018","2018-02","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","10","4,N","9","4,N","0","4,N","","","","","","","","","17.3","4,,N,05,","131.0",",a,,N","",""
"US1NYOR0018","2018-03","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","8","2,N","5","2,N","3","2,N","","","4","3,N","","","381","3,,N,08,","34.0","2,,N,08,","108.8",",a,,N","638","3,,,N"
"US1NYOR0018","2018-04","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","12","2,N","8","2,N","1","2,N","","","","","","","","","30.0","2,,N,17,","104.7",",a,,N","",""
"US1NYOR0018","2018-05","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","12","4,N","6","4,N","0","4,N","","","","","","","","","20.3","4,,N,20,","81.7",",a,,N","",""
"US1NYOR0018","2018-06","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","11",",N","5",",N","1",",N","","","","","","","","","31.0",",,N,28,","84.7",",,,N","",""
"US1NYOR0018","2018-07","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","13",",N","11",",N","4",",N","","","","","","","","","44.2",",,N,26,","250.3",",,,N","",""
"US1NYOR0018","2018-08","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","13",",N","7",",N","3",",N","","","","","","","","","43.2",",,N,14,","155.7",",,,N","",""
"US1NYOR0018","2018-09","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","16",",N","12",",N","3",",N","","","","","","","","","34.5",",,N,11,","202.8",",,,N","",""
"US1NYOR0018","2018-10","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","17",",N","9",",N","1",",N","","","","","","","","","47.5",",,N,12,","115.6",",,,N","",""
"US1NYOR0018","2018-11","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","17",",N","11",",N","3",",N","","","","","","","","","60.5",",,N,03,","222.4",",,,N","",""
"US1NYOR0018","2018-12","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","14",",N","7",",N","0",",N","0",",N","0",",N","13",",,N,24,+","18",",,N,24,","24.1",",,N,17,","105.0",",,,N","49",",,,N"
"US1NYOR0018","2019-01","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","14",",N","9",",N","2",",N","7",",N","2",",N","140",",,N,30,","145",",,N,30,","30.2",",,N,01,","138.3",",,,N","296",",,,N"
"US1NYOR0018","2019-02","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","10","3,N","6","3,N","0","3,N","","","2","3,N","","","36","3,,N,18,","17.5","3,,N,21,","83.7",",a,,N","74","3,,,N"
"US1NYOR0018","2019-03","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","9",",N","7",",N","0",",N","11",",N","3",",N","152",",,N,04,","137",",,N,04,","16.8",",,N,22,","54.1",",,,N","238",",,,N"
"US1NYOR0018","2019-04","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","17",",N","11",",N","0",",N","0",",N","0",",N","0",",T,N,06,","3",",,N,06,","21.6",",,N,13,","109.8",",,,N","3",",,,N"
"US1NYOR0018","2019-05","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","24",",N","14",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","23.9",",,N,13,","154.4",",,,N","0",",,,N"
"US1NYOR0018","2019-06","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","12","3,N","6","3,N","1","3,N","","","0","3,N","","","0","3,,N,30,+","28.4","3,,N,19,","81.3",",a,,N","0","3,,,N"
"US1NYOR0018","2020-07","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","16",",N","7",",N","1",",N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","30.2",",,N,11,","89.8",",,,N","0","1,,,N"
"US1NYOR0018","2020-08","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","10",",N","7",",N","2",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","45.2",",,N,05,","113.9",",,,N","0",",,,N"
"US1NYOR0018","2020-09","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","7",",N","4",",N","1",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","47.0",",,N,30,","83.2",",,,N","0",",,,N"
"US1NYOR0018","2020-10","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","15",",N","9",",N","1",",N","0",",N","0",",N","0",",T,N,30,","10",",,N,31,","46.2",",,N,30,","107.7",",,,N","10",",,,N"
"US1NYOR0018","2020-11","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","10",",N","6",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",T,N,18,+","15.2",",,N,12,","59.2",",,,N","0",",T,,N"
"US1NYOR0018","2020-12","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","12",",N","7",",N","3",",N","8",",N","1",",N","356",",,N,17,","356",",,N,17,","51.6",",,N,01,","137.5",",,,N","407",",,,N"
"US1NYOR0018","2021-01","41.541027","-74.1879","125.9","WALDEN 1.3 S, NY US","6",",N","4",",N","0",",N","7",",N","2",",N","89",",,N,04,","107",",,N,04,","22.1",",,N,16,","46.6",",,,N","173",",,,N"
