"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OHRC0003","2009-04","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","16",",N","12",",N","0",",N","","","","","20.3",",,N,15,","94.6",",,,N","",""
"US1OHRC0003","2009-05","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","14",",N","7",",N","0",",N","","","","","22.9",",,N,01,","110.4",",,,N","",""
"US1OHRC0003","2009-06","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","13","3,N","7","3,N","0","3,N","","","","","22.4","3,,N,26,","70.5","3,,,N","",""
"US1OHRC0003","2009-07","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","","","","","","","","","","","","","139.2","2,a,,N","",""
"US1OHRC0003","2009-08","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","11","2,N","7","2,N","3","2,N","","","","","48.5","2,,N,20,","131.2",",a,,N","",""
"US1OHRC0003","2009-09","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","10","3,N","3","3,N","1","3,N","","","","","41.9","3,,N,08,","104.0","1,a,,N","",""
"US1OHRC0003","2009-10","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","15","2,N","11","2,N","2","2,N","","","","","27.9","2,,N,02,","136.3",",a,,N","",""
"US1OHRC0003","2009-11","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","7","5,N","2","5,N","0","5,N","","","","","7.9","5,,N,19,","24.4","2,a,,N","",""
"US1OHRC0003","2009-12","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","14","3,N","5","3,N","0","3,N","","","","","20.3","3,,N,03,","77.0","1,a,,N","",""
"US1OHRC0003","2010-01","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","15","3,N","3","3,N","0","3,N","","","","","21.6","3,,N,25,","44.7","1,a,,N","",""
"US1OHRC0003","2010-02","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","18","3,N","7","3,N","0","3,N","8","3,N","305","3,,N,06,","15.7","3,,N,  ,","63.1","1,a,,N","905","3,,,N"
"US1OHRC0003","2010-03","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","7","3,N","5","3,N","0","3,N","","","","","17.5","3,,N,29,","69.5","1,a,,N","",""
"US1OHRC0003","2010-04","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","8","3,N","7","3,N","0","3,N","","","","","24.1","3,,N,26,","53.5","3,,,N","",""
"US1OHRC0003","2010-05","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","","","","","","","","","","","","","79.2","3,a,,N","",""
"US1OHRC0003","2010-06","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","18","3,N","12","3,N","2","3,N","","","","","54.9","3,,N,05,","221.0","3,,,N","",""
"US1OHRC0003","2010-07","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","12","1,N","10","1,N","0","1,N","","","","","15.0","1,,N,24,","74.4","1,,,N","",""
"US1OHRC0003","2010-08","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","8","2,N","4","2,N","1","2,N","","","","","58.7","2,,N,15,","85.2","2,,,N","",""
"US1OHRC0003","2010-09","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","10","2,N","7","2,N","0","2,N","","","","","19.8","2,,N,28,","57.7","2,,,N","",""
"US1OHRC0003","2010-10","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","10","5,N","5","5,N","0","5,N","","","","","19.3","5,,N,27,","49.0","2,a,,N","",""
"US1OHRC0003","2010-11","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","7",",N","5",",N","1",",N","","","","","45.2",",,N,25,","112.5",",,,N","",""
"US1OHRC0003","2010-12","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","15","1,N","5","1,N","0","1,N","6","2,N","114","2,,N,13,","11.4","1,,N,01,","45.9","1,,,N","342","2,,,N"
"US1OHRC0003","2011-01","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","17","1,N","6","1,N","0","1,N","6","3,N","122","3,,N,12,","7.1","1,,N,21,","42.5","1,,,N","383","3,,,N"
"US1OHRC0003","2011-02","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","13",",N","9",",N","1",",N","4",",N","122",",,N,22,","58.2",",,N,28,","153.5",",,,N","381",",,,N"
"US1OHRC0003","2011-03","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","10","1,N","7","1,N","2","1,N","","","","","40.6","1,,N,05,","122.7","1,,,N","",""
"US1OHRC0003","2011-04","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","20","1,N","13","1,N","2","1,N","","","","","48.5","1,,N,05,","166.5","1,,,N","",""
"US1OHRC0003","2011-05","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","20","2,N","15","2,N","1","2,N","","","","","30.5","2,,N,26,","203.1","2,,,N","",""
"US1OHRC0003","2011-06","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","14",",N","8",",N","1",",N","","","","","33.8",",,N,11,","103.8",",,,N","",""
"US1OHRC0003","2011-07","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","11","1,N","8","1,N","0","1,N","","","","","17.5","1,,N,12,","78.7","1,,,N","",""
"US1OHRC0003","2011-08","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","11",",N","6",",N","2",",N","","","","","28.4",",,N,07,","104.9",",,,N","",""
"US1OHRC0003","2011-09","40.686397","-82.599442","373.4","LEXINGTON 0.9 NW, OH US","18",",N","11",",N","0",",N","","","","","22.6",",,N,20,","110.5",",,,N","",""
