"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OHTR0004","2010-10","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","14",",N","6",",N","0",",N","","","","","","","","","20.1",",,N,27,","65.0",",,,N","",""
"US1OHTR0004","2010-11","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","12",",N","6",",N","0",",N","","","","","","","","","23.4",",,N,26,","92.6",",,,N","",""
"US1OHTR0004","2010-12","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","20",",N","8",",N","1",",N","30","1,N","11","1,N","381","1,,N,09,+","191","1,,N,07,","31.5",",,N,01,","77.9",",,,N","1025","1,,,N"
"US1OHTR0004","2011-01","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","18",",N","7",",N","0",",N","25","2,N","10","1,N","305","2,,N,31,+","109","1,,N,21,+","7.1",",,N,02,","42.6",",,,N","707","1,,,N"
"US1OHTR0004","2011-02","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","13",",N","8",",N","2",",N","25",",N","8",",N","381",",,N,01,","175",",,N,22,","36.6",",,N,28,","119.9",",,,N","610",",,,N"
"US1OHTR0004","2011-03","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","12",",N","8",",N","2",",N","7",",N","3",",N","127",",,N,12,","109",",,N,11,","27.9",",,N,10,","128.1",",,,N","245",",,,N"
"US1OHTR0004","2011-04","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","22","1,N","12","1,N","1","1,N","0","1,N","0","1,N","0","1,T,N,03,+","5","1,,N,01,","32.3","1,,N,05,","158.7","1,,,N","5","1,,,N"
"US1OHTR0004","2011-05","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","19",",N","14",",N","3",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","49.8",",,N,26,","226.9",",,,N","0",",,,N"
"US1OHTR0004","2011-06","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","9",",N","5",",N","2",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","28.4",",,N,08,","77.3",",,,N","0",",,,N"
"US1OHTR0004","2011-07","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","13",",N","10",",N","1",",N","0","1,N","0",",N","0","1,,N,31,+","0",",,N,31,+","44.2",",,N,19,","104.6",",,,N","0",",,,N"
"US1OHTR0004","2011-08","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","14",",N","11",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","18.3",",,N,15,+","137.4",",,,N","0",",,,N"
"US1OHTR0004","2011-09","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","18",",N","12",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","23.1",",,N,11,","152.2",",,,N","0",",,,N"
"US1OHTR0004","2011-10","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","17",",N","12",",N","0",",N","0",",N","0",",N","0",",T,N,29,","0",",T,N,30,+","19.3",",,N,14,","101.8",",,,N","0",",T,,N"
"US1OHTR0004","2011-11","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","12","1,N","8","1,N","1","1,N","0","1,N","0","1,N","13","1,,N,11,","13","1,,N,11,","35.1","1,,N,15,","98.5","1,,,N","13","1,,,N"
"US1OHTR0004","2011-12","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","16",",N","8",",N","1",",N","1",",N","1",",N","25",",,N,18,","25",",,N,18,","30.7",",,N,06,","103.9",",,,N","66",",,,N"
"US1OHTR0004","2012-01","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","16",",N","11",",N","1",",N","16",",N","8",",N","203",",,N,04,","193",",,N,03,","25.7",",,N,27,","87.2",",,,N","649",",,,N"
"US1OHTR0004","2012-02","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","14",",N","7",",N","0",",N","7",",N","5",",N","152",",,N,13,","81",",,N,11,","14.5",",,N,24,","50.6",",,,N","279",",,,N"
"US1OHTR0004","2012-03","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","10",",N","7",",N","0",",N","2",",N","1","1,N","51",",,N,06,+","71","1,,N,05,","18.3",",,N,24,","76.3",",,,N","71","1,,,N"
"US1OHTR0004","2012-04","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","9","2,N","3","2,N","0","2,N","0","2,N","0","2,N","0","2,T,N,11,","3","2,,N,11,","8.9","2,,N,22,","23.4","2,,,N","3","2,,,N"
"US1OHTR0004","2012-05","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","9","1,N","6","1,N","2","1,N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","34.3","1,,N,08,","98.9","1,,,N","0","1,,,N"
"US1OHTR0004","2012-06","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","7",",N","2",",N","1",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","44.2",",,N,02,","65.8",",,,N","0",",,,N"
"US1OHTR0004","2012-07","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","12","1,N","7","1,N","3","1,N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","30.5","1,,N,20,","128.2","1,,,N","0","1,,,N"
"US1OHTR0004","2012-08","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","12",",N","9",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","31.8",",,N,11,","140.0",",,,N","0",",,,N"
"US1OHTR0004","2012-09","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","13","2,N","10","2,N","1","2,N","0","2,N","0","2,N","0","2,,N,30,+","0","2,,N,30,+","30.0","2,,N,05,","112.6","2,,,N","0","2,,,N"
"US1OHTR0004","2012-10","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","14","1,N","9","1,N","1","1,N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","33.8","1,,N,30,","128.1","1,,,N","0","1,,,N"
"US1OHTR0004","2012-11","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","8","1,N","4","1,N","0","1,N","1","1,N","1","1,N","25","1,,N,25,","51","1,,N,25,","10.9","1,,N,13,","26.0","1,,,N","62","1,,,N"
"US1OHTR0004","2012-12","41.197735","-80.972115","275.2","NEWTON FALLS 0.6 N, OH US","18",",N","13",",N","0",",N","10",",N","4",",N","305",",,N,31,+","203",",,N,22,","14.2",",,N,05,","106.2",",,,N","549",",,,N"
