"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OHWD0002","2009-02","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","","","","","","","10","1,N","2","2,N","229","1,,N,01,","64","2,,N,22,","","","","","97","2,,,N"
"US1OHWD0002","2009-03","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","7",",N","6",",N","2",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","37.1",",,N,11,","99.1",",,,N","0",",,,N"
"US1OHWD0002","2009-04","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","10",",N","8",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","21.6",",,N,06,","71.4",",,,N","0",",,,N"
"US1OHWD0002","2009-07","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","10","1,N","6","1,N","0","1,N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","17.0","1,,N,29,","63.3","1,,,N","0","1,,,N"
"US1OHWD0002","2009-08","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","7","2,N","4","2,N","1","2,N","","","0","5,N","","","0","5,,N,31,+","32.5","2,,N,18,","72.3",",a,,N","0","5,,,N"
"US1OHWD0002","2009-09","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","6",",N","5",",N","1",",N","","","","","","","","","25.9",",,N,09,","60.1",",,,N","",""
"US1OHWD0002","2009-10","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","10",",N","10",",N","0",",N","","","","","","","","","19.1",",,N,03,","87.0",",,,N","",""
"US1OHWD0002","2009-11","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","6","2,N","2","2,N","0","2,N","","","","","","","","","5.1","2,,N,19,","14.2","2,,,N","",""
"US1OHWD0002","2010-02","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","5",",N","5",",N","0",",N","","","5",",N","","","198",",,N,10,","15.7",",,N,10,","31.7",",,,N","379",",,,N"
"US1OHWD0002","2010-03","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","9",",N","6",",N","0",",N","","","","","","","","","17.0",",,N,29,","48.5",",,,N","",""
"US1OHWD0002","2010-04","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","7",",N","3",",N","1",",N","","","","","","","","","38.6",",,N,08,","80.8",",,,N","",""
"US1OHWD0002","2010-05","41.39121","-83.675149","203.9","BOWLING GREEN 1.7 NW, OH US","12","4,N","11","4,N","1","4,N","","","","","","","","","30.5","4,,N,28,","126.6","4,,,N","",""
