"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OKCD0017","2013-05","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","10","1,N","4","1,N","1","1,N","","","0","1,N","","","0","1,,N,31,+","33.0","1,,N,19,","83.6","1,,,N","0","1,,,N"
"US1OKCD0017","2013-06","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","6",",N","4",",N","1",",N","","","0",",N","","","0",",,N,30,+","47.0",",,N,17,","89.7",",,,N","0",",,,N"
"US1OKCD0017","2013-07","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","5","2,N","4","2,N","2","2,N","","","0","2,N","","","0","2,,N,31,+","114.3","2,,N,26,","159.8","2,,,N","0","2,,,N"
"US1OKCD0017","2013-08","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","6",",N","4",",N","0",",N","","","0",",N","","","0",",,N,31,+","11.4",",,N,14,","27.7",",,,N","0",",,,N"
"US1OKCD0017","2013-09","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","3",",N","1",",N","","","","","","","","","25.9",",,N,28,","47.3",",,,N","",""
"US1OKCD0017","2013-10","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","5",",N","1",",N","","","","","","","","","36.3",",,N,05,","74.9",",,,N","",""
"US1OKCD0017","2013-11","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","5","2,N","2","2,N","0","2,N","","","","","","","","","10.9","2,,N,06,","22.1","2,,,N","",""
"US1OKCD0017","2013-12","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","4",",N","3",",N","0",",N","","","1","3,N","","","127","3,,N,06,","9.7",",,N,21,","16.3",",,,N","127","3,,,N"
"US1OKCD0017","2014-01","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","2",",N","0",",N","0",",N","","","0","2,N","","","3","2,,N,05,","0.5",",,N,09,","0.8",",,,N","3","2,,,N"
"US1OKCD0017","2014-02","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","5",",N","1",",N","0",",N","3","3,N","3",",N","102","3,,N,03,","76",",,N,03,","3.6",",,N,04,","6.3",",,,N","147",",,,N"
"US1OKCD0017","2014-03","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","4",",N","3",",N","1",",N","1","5,N","1",",N","25","5,,N,03,","25",",,N,03,","25.4",",,N,16,","38.9",",,,N","28",",,,N"
"US1OKCD0017","2014-04","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","8",",N","4",",N","0",",N","","","","","","","","","19.1",",,N,24,","47.4",",,,N","",""
"US1OKCD0017","2014-05","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7","1,N","4","1,N","2","1,N","","","","","","","","","39.9","1,,N,24,","105.7","1,,,N","",""
"US1OKCD0017","2014-06","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","11",",N","9",",N","1",",N","","","","","","","","","47.5",",,N,08,","146.1",",,,N","",""
"US1OKCD0017","2014-07","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","6",",N","0",",N","","","","","","","","","15.5",",,N,30,","57.1",",,,N","",""
"US1OKCD0017","2014-08","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","3",",N","2",",N","1",",N","","","0","5,N","","","0","5,,N,31,+","28.4",",,N,29,","33.7",",,,N","0","5,,,N"
"US1OKCD0017","2014-09","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","4",",N","4",",N","1",",N","","","","","","","","","31.8",",,N,22,","63.9",",,,N","",""
"US1OKCD0017","2014-10","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","8","1,N","3","1,N","0","1,N","","","","","","","","","14.7","1,,N,13,","35.8","1,,,N","",""
"US1OKCD0017","2014-11","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","4",",N","3",",N","2",",N","","","1","5,N","","","94","5,,N,17,","50.0",",,N,04,","87.1",",,,N","94","5,,,N"
"US1OKCD0017","2014-12","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","9","5,N","2","5,N","0","5,N","","","","","","","","","3.8","5,,N,15,","11.0",",a,,N","",""
"US1OKCD0017","2015-01","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","5",",N","2",",N","0",",N","","","","","","","","","13.0",",,N,03,","25.3",",,,N","",""
"US1OKCD0017","2015-02","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","5",",N","1",",N","0",",N","","","0","5,N","","","20","5,,N,28,","19.3",",,N,01,","23.4",",,,N","36","5,,,N"
"US1OKCD0017","2015-03","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","3",",N","0",",N","","","","","","","","","15.7",",,N,10,","27.9",",,,N","",""
"US1OKCD0017","2015-04","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","16",",N","11",",N","1",",N","","","","","","","","","59.7",",,N,27,","172.7",",,,N","",""
"US1OKCD0017","2015-05","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","19",",N","15",",N","6",",N","","","","","","","","","116.8",",,N,24,","474.8",",,,N","",""
"US1OKCD0017","2015-06","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","8",",N","5",",N","1",",N","","","","","","","","","63.8",",,N,13,","92.8",",,,N","",""
"US1OKCD0017","2015-07","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","6","2,N","3","2,N","1","2,N","","","","","","","","","31.8","2,,N,07,","82.2","2,,,N","",""
"US1OKCD0017","2015-08","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","10",",N","6",",N","0",",N","","","","","","","","","14.0",",,N,04,","55.7",",,,N","",""
"US1OKCD0017","2015-09","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","5",",N","0",",N","","","","","","","","","6.6",",,N,09,","30.0",",,,N","",""
"US1OKCD0017","2015-10","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","10","1,N","6","1,N","2","1,N","","","","","","","","","42.9","1,,N,23,","116.5","1,,,N","",""
"US1OKCD0017","2015-11","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7","1,N","4","1,N","2","1,N","","","","","","","","","40.6","1,,N,28,","104.6","1,,,N","",""
"US1OKCD0017","2015-12","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","3","3,N","2","3,N","1","3,N","","","","","","","","","62.5","3,,N,27,","100.6",",a,,N","",""
"US1OKCD0017","2016-01","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","0",",N","0",",N","","","1","5,N","","","25","5,,N,09,","1.8",",,N,16,","6.5",",,,N","38","5,,,N"
"US1OKCD0017","2016-02","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","4",",N","3",",N","0",",N","","","0","4,N","","","0","4,,N,29,+","13.5",",,N,02,","25.7",",,,N","0","4,,,N"
"US1OKCD0017","2016-03","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7","1,N","5","1,N","1","1,N","","","","","","","","","35.6","1,,N,09,","57.7","1,,,N","",""
"US1OKCD0017","2016-04","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","12",",N","8",",N","3",",N","","","","","","","","","67.8",",,N,17,","216.4",",,,N","",""
"US1OKCD0017","2016-05","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","12",",N","5",",N","1",",N","","","","","","","","","25.4",",,N,17,","75.1",",,,N","",""
"US1OKCD0017","2016-06","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","9",",N","6",",N","2",",N","","","","","","","","","56.6",",,N,13,","153.1",",,,N","",""
"US1OKCD0017","2016-07","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","4",",N","0",",N","","","","","","","","","18.8",",,N,30,","50.3",",,,N","",""
"US1OKCD0017","2016-08","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","3",",N","0",",N","","","","","","","","","10.4",",,N,24,","20.7",",,,N","",""
"US1OKCD0017","2016-09","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","9",",N","7",",N","3",",N","","","","","","","","","39.1",",,N,16,","143.0",",,,N","",""
"US1OKCD0017","2016-10","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","1","3,N","0","3,N","0","3,N","","","0","5,N","","","0","5,,N,31,+","0.3","3,,N,05,","0.3","3,,,N","0","5,,,N"
"US1OKCD0017","2016-11","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","5",",N","3",",N","1",",N","","","0","5,N","","","0","5,,N,30,+","34.8",",,N,07,","53.7",",,,N","0","5,,,N"
"US1OKCD0017","2016-12","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7","2,N","2","2,N","0","2,N","","","","","","","","","13.0","2,,N,04,","27.9","2,,,N","",""
"US1OKCD0017","2017-01","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","4",",N","1",",N","","","2","5,N","","","51","5,,N,06,","40.6",",,N,16,","59.2",",,,N","84","5,,,N"
"US1OKCD0017","2017-02","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","3",",N","3",",N","1",",N","","","0","3,N","","","0","3,,N,28,+","37.1",",,N,14,","68.4",",,,N","0","3,,,N"
"US1OKCD0017","2017-03","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","3","3,N","1","3,N","1","3,N","","","","","","","","","74.2","3,,N,29,","77.8",",a,,N","",""
"US1OKCD0017","2017-04","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","9",",N","6",",N","2",",N","","","","","","","","","30.5",",,N,30,","100.6",",,,N","",""
"US1OKCD0017","2017-05","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7",",N","7",",N","1",",N","","","","","","","","","32.3",",,N,11,","58.3",",,,N","",""
"US1OKCD0017","2017-06","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","5",",N","4",",N","0",",N","","","","","","","","","22.4",",,N,07,","62.5",",,,N","",""
"US1OKCD0017","2017-07","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","4",",N","3",",N","1",",N","","","0","3,N","","","0","3,,N,31,+","29.7",",,N,04,","55.1",",,,N","0","3,,,N"
"US1OKCD0017","2017-08","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","11",",N","8",",N","2",",N","","","","","","","","","50.8",",,N,11,","172.7",",,,N","",""
"US1OKCD0017","2017-09","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","9","1,N","6","1,N","1","1,N","","","","","","","","","36.8","1,,N,26,","93.5","1,,,N","",""
"US1OKCD0017","2017-10","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","6",",N","5",",N","1",",N","","","","","","","","","31.5",",,N,22,","68.6",",,,N","",""
"US1OKCD0017","2017-11","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","2","1,N","1","1,N","0","1,N","","","0","5,N","","","0","5,,N,30,+","3.6","1,,N,08,","4.1","1,,,N","0","5,,,N"
"US1OKCD0017","2017-12","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","2",",N","1",",N","0",",N","","","0","3,N","","","3","3,,N,31,","6.1",",,N,20,","6.4",",,,N","3","3,,,N"
"US1OKCD0017","2018-01","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","3",",N","0",",N","0",",N","","","0","3,N","","","0","3,,N,31,+","1.5",",,N,26,","2.8",",,,N","0","3,,,N"
"US1OKCD0017","2018-02","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","8",",N","5",",N","0",",N","","","","","","","","","10.4",",,N,23,","40.1",",,,N","",""
"US1OKCD0017","2018-03","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","5","3,N","1","3,N","0","3,N","","","","","","","","","2.8","3,,N,28,","8.2","3,,,N","",""
"US1OKCD0017","2018-04","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","4","1,N","4","1,N","0","1,N","","","","","","","","","15.2","1,,N,21,","35.6","1,,,N","",""
"US1OKCD0017","2018-05","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","9",",N","5",",N","2",",N","","","","","","","","","32.0",",,N,16,","91.4",",,,N","",""
"US1OKCD0017","2018-06","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","7","2,N","3","2,N","3","2,N","","","","","","","","","43.2","2,,N,25,","101.4","2,,,N","",""
"US1OKCD0017","2018-07","35.104602","-98.444345","398.7","FORT COBB 0.4 NNW, OK US","4","1,N","2","1,N","1","1,N","","","","","","","","","88.9","1,,N,30,","96.3","1,,,N","",""
