"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1OKLN0014","2019-06","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","13","4,N","10","4,N","2","4,N","","","","","47.0","4,,N,07,","141.0","4,,,N","",""
"US1OKLN0014","2019-08","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","17","4,N","10","4,N","3","4,N","","","","","69.3","4,,N,30,","215.3","4,,,N","",""
"US1OKLN0014","2019-09","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","7",",N","4",",N","1",",N","","","","","26.7",",,N,13,","70.0",",,,N","",""
"US1OKLN0014","2019-10","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","10","1,N","4","1,N","2","1,N","","","","","35.3","1,,N,25,","95.9","1,,,N","",""
"US1OKLN0014","2019-11","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","10","1,N","4","1,N","0","1,N","","","","","22.6","1,,N,07,","56.1","1,,,N","",""
"US1OKLN0014","2019-12","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","4",",N","1",",N","0",",N","0","4,N","0","4,,N,31,+","14.5",",,N,29,","17.3",",,,N","0","4,,,N"
"US1OKLN0014","2020-01","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","9","3,N","6","3,N","1","3,N","","","","","45.2","3,,N,17,","97.8","3,,,N","",""
"US1OKLN0014","2020-02","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","9",",N","2",",N","0",",N","","","","","7.4",",,N,12,","21.8",",,,N","",""
"US1OKLN0014","2020-03","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","11","2,N","6","2,N","3","2,N","","","","","40.6","2,,N,14,","138.5","2,,,N","",""
"US1OKLN0014","2020-04","35.585102","-97.112294","297.2","WELLSTON 7.7 SSW, OK US","11","2,N","5","2,N","1","2,N","","","","","33.3","2,,N,12,","65.0","2,,,N","",""
