"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORLA0208","2019-04","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","18",",N","14",",N","2",",N","","","","","52.8",",,N,08,","198.2",",,,N","",""
"US1ORLA0208","2019-05","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","12",",N","6",",N","0",",N","","","","","12.2",",,N,17,","53.1",",,,N","",""
"US1ORLA0208","2019-06","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","4",",N","2",",N","0",",N","0","4,N","0","4,,N,30,+","6.4",",,N,27,","10.2",",,,N","0","4,,,N"
"US1ORLA0208","2019-07","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","2",",N","1",",N","0",",N","0","5,N","0","5,,N,31,+","2.5",",,N,10,","3.3",",,,N","0","5,,,N"
"US1ORLA0208","2019-08","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","5","3,N","1","3,N","0","3,N","","","","","7.6","3,,N,22,","11.9",",a,,N","",""
"US1ORLA0208","2019-09","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","14","5,N","11","5,N","1","5,N","","","","","25.4","5,,N,18,","136.9",",a,,N","",""
"US1ORLA0208","2019-10","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","15",",N","7",",N","0",",N","","","","","10.4",",,N,19,","47.8",",,,N","",""
"US1ORLA0208","2019-11","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","13",",N","4",",N","0",",N","","","","","17.8",",,N,27,","42.2",",,,N","",""
"US1ORLA0208","2020-01","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","27",",N","21",",N","1",",N","","","","","28.4",",,N,11,","277.5",",,,N","",""
"US1ORLA0208","2020-02","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","15",",N","7",",N","0",",N","","","","","22.1",",,N,16,","58.3",",,,N","",""
"US1ORLA0208","2020-03","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","14",",N","8",",N","1",",N","","","","","33.5",",,N,31,","98.1",",,,N","",""
"US1ORLA0208","2020-04","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","15",",N","10",",N","0",",N","","","","","13.5",",,N,06,","80.1",",,,N","",""
"US1ORLA0208","2020-05","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","16",",N","11",",N","0",",N","","","","","20.6",",,N,14,","107.8",",,,N","",""
"US1ORLA0208","2020-06","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","11",",N","5",",N","0",",N","","","","","11.7",",,N,07,","38.6",",,,N","",""
"US1ORLA0208","2020-07","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","0",",N","0",",N","0",",N","0","1,N","0","1,,N,31,+","0.0",",T,N,01,","0.0",",T,,N","0","1,,,N"
"US1ORLA0208","2020-09","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","","","","","","","","","","","","","48.8","5,a,,N","",""
"US1ORLA0208","2020-10","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","8","3,N","4","3,N","0","3,N","","","","","22.9","3,,N,10,","50.9",",a,,N","",""
"US1ORLA0208","2020-11","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","21","1,N","13","1,N","2","1,N","","","","","38.1","1,,N,15,","177.2","1,,,N","",""
"US1ORLA0208","2020-12","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","19","3,N","14","3,N","2","3,N","","","","","40.9","3,,N,20,","200.9",",a,,N","",""
"US1ORLA0208","2021-01","43.89578","-123.24628","239.9","EUGENE 12.7 SSW, OR US","22",",N","15",",N","1",",N","","","","","35.6",",,N,13,","211.3",",,,N","",""
