"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORWS0151","2020-10","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","8","2,N","4","2,N","0","2,N","","","","","17.0","2,,N,10,","38.9",",a,,N","",""
"US1ORWS0151","2020-11","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","25",",N","13",",N","1",",N","","","","","29.2",",,N,13,","159.4",",,,N","",""
"US1ORWS0151","2020-12","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","25",",N","13",",N","1",",N","","","","","33.3",",,N,20,","151.0",",,,N","",""
"US1ORWS0151","2021-01","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","25","2,N","16","2,N","3","2,N","","","","","34.8","2,,N,03,","219.2",",a,,N","",""
"US1ORWS0151","2021-02","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","26",",N","12",",N","0",",N","","","","","22.4",",,N,13,","117.6",",,,N","",""
"US1ORWS0151","2021-03","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","20",",N","7",",N","0",",N","","","","","7.1",",,N,15,","40.4",",,,N","",""
"US1ORWS0151","2021-04","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","7","3,N","2","3,N","0","3,N","","","","","4.1","3,,N,25,","10.3",",a,,N","",""
"US1ORWS0151","2021-05","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","14",",N","1",",N","0",",N","","","","","7.4",",,N,25,","17.8",",,,N","",""
"US1ORWS0151","2021-06","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","9",",N","4",",N","0",",N","","","","","18.0",",,N,14,","40.8",",,,N","",""
"US1ORWS0151","2021-07","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","1","3,N","0","3,N","0","3,N","0","3,N","0","3,,N,31,+","0.3","3,,N,31,","0.3",",a,,N","0","3,,,N"
"US1ORWS0151","2021-08","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","2",",N","0",",N","0",",N","0","3,N","0","3,,N,31,+","0.8",",,N,21,","1.3",",,,N","0","3,,,N"
"US1ORWS0151","2021-10","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","19","4,N","8","4,N","0","4,N","","","","","11.9","4,,N,29,","111.3",",a,,N","",""
"US1ORWS0151","2021-11","45.52912","-122.98485","61.6","HILLSBORO 2.2 W, OR US","28",",N","18",",N","1",",N","","","","","40.6",",,N,12,","191.0",",,,N","",""
