"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1PACH0035","2015-07","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","10","2,N","7","2,N","2","2,N","32.8","2,,N,10,","110.9","2,,,N"
"US1PACH0035","2015-08","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","4","2,N","4","2,N","1","2,N","45.5","2,,N,21,","72.4","2,,,N"
"US1PACH0035","2015-10","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","10","3,N","4","3,N","2","3,N","46.0","3,,N,29,","110.2","3,,,N"
"US1PACH0035","2015-11","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","5","3,N","2","3,N","0","3,N","17.8","3,,N,20,","37.3",",a,,N"
"US1PACH0035","2015-12","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","16",",N","11",",N","1",",N","29.5",",,N,24,","129.4",",,,N"
"US1PACH0035","2016-01","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","7","3,N","4","3,N","2","3,N","30.7","3,,N,10,","69.6","3,,,N"
"US1PACH0035","2016-03","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","8","5,N","3","5,N","0","5,N","14.7","5,,N,14,","44.6","2,a,,N"
"US1PACH0035","2016-04","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","12","3,N","8","3,N","0","3,N","8.9","3,,N,08,","47.3",",a,,N"
"US1PACH0035","2016-05","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","","","","","","","","","108.6","3,a,,N"
"US1PACH0035","2016-06","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","11","2,N","6","2,N","0","2,N","12.2","2,,N,06,","39.2","2,,,N"
"US1PACH0035","2016-07","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","8","2,N","6","2,N","1","2,N","30.2","2,,N,25,","98.1","2,,,N"
"US1PACH0035","2016-09","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","7",",N","5",",N","2",",N","55.4",",,N,30,","130.2",",,,N"
"US1PACH0035","2016-11","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","5",",N","2",",N","1",",N","29.0",",,N,30,","44.5",",,,N"
"US1PACH0035","2016-12","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","","","","","","","","","112.5","4,a,,N"
"US1PACH0035","2017-01","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","14","3,N","8","3,N","0","3,N","24.9","3,,N,24,","88.0","3,,,N"
"US1PACH0035","2017-04","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","12","2,N","7","2,N","2","2,N","44.2","2,,N,01,","127.6","2,,,N"
"US1PACH0035","2017-05","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","","","","","","","","","134.2","2,a,,N"
"US1PACH0035","2017-08","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","","","","","","","","","102.9","5,a,,N"
"US1PACH0035","2017-11","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","6","5,N","3","5,N","0","5,N","20.8","5,,N,19,","43.7",",a,,N"
"US1PACH0035","2018-02","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","","","","","","","","","167.6","4,a,,N"
"US1PACH0035","2018-04","40.139455","-75.574568","52.4","PHOENIXVILLE 2.9 W, PA US","","","","","","","","","77.3","5,a,,N"
