"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1PAWN0041","2009-08","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","10","3,N","6","3,N","1","3,N","34.8","3,,N,22,","121.9",",a,,N"
"US1PAWN0041","2009-10","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","15","1,N","5","1,N","0","1,N","19.3","1,,N,29,","93.5","1,,,N"
"US1PAWN0041","2009-11","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","25.2",",a,,N"
"US1PAWN0041","2010-06","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","51.6","5,a,,N"
"US1PAWN0041","2010-07","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","14","4,N","6","4,N","0","4,N","14.5","4,,N,20,","64.9",",a,,N"
"US1PAWN0041","2010-11","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","64.1","4,a,,N"
"US1PAWN0041","2011-05","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","107.0",",a,,N"
"US1PAWN0041","2011-06","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","180.2","1,a,,N"
"US1PAWN0041","2011-07","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","8","3,N","5","3,N","1","3,N","32.0","3,,N,09,","111.1",",a,,N"
"US1PAWN0041","2011-09","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","269.8",",a,,N"
"US1PAWN0041","2011-10","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","96.4","1,a,,N"
"US1PAWN0041","2011-11","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","74.2","2,a,,N"
"US1PAWN0041","2012-04","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","8","3,N","3","3,N","1","3,N","36.3","3,,N,23,","59.3","1,a,,N"
"US1PAWN0041","2012-05","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","121.1",",a,,N"
"US1PAWN0041","2012-06","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","71.3","4,a,,N"
"US1PAWN0041","2012-07","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","13","4,N","6","4,N","0","4,N","24.6","4,,N,24,","110.9","2,a,,N"
"US1PAWN0041","2012-08","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","10","4,N","6","4,N","0","4,N","17.0","4,,N,15,","76.1",",a,,N"
"US1PAWN0041","2012-10","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","135.4","1,a,,N"
"US1PAWN0041","2012-11","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","18.4","1,a,,N"
"US1PAWN0041","2013-04","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","53.3",",a,,N"
"US1PAWN0041","2013-05","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","70.8","2,a,,N"
"US1PAWN0041","2013-07","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","12","2,N","4","2,N","0","2,N","13.5","2,,N,23,","36.3","2,,,N"
"US1PAWN0041","2013-08","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","18","4,N","8","4,N","0","4,N","12.7","4,,N,10,","68.1",",a,,N"
"US1PAWN0041","2013-09","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","8",",N","5",",N","0",",N","20.6",",,N,03,","59.8",",,,N"
"US1PAWN0041","2013-11","41.451061","-75.344978","446.8","LAKE ARIEL 2.0 ESE, PA US","","","","","","","","","58.4","1,a,,N"
