"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1RIPR0071","2020-04","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","18",",N","13",",N","2",",N","45.2",",,N,14,","148.2",",,,N"
"US1RIPR0071","2020-05","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","12","2,N","7","2,N","1","2,N","36.1","2,,N,01,","74.2","2,,,N"
"US1RIPR0071","2020-06","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","8",",N","5",",N","0",",N","22.6",",,N,07,","56.5",",,,N"
"US1RIPR0071","2020-07","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","11",",N","4",",N","0",",N","19.6",",,N,29,","51.0",",,,N"
"US1RIPR0071","2020-08","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","7",",N","6",",N","0",",N","13.5",",,N,23,","45.1",",,,N"
"US1RIPR0071","2020-09","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","6","1,N","3","1,N","0","1,N","15.2","1,,N,30,","30.5","1,,,N"
"US1RIPR0071","2020-10","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","16",",N","9",",N","2",",N","45.0",",,N,17,","139.9",",,,N"
"US1RIPR0071","2020-11","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","10",",N","8",",N","1",",N","27.2",",,N,24,","97.3",",,,N"
"US1RIPR0071","2020-12","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","11",",N","10",",N","4",",N","84.1",",,N,01,","247.5",",,,N"
"US1RIPR0071","2021-01","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","8","1,N","4","1,N","0","1,N","22.9","1,,N,16,","61.9","1,,,N"
"US1RIPR0071","2021-03","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","7",",N","4",",N","1",",N","27.4",",,N,29,","66.3",",,,N"
"US1RIPR0071","2021-04","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","10","1,N","7","1,N","2","1,N","31.2","1,,N,16,","101.6","1,,,N"
"US1RIPR0071","2021-05","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","11","1,N","8","1,N","2","1,N","58.9","1,,N,29,","150.1","1,,,N"
"US1RIPR0071","2021-07","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","","","","","","","","","174.6","4,a,,N"
"US1RIPR0071","2021-08","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","","","","","","","","","115.2","4,a,,N"
"US1RIPR0071","2021-09","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","10","2,N","4","2,N","0","2,N","15.0","2,,N,10,","167.4",",a,,N"
"US1RIPR0071","2021-10","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","9","1,N","8","1,N","3","1,N","44.7","1,,N,31,","164.7","1,,,N"
"US1RIPR0071","2021-11","41.785076","-71.476503","54.6","CRANSTON 1.3 N, RI US","9","1,N","4","1,N","0","1,N","23.1","1,,N,13,","45.2","1,,,N"
