"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1SCFL0011","2013-07","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","12","5,N","9","5,N","3","5,N","71.4","5,,N,28,","237.4",",a,,N"
"US1SCFL0011","2013-08","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","12","2,N","8","2,N","2","2,N","37.8","2,,N,19,","150.5",",a,,N"
"US1SCFL0011","2013-09","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","7",",N","3",",N","0",",N","14.2",",,N,03,","32.2",",,,N"
"US1SCFL0011","2013-10","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","4","2,N","3","2,N","1","2,N","34.8","2,,N,07,","54.1",",a,,N"
"US1SCFL0011","2013-11","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","5","2,N","3","2,N","0","2,N","24.9","2,,N,27,","49.0",",a,,N"
"US1SCFL0011","2013-12","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","10","4,N","6","4,N","1","4,N","39.4","4,,N,15,","119.8",",a,,N"
"US1SCFL0011","2014-01","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","5","3,N","3","3,N","0","3,N","10.7","3,,N,03,","64.8",",a,,N"
"US1SCFL0011","2014-02","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","","","","","","","","","94.4",",a,,N"
"US1SCFL0011","2014-03","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","","","","","","","","","136.1","1,a,,N"
"US1SCFL0011","2014-04","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","3","4,N","1","4,N","0","4,N","20.3","4,,N,08,","101.6",",a,,N"
"US1SCFL0011","2014-05","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","6",",N","3",",N","1",",N","30.7",",,N,16,","58.0",",,,N"
"US1SCFL0011","2014-06","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","10",",N","5",",N","1",",N","52.1",",,N,22,","93.3",",,,N"
"US1SCFL0011","2015-03","34.1809425354004","-79.8638763427734","41.8","FLORENCE 4.8 W, SC US","","","","","","","","","72.1","1,a,,N"
