"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1SDCP0008","2013-06","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","7","3,N","4","3,N","0","3,N","17.0","3,,N,12,","45.0","3,,,N"
"US1SDCP0008","2013-07","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","7","2,N","6","2,N","1","2,N","36.1","2,,N,09,","88.6","2,,,N"
"US1SDCP0008","2013-08","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","5",",N","3",",N","0",",N","18.0",",,N,04,","43.4",",,,N"
"US1SDCP0008","2013-09","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","7","1,N","4","1,N","2","1,N","34.3","1,,N,09,","80.5","1,,,N"
"US1SDCP0008","2014-04","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","7","2,N","5","2,N","1","2,N","27.4","2,,N,28,","70.0","2,,,N"
"US1SDCP0008","2014-05","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","8","4,N","4","4,N","0","4,N","16.0","4,,N,09,","36.7","4,,,N"
"US1SDCP0008","2014-06","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","19",",N","12",",N","2",",N","50.8",",,N,19,","186.2",",,,N"
"US1SDCP0008","2014-07","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","6","1,N","0","1,N","0","1,N","2.3","1,,N,08,","7.9","1,,,N"
"US1SDCP0008","2014-08","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","13","4,N","9","4,N","2","4,N","36.8","4,,N,23,","144.2","4,,,N"
"US1SDCP0008","2014-09","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","6","2,N","3","2,N","0","2,N","2.5","2,,N,19,+","9.4","2,,,N"
"US1SDCP0008","2014-10","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","4","5,N","2","5,N","0","5,N","10.9","5,,N,13,","16.5","5,,,N"
"US1SDCP0008","2015-04","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","5","3,N","2","3,N","0","3,N","8.4","3,,N,19,","12.3","3,,,N"
"US1SDCP0008","2015-05","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","13","4,N","10","4,N","2","4,N","62.2","4,,N,11,","158.4","4,,,N"
"US1SDCP0008","2015-06","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","12",",N","9",",N","0",",N","23.9",",,N,22,","100.6",",,,N"
"US1SDCP0008","2015-09","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","6","3,N","2","3,N","0","3,N","12.2","3,,N,19,","18.5","3,,,N"
"US1SDCP0008","2015-10","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","5","2,N","4","2,N","0","2,N","17.0","2,,N,23,","32.2","2,,,N"
"US1SDCP0008","2016-04","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","10",",N","9",",N","1",",N","34.3",",,N,19,","121.5",",,,N"
"US1SDCP0008","2016-05","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","9","3,N","5","3,N","1","3,N","30.7","3,,N,10,","90.0","3,,,N"
"US1SDCP0008","2016-06","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","6","1,N","5","1,N","1","1,N","53.1","1,,N,19,","73.0","1,,,N"
"US1SDCP0008","2016-07","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","10","3,N","4","3,N","0","3,N","18.0","3,,N,11,","56.2","3,,,N"
"US1SDCP0008","2016-09","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","8","1,N","1","1,N","0","1,N","15.2","1,,N,24,","23.0","1,,,N"
"US1SDCP0008","2016-10","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","4","4,N","1","4,N","0","4,N","7.4","4,,N,30,","11.0","4,,,N"
"US1SDCP0008","2017-04","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","3","3,N","2","3,N","0","3,N","10.2","3,,N,20,","14.5","3,,,N"
"US1SDCP0008","2017-06","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","8","2,N","4","2,N","0","2,N","23.6","2,,N,13,","39.5","2,,,N"
"US1SDCP0008","2017-07","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","9",",N","5",",N","1",",N","60.5",",,N,20,","114.6",",,,N"
"US1SDCP0008","2017-08","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","10",",N","7",",N","1",",N","60.5",",,N,16,","120.2",",,,N"
"US1SDCP0008","2017-09","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","6",",N","4",",N","1",",N","25.4",",,N,24,","55.9",",,,N"
"US1SDCP0008","2017-10","45.612942","-100.275761","541.9","GLENHAM 5.5 N, SD US","5","5,N","1","5,N","0","5,N","4.3","5,,N,15,","8.4","5,,,N"
