"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TNWS0020","2019-11","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","9","3,N","5","3,N","1","3,N","31.5","3,,N,24,","92.3","3,,,N"
"US1TNWS0020","2019-12","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","15","2,N","8","2,N","1","2,N","49.8","2,,N,01,","113.7","2,,,N"
"US1TNWS0020","2020-01","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","15","5,N","11","5,N","1","5,N","25.7","5,,N,03,","125.6","2,a,,N"
"US1TNWS0020","2020-02","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","15","2,N","10","2,N","2","2,N","58.9","2,,N,06,","201.6",",a,,N"
"US1TNWS0020","2020-03","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","20","2,N","12","2,N","2","2,N","33.8","2,,N,21,","158.5",",a,,N"
"US1TNWS0020","2020-04","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","18","2,N","11","2,N","2","2,N","80.3","2,,N,13,","194.1",",a,,N"
"US1TNWS0020","2020-05","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","15","1,N","10","1,N","0","1,N","21.8","1,,N,21,","87.1","1,,,N"
"US1TNWS0020","2020-06","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","16","3,N","8","3,N","1","3,N","27.4","3,,N,15,","81.7","3,,,N"
"US1TNWS0020","2020-07","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","","","","","","","","","99.8","5,a,,N"
"US1TNWS0020","2020-08","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","20","3,N","11","3,N","1","3,N","37.1","3,,N,16,","107.3","3,,,N"
"US1TNWS0020","2020-09","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","16","1,N","10","1,N","1","1,N","31.5","1,,N,25,","131.7","1,,,N"
"US1TNWS0020","2020-10","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","10","1,N","4","1,N","2","1,N","45.2","1,,N,11,","118.0","1,,,N"
"US1TNWS0020","2020-11","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","8","1,N","4","1,N","1","1,N","41.9","1,,N,12,","59.5","1,,,N"
"US1TNWS0020","2020-12","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","14","4,N","6","4,N","0","4,N","22.4","4,,N,14,","83.0","2,a,,N"
"US1TNWS0020","2021-01","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","18","5,N","7","5,N","0","5,N","23.6","5,,N,26,","73.5","3,a,,N"
"US1TNWS0020","2021-03","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","11","4,N","9","4,N","2","4,N","35.3","4,,N,26,","154.9","2,a,,N"
"US1TNWS0020","2021-04","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","","","","","","","","","47.3","4,a,,N"
"US1TNWS0020","2021-05","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","10","4,N","8","4,N","0","4,N","18.5","4,,N,29,","79.6","4,,,N"
"US1TNWS0020","2021-06","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","7","5,N","6","5,N","0","5,N","20.1","5,,N,22,","84.1","2,a,,N"
"US1TNWS0020","2021-07","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","19",",N","6",",N","1",",N","81.5",",,N,02,","149.2",",,,N"
"US1TNWS0020","2021-08","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","13","3,N","9","3,N","1","3,N","57.4","3,,N,18,","112.9","3,,,N"
"US1TNWS0020","2021-09","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","9","1,N","5","1,N","1","1,N","32.0","1,,N,01,","65.0","1,,,N"
"US1TNWS0020","2021-10","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","12","5,N","8","5,N","0","5,N","24.9","5,,N,08,","103.4","3,a,,N"
"US1TNWS0020","2021-11","36.299343","-82.600868","494.1","LIMESTONE 5.0 NNE, TN US","7","5,N","4","5,N","0","5,N","9.9","5,,N,22,","31.3","5,,,N"
