"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXBSQ002","2013-08","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","2","3,N","1","3,N","0","3,N","0","5,N","0","5,,N,31,+","3.8","3,,N,18,","4.3","3,,,N","0","5,,,N"
"US1TXBSQ002","2013-09","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","4","1,N","3","1,N","1","1,N","0","5,N","0","5,,N,30,+","82.6","1,,N,20,","99.6","1,,,N","0","5,,,N"
"US1TXBSQ002","2013-10","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","8","1,N","3","1,N","2","1,N","","","","","28.7","1,,N,14,","63.8","1,,,N","",""
"US1TXBSQ002","2013-11","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","7","2,N","5","2,N","0","2,N","","","","","13.5","2,,N,25,","47.6","2,,,N","",""
"US1TXBSQ002","2013-12","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","4","1,N","2","1,N","1","1,N","0","5,N","0","5,,N,31,+","30.5","1,,N,06,","51.4","1,,,N","0","5,,,N"
"US1TXBSQ002","2014-01","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","2","3,N","0","3,N","0","3,N","0","5,N","0","5,,N,31,+","1.5","3,,N,09,","2.3","3,,,N","0","5,,,N"
"US1TXBSQ002","2014-02","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","5","3,N","2","3,N","0","3,N","","","","","4.3","3,,N,03,","9.7","3,,,N","",""
"US1TXBSQ002","2014-04","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","7","5,N","6","5,N","0","5,N","","","","","5.1","5,,N,14,+","25.6","5,,,N","",""
"US1TXBSQ002","2014-05","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","8","3,N","7","3,N","4","3,N","","","","","55.9","3,,N,09,","201.9","3,,,N","",""
"US1TXBSQ002","2014-06","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","8","1,N","7","1,N","3","1,N","","","","","237.2","1,,N,23,","333.7","1,,,N","",""
"US1TXBSQ002","2014-07","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","4","3,N","3","3,N","1","3,N","","","","","37.3","3,,N,18,","45.5","3,,,N","",""
"US1TXBSQ002","2014-10","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","2","1,N","2","1,N","2","1,N","0","3,N","0","3,,N,31,+","36.8","1,,N,11,","69.8","1,,,N","0","3,,,N"
"US1TXBSQ002","2014-11","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","5","3,N","3","3,N","1","3,N","","","","","30.5","3,,N,05,","57.0","3,,,N","",""
"US1TXBSQ002","2014-12","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","7","5,N","3","5,N","0","5,N","","","","","10.9","5,,N,23,","26.1","5,,,N","",""
"US1TXBSQ002","2015-01","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","5","3,N","4","3,N","1","3,N","","","","","38.1","3,,N,22,","93.0","3,,,N","",""
"US1TXBSQ002","2015-02","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","5","3,N","5","3,N","0","3,N","","","","","20.3","3,,N,26,","52.6","3,,,N","",""
"US1TXBSQ002","2015-03","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","11","2,N","6","2,N","1","2,N","","","","","30.5","2,,N,05,","90.6","2,,,N","",""
"US1TXBSQ002","2015-04","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","12","2,N","8","2,N","1","2,N","","","","","44.7","2,,N,27,","110.2","2,,,N","",""
"US1TXBSQ002","2015-05","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","13","3,N","13","3,N","5","3,N","","","","","86.4","3,,N,29,","370.5","3,,,N","",""
"US1TXBSQ002","2015-10","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","5","2,N","5","2,N","3","2,N","","","","","139.7","2,,N,24,","343.2","2,,,N","",""
"US1TXBSQ002","2015-11","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","10",",N","8",",N","3",",N","","","","","50.0",",,N,28,","183.2",",,,N","",""
"US1TXBSQ002","2015-12","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","4","2,N","3","2,N","2","2,N","","","","","31.8","2,,N,28,","78.1","2,,,N","",""
"US1TXBSQ002","2016-01","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","17.8",",,N,07,","18.3",",,,N","0","2,,,N"
"US1TXBSQ002","2016-02","32.11133333","-97.57533333","234.7","KOPPERL 5.2 WNW, TX US","3","3,N","3","3,N","1","3,N","","","","","27.9","3,,N,23,","45.2","3,,,N","",""
