"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXBST095","2014-11","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","7",",N","5",",N","3",",N","","","","","67.6",",,N,23,","134.1",",,,N","",""
"US1TXBST095","2014-12","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","8","2,N","4","2,N","1","2,N","","","","","44.2","2,,N,19,","58.2",",a,,N","",""
"US1TXBST095","2015-01","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","11",",N","7",",N","2",",N","","","","","35.8",",,N,23,","151.0",",,,N","",""
"US1TXBST095","2015-02","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","10",",N","3",",N","0",",N","","","","","7.1",",,N,04,","22.4",",,,N","",""
"US1TXBST095","2015-03","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","14","3,N","8","3,N","2","3,N","","","","","46.0","3,,N,10,","143.9","3,,,N","",""
"US1TXBST095","2015-04","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","11",",N","7",",N","0",",N","","","","","20.8",",,N,27,","85.1",",,,N","",""
"US1TXBST095","2015-05","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","19","1,N","15","1,N","6","1,N","","","","","139.7","1,,N,06,","471.2","1,,,N","",""
"US1TXBST095","2015-06","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","13",",N","6",",N","1",",N","","","","","45.2",",,N,17,","82.7",",,,N","",""
"US1TXBST095","2015-07","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","2",",N","1",",N","0",",N","0","3,N","0","3,,N,31,+","4.1",",,N,02,","5.4",",,,N","0","3,,,N"
"US1TXBST095","2015-08","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","3",",N","2",",N","1",",N","0","5,N","0","5,,N,31,+","28.2",",,N,22,","35.4",",,,N","0","5,,,N"
"US1TXBST095","2015-09","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","5",",N","1",",N","0",",N","","","","","21.6",",,N,02,","25.2",",,,N","",""
"US1TXBST095","2015-10","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","6",",N","5",",N","3",",N","","","","","206.0",",,N,31,","426.4",",,,N","",""
"US1TXBST095","2015-12","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","8",",N","3",",N","2",",N","","","","","45.5",",,N,28,","96.6",",,,N","",""
"US1TXBST095","2016-01","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","7",",N","2",",N","0",",N","","","","","13.2",",,N,07,","20.4",",,,N","",""
"US1TXBST095","2016-02","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","4",",N","3",",N","1",",N","0","4,N","0","4,,N,29,+","34.0",",,N,23,","40.4",",,,N","0","4,,,N"
"US1TXBST095","2016-03","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","10",",N","5",",N","3",",N","","","","","65.5",",,N,10,","135.9",",,,N","",""
"US1TXBST095","2016-04","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","13","1,N","9","1,N","2","1,N","","","","","66.8","1,,N,18,","197.5","1,,,N","",""
"US1TXBST095","2016-05","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","15",",N","6",",N","2",",N","","","","","65.0",",,N,20,","163.1",",,,N","",""
"US1TXBST095","2016-06","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","9",",N","5",",N","1",",N","","","","","33.5",",,N,29,","73.8",",,,N","",""
"US1TXBST095","2016-07","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","3",",N","1",",N","0",",N","0","4,N","0","4,,N,31,+","3.6",",,N,28,","4.4",",,,N","0","4,,,N"
"US1TXBST095","2016-08","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","11",",N","8",",N","4",",N","","","","","139.4",",,N,21,","310.8",",,,N","",""
"US1TXBST095","2016-09","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","5",",N","3",",N","1",",N","0","5,N","0","5,,N,30,+","25.4",",,N,26,","49.4",",,,N","0","5,,,N"
"US1TXBST095","2016-10","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","3",",N","1",",N","0",",N","","","","","22.9",",,N,14,","24.4",",,,N","",""
"US1TXBST095","2016-11","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","12",",N","5",",N","2",",N","","","","","61.0",",,N,07,","109.9",",,,N","",""
"US1TXBST095","2016-12","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","10",",N","4",",N","1",",N","","","","","26.4",",,N,04,","82.3",",,,N","",""
"US1TXBST095","2017-01","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","10",",N","5",",N","1",",N","","","","","27.2",",,N,18,","92.4",",,,N","",""
"US1TXBST095","2017-02","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","8",",N","2",",N","1",",N","","","","","36.6",",,N,20,","66.5",",,,N","",""
"US1TXBST095","2017-03","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","8",",N","4",",N","1",",N","","","","","38.4",",,N,29,","75.8",",,,N","",""
"US1TXBST095","2017-04","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","7",",N","5",",N","1",",N","","","","","30.0",",,N,12,","75.0",",,,N","",""
"US1TXBST095","2017-05","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","9",",N","6",",N","0",",N","","","","","24.1",",,N,29,","100.3",",,,N","",""
"US1TXBST095","2017-06","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","4",",N","2",",N","1",",N","","","","","36.1",",,N,26,","45.3",",,,N","",""
"US1TXBST095","2017-07","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","2",",N","2",",N","0",",N","0","4,N","0","4,,N,31,+","4.6",",,N,16,","8.2",",,,N","0","4,,,N"
"US1TXBST095","2017-08","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","8",",N","6",",N","4",",N","","","","","186.4",",,N,27,","391.5",",,,N","",""
"US1TXBST095","2017-09","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","4",",N","3",",N","0",",N","","","","","15.2",",,N,29,","38.9",",,,N","",""
"US1TXBST095","2017-10","30.376829","-97.326944","157.9","ELGIN 3.3 NE, TX US","2",",N","2",",N","1",",N","0","4,N","0","4,,N,31,+","63.5",",,N,04,","84.3",",,,N","0","4,,,N"
