"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXBXR436","2020-05","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","11","3,N","8","3,N","2","3,N","54.9","3,,N,25,","146.1","3,,,N"
"US1TXBXR436","2020-06","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","9","2,N","7","2,N","1","2,N","34.3","2,,N,26,","77.4",",a,,N"
"US1TXBXR436","2020-07","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","2","2,N","2","2,N","0","2,N","9.7","2,,N,26,","14.8",",a,,N"
"US1TXBXR436","2020-08","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","5","2,N","5","2,N","0","2,N","16.5","2,,N,04,","40.1",",a,,N"
"US1TXBXR436","2020-09","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","","","","","","","","","133.1",",a,,N"
"US1TXBXR436","2020-10","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","7",",N","0",",N","0",",N","2.0",",,N,28,+","5.9",",,,N"
"US1TXBXR436","2020-11","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","1","3,N","0","3,N","0","3,N","0.5","3,,N,25,","36.8",",a,,N"
"US1TXBXR436","2020-12","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","4","2,N","1","2,N","0","2,N","8.9","2,,N,31,","12.7",",a,,N"
"US1TXBXR436","2021-01","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","7","3,N","3","3,N","0","3,N","8.9","3,,N,20,","41.2","1,a,,N"
"US1TXBXR436","2021-03","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","","","","","","","","","21.3","1,a,,N"
"US1TXBXR436","2021-04","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","","","","","","","","","66.5",",a,,N"
"US1TXBXR436","2021-05","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","13","2,N","8","2,N","5","2,N","59.9","2,,N,01,","289.4",",a,,N"
"US1TXBXR436","2021-06","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","","","","","","","","","55.5","2,a,,N"
"US1TXBXR436","2021-07","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","","","","","","","","","268.3",",a,,N"
"US1TXBXR436","2021-08","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","","","","","","","","","93.3",",a,,N"
"US1TXBXR436","2021-09","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","","","","","","","","","129.2",",a,,N"
"US1TXBXR436","2021-10","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","","","","","","","","","123.1","3,a,,N"
"US1TXBXR436","2021-11","29.653481","-98.683394","419.7","CROSS MOUNTAIN 1.6 WNW, TX US","","","","","","","","","32.8","4,a,,N"
