"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXCLR004","2014-05","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","5",",N","5",",N","3",",N","0","5,N","0","5,,N,31,+","68.6",",,N,13,","198.9",",,,N","0","5,,,N"
"US1TXCLR004","2014-06","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","6",",N","6",",N","2",",N","0","5,N","0","5,,N,30,+","106.4",",,N,10,","157.4",",,,N","0","5,,,N"
"US1TXCLR004","2014-07","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","3",",N","3",",N","0",",N","0","3,N","0","3,,N,31,+","14.7",",,N,06,","29.4",",,,N","0","3,,,N"
"US1TXCLR004","2014-08","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","1",",N","0",",N","0",",N","0","1,N","0","1,,N,31,+","1.5",",,N,01,","1.5",",,,N","0","1,,,N"
"US1TXCLR004","2014-09","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","4",",N","4",",N","1",",N","0","4,N","0","4,,N,30,+","35.8",",,N,17,","71.6",",,,N","0","4,,,N"
"US1TXCLR004","2014-10","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","1",",N","1",",N","0",",N","0","1,N","0","1,,N,31,+","19.6",",,N,03,","19.6",",,,N","0","1,,,N"
"US1TXCLR004","2014-11","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","5",",N","4",",N","3",",N","0","5,N","0","5,,N,30,+","64.8",",,N,23,","141.0",",,,N","0","5,,,N"
"US1TXCLR004","2014-12","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","5",",N","3",",N","1",",N","0","3,N","0","3,,N,31,+","54.6",",,N,19,","71.8",",,,N","0","3,,,N"
"US1TXCLR004","2015-01","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","7",",N","5",",N","0",",N","","","","","22.6",",,N,23,","49.2",",,,N","",""
"US1TXCLR004","2015-02","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","7",",N","3",",N","0",",N","","","","","11.4",",,N,04,","24.1",",,,N","",""
"US1TXCLR004","2015-03","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","7","4,N","6","4,N","3","4,N","","","","","63.2","4,,N,10,","146.2","4,,,N","",""
"US1TXCLR004","2015-04","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","8","5,N","6","5,N","1","5,N","","","","","27.7","5,,N,13,","72.6","5,,,N","",""
"US1TXCLR004","2015-06","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","8",",N","8",",N","4",",N","","","","","90.2",",,N,17,","218.3",",,,N","",""
"US1TXCLR004","2015-07","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,31,+","13.0",",,N,02,","19.6",",,,N","0","3,,,N"
"US1TXCLR004","2015-08","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","2","2,N","2","2,N","0","2,N","0","2,N","0","2,,N,31,+","12.7","2,,N,21,","16.8","2,,,N","0","2,,,N"
"US1TXCLR004","2015-09","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","2","2,N","2","2,N","0","2,N","0","2,N","0","2,,N,30,+","19.3","2,,N,12,","28.7","2,,,N","0","2,,,N"
"US1TXCLR004","2015-10","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","3","2,N","3","2,N","3","2,N","0","3,N","0","3,,N,31,+","101.3","2,,N,25,","211.0","2,,,N","0","3,,,N"
"US1TXCLR004","2015-12","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","","","","","","","0","3,N","0","3,,N,31,+","","","","","0","3,,,N"
"US1TXCLR004","2016-01","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","3","4,N","2","4,N","0","4,N","0","5,N","0","5,,N,31,+","13.2","4,,N,07,","18.6","4,,,N","0","5,,,N"
"US1TXCLR004","2016-02","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","3",",N","2",",N","1",",N","0","3,N","0","3,,N,29,+","42.7",",,N,23,","60.7",",,,N","0","3,,,N"
"US1TXCLR004","2016-03","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","6",",N","5",",N","1",",N","0","5,N","0","5,,N,31,+","64.5",",,N,10,","89.1",",,,N","0","5,,,N"
"US1TXCLR004","2016-04","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","8",",N","8",",N","3",",N","","","","","115.3",",,N,18,","266.1",",,,N","",""
"US1TXCLR004","2016-05","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","8",",N","8",",N","2",",N","","","","","65.5",",,N,20,","138.9",",,,N","",""
"US1TXCLR004","2016-06","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","9",",N","8",",N","0",",N","","","","","15.5",",,N,01,","74.9",",,,N","",""
"US1TXCLR004","2016-07","29.708778","-96.795171","118.9","WEIMAR 1.2 WNW, TX US","4",",N","2",",N","0",",N","0","4,N","0","4,,N,31,+","10.4",",,N,27,","21.3",",,,N","0","4,,,N"
