"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXDA0099","2020-06","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","6",",N","3",",N","1",",N","71.6",",,N,20,","90.4",",,,N"
"US1TXDA0099","2020-07","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","6",",N","4",",N","0",",N","24.9",",,N,29,","51.9",",,,N"
"US1TXDA0099","2020-08","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","3",",N","3",",N","0",",N","19.8",",,N,27,","41.4",",,,N"
"US1TXDA0099","2020-09","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","9",",N","5",",N","2",",N","47.2",",,N,02,","105.6",",,,N"
"US1TXDA0099","2020-10","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","6",",N","6",",N","0",",N","17.5",",,N,24,","45.5",",,,N"
"US1TXDA0099","2020-11","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","4",",N","2",",N","0",",N","10.7",",,N,29,","22.4",",,,N"
"US1TXDA0099","2020-12","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","11",",N","5",",N","0",",N","22.9",",,N,31,","62.5",",,,N"
"US1TXDA0099","2021-01","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","12","1,N","7","1,N","1","1,N","73.4","1,,N,01,","107.5","1,,,N"
"US1TXDA0099","2021-02","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","7","1,N","5","1,N","1","1,N","33.3","1,,N,26,","52.6","1,,,N"
"US1TXDA0099","2021-03","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","9",",N","6",",N","1",",N","39.6",",,N,25,","89.9",",,,N"
"US1TXDA0099","2021-04","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","10",",N","7",",N","2",",N","37.8",",,N,29,","109.6",",,,N"
"US1TXDA0099","2021-05","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","19",",N","12",",N","2",",N","66.5",",,N,17,","206.8",",,,N"
"US1TXDA0099","2021-06","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","12","1,N","6","1,N","0","1,N","22.4","1,,N,01,","71.9","1,,,N"
"US1TXDA0099","2021-07","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","8",",N","6",",N","1",",N","29.2",",,N,11,","75.2",",,,N"
"US1TXDA0099","2021-08","32.74092","-96.58863","133.5","MESQUITE 2.0 SSE, TX US","6","2,N","4","2,N","2","2,N","57.9","2,,N,15,","129.9","2,,,N"
