"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXEL0050","2018-12","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","8",",N","7",",N","2",",N","","","","","35.6",",,N,27,","96.1",",,,N","",""
"US1TXEL0050","2019-01","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","5","2,N","3","2,N","1","2,N","","","","","26.2","2,,N,03,","42.0","2,,,N","",""
"US1TXEL0050","2019-02","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","11",",N","4",",N","0",",N","","","","","9.9",",,N,20,","37.9",",,,N","",""
"US1TXEL0050","2019-04","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","7","4,N","6","4,N","2","4,N","","","","","38.4","4,,N,14,","128.8","2,a,,N","",""
"US1TXEL0050","2019-05","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","","","","","","","","","","","","","241.6","1,a,,N","",""
"US1TXEL0050","2019-06","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","11","2,N","9","2,N","4","2,N","","","","","74.9","2,,N,24,","222.8","2,,,N","",""
"US1TXEL0050","2019-08","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","5",",N","2",",N","0",",N","","","","","17.8",",,N,04,","34.6",",,,N","",""
"US1TXEL0050","2019-09","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","1",",N","1",",N","0",",N","","","","","17.8",",,N,20,","17.8",",,,N","",""
"US1TXEL0050","2019-10","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","","","","","","","","","","","","","148.9","2,a,,N","",""
"US1TXEL0050","2019-11","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","5","3,N","3","3,N","0","3,N","","","","","11.2","3,,N,23,","22.4","3,,,N","",""
"US1TXEL0050","2019-12","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","5","4,N","3","4,N","0","4,N","","","","","5.8","4,,N,28,","21.3","1,a,,N","",""
"US1TXEL0050","2020-01","32.3231","-96.9346","205.4","WAXAHACHIE 7.6 SW, TX US","10","4,N","8","4,N","0","4,N","","","","","22.6","4,,N,11,","69.3","4,,,N","",""
