"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXEP0069","2013-04","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","","","","","","","0","5,N","0","5,,N,30,+","","","","","0","5,,,N"
"US1TXEP0069","2013-05","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1TXEP0069","2013-06","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","2","1,N","1","1,N","0","1,N","0","3,N","0","3,,N,30,+","8.9","1,,N,15,","9.4","1,,,N","0","3,,,N"
"US1TXEP0069","2013-08","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","5",",N","1",",N","0",",N","","","","","14.0",",,N,29,","17.9",",,,N","",""
"US1TXEP0069","2013-09","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","6",",N","5",",N","2",",N","","","","","87.1",",,N,13,","136.8",",,,N","",""
"US1TXEP0069","2013-10","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1TXEP0069","2013-11","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","1",",N","0",",N","0",",N","0","1,N","0","1,T,N,24,","2.3",",,N,16,","2.3",",,,N","0","1,T,,N"
"US1TXEP0069","2013-12","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","7",",N","1",",N","0",",N","","","","","5.1",",,N,05,","9.3",",,,N","",""
"US1TXEP0069","2014-01","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1TXEP0069","2014-02","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,28,+","0.0",",,N,28,+","0.0",",,,N","0",",,,N"
"US1TXEP0069","2014-03","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","1",",N","1",",N","0",",N","0","1,N","0","1,,N,31,+","4.3",",,N,02,","4.3",",,,N","0","1,,,N"
"US1TXEP0069","2014-04","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","1",",N","1",",N","1",",N","0","1,N","0","1,,N,30,+","27.4",",,N,20,","27.4",",,,N","0","1,,,N"
"US1TXEP0069","2014-05","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","1",",N","1",",N","0",",N","0","1,N","0","1,,N,31,+","3.6",",,N,24,","3.6",",,,N","0","1,,,N"
"US1TXEP0069","2014-06","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","2","1,N","0","1,N","0","1,N","0","3,N","0","3,,N,30,+","0.8","1,,N,18,","1.3","1,,,N","0","3,,,N"
"US1TXEP0069","2014-07","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","7",",N","3",",N","0",",N","","","","","10.7",",,N,29,","29.0",",,,N","",""
"US1TXEP0069","2014-08","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","15","5,N","8","5,N","2","5,N","","","","","28.7","5,,N,28,","99.7","5,,,N","",""
"US1TXEP0069","2014-11","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","1",",N","0",",N","0",",N","0","1,N","0","1,,N,30,+","2.0",",,N,22,","2.0",",,,N","0","1,,,N"
"US1TXEP0069","2014-12","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","5","1,N","0","1,N","0","1,N","0","5,N","0","5,,N,31,+","1.5","1,,N,27,+","5.1","1,,,N","0","5,,,N"
"US1TXEP0069","2015-04","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","1","1,N","1","1,N","0","1,N","0","2,N","0","2,,N,30,+","6.9","1,,N,13,","6.9","1,,,N","0","2,,,N"
"US1TXEP0069","2015-05","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","4",",N","2",",N","0",",N","0","3,N","0","3,,N,31,+","9.9",",,N,13,","16.6",",,,N","0","3,,,N"
"US1TXEP0069","2015-06","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","2","1,N","1","1,N","0","1,N","0","3,N","0","3,,N,30,+","4.6","1,,N,28,","6.4","1,,,N","0","3,,,N"
"US1TXEP0069","2015-07","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","7","2,N","5","2,N","0","2,N","","","","","22.9","2,,N,30,","87.5",",a,,N","",""
"US1TXEP0069","2015-10","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","6",",N","3",",N","0",",N","","","","","21.8",",,N,22,","58.2",",,,N","",""
"US1TXEP0069","2015-11","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","4",",N","1",",N","0",",N","0","3,N","0","3,,N,30,+","4.8",",,N,26,","5.9",",,,N","0","3,,,N"
"US1TXEP0069","2015-12","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","2","3,N","2","3,N","0","3,N","1","4,N","157","4,,N,27,","19.1","3,,N,27,","22.1","3,,,N","157","4,,,N"
"US1TXEP0069","2016-02","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,29,+","0.0",",,N,29,+","0.0",",,,N","0",",,,N"
"US1TXEP0069","2016-03","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1TXEP0069","2016-04","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,30,+","1.3",",,N,09,+","2.6",",,,N","0","2,,,N"
"US1TXEP0069","2016-05","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","1",",N","0",",N","0",",N","0","1,N","0","1,,N,31,+","1.5",",,N,31,","1.5",",,,N","0","1,,,N"
"US1TXEP0069","2016-06","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","2","2,N","1","2,N","0","2,N","0","4,N","0","4,,N,30,+","3.3","2,,N,26,","4.1","2,,,N","0","4,,,N"
"US1TXEP0069","2016-08","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","11","2,N","7","2,N","1","2,N","","","","","27.4","2,,N,23,","89.9","2,,,N","",""
"US1TXEP0069","2016-09","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","5",",N","4",",N","0",",N","0","5,N","0","5,,N,30,+","16.0",",,N,07,","39.6",",,,N","0","5,,,N"
"US1TXEP0069","2016-10","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","1",",N","0",",N","0",",N","0","1,N","0","1,,N,31,+","1.5",",,N,01,","1.5",",,,N","0","1,,,N"
"US1TXEP0069","2016-11","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,30,+","1.8",",,N,05,","2.3",",,,N","0","2,,,N"
"US1TXEP0069","2016-12","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","4","1,N","3","1,N","0","1,N","0","5,N","0","5,,N,31,+","12.4","1,,N,22,","26.9","1,,,N","0","5,,,N"
"US1TXEP0069","2017-02","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,28,+","2.8",",,N,14,","3.1",",,,N","0","2,,,N"
"US1TXEP0069","2017-03","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1TXEP0069","2017-04","31.90543333","-106.39515","1196.6","EL PASO 4.6 NNE, TX US","2",",N","2",",N","0",",N","0","2,N","0","2,,N,30,+","2.8",",,N,30,+","5.6",",,,N","0","2,,,N"
