"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXGA0005","2009-07","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","11","1,N","6","1,N","1","1,N","","","","","40.6","1,,N,30,","106.8","1,,,N","",""
"US1TXGA0005","2009-08","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","6","1,N","3","1,N","1","1,N","","","","","26.9","1,,N,28,","49.9","1,,,N","",""
"US1TXGA0005","2009-09","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","13","5,N","6","5,N","2","5,N","","","","","47.0","5,,N,11,","139.4","1,a,,N","",""
"US1TXGA0005","2009-10","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","","","","","","","","","","","","","411.4","1,a,,N","",""
"US1TXGA0005","2009-11","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","4","5,N","3","5,N","0","5,N","","","","","8.4","5,,N,20,","18.6","3,a,,N","",""
"US1TXGA0005","2009-12","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","10",",N","5",",N","1",",N","","","","","33.5",",,N,02,","67.7",",,,N","",""
"US1TXGA0005","2010-01","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","11",",N","6",",N","1",",N","","","","","44.7",",,N,29,","74.8",",,,N","",""
"US1TXGA0005","2010-02","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","9","2,N","6","2,N","2","2,N","","","","","28.7","2,,N,08,","88.7","2,,,N","",""
"US1TXGA0005","2010-03","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","8","1,N","8","1,N","0","1,N","","","","","20.8","1,,N,25,+","91.6","1,,,N","",""
"US1TXGA0005","2010-04","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","5","3,N","5","3,N","0","3,N","","","","","19.3","3,,N,18,","53.3","3,,,N","",""
"US1TXGA0005","2010-05","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","7","4,N","3","4,N","1","4,N","","","","","28.4","4,,N,15,","43.0",",a,,N","",""
"US1TXGA0005","2010-06","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","7","1,N","4","1,N","1","1,N","","","","","56.1","1,,N,25,","69.1","1,,,N","",""
"US1TXGA0005","2010-07","33.420378","-96.570014","241.1","VAN ALSTYNE 0.2 E, TX US","8","2,N","5","2,N","2","2,N","","","","","36.3","2,,N,09,","96.8","2,,,N","",""
