"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXGS0037","2012-06","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","4",",N","1",",N","1",",N","0","4,N","0","4,,N,30,+","28.2",",,N,18,","32.8",",,,N","0","4,,,N"
"US1TXGS0037","2012-07","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","5",",N","3",",N","0",",N","0","5,N","0","5,,N,31,+","20.3",",,N,10,","36.8",",,,N","0","5,,,N"
"US1TXGS0037","2012-08","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","5","2,N","3","2,N","0","2,N","","","","","17.0","2,,N,19,","29.0","2,,,N","",""
"US1TXGS0037","2012-09","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","7",",N","6",",N","2",",N","","","","","30.5",",,N,16,","91.5",",,,N","",""
"US1TXGS0037","2012-10","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,31,+","11.4",",,N,14,","21.6",",,,N","0","3,,,N"
"US1TXGS0037","2012-11","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1TXGS0037","2012-12","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","2.0",",,N,31,","3.5",",,,N","0","2,,,N"
"US1TXGS0037","2013-01","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","7",",N","5",",N","1",",N","","","","","51.3",",,N,09,","66.5",",,,N","",""
"US1TXGS0037","2013-02","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","4",",N","1",",N","0",",N","0","4,N","0","4,,N,28,+","7.1",",,N,10,","8.6",",,,N","0","4,,,N"
"US1TXGS0037","2013-03","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","3",",N","2",",N","1",",N","0","3,N","0","3,,N,31,+","27.9",",,N,10,","43.9",",,,N","0","3,,,N"
"US1TXGS0037","2013-04","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","9",",N","4",",N","1",",N","","","","","26.2",",,N,30,","63.2",",,,N","",""
"US1TXGS0037","2013-05","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","6",",N","4",",N","0",",N","","","","","24.9",",,N,10,","71.2",",,,N","",""
"US1TXGS0037","2013-06","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","5",",N","4",",N","0",",N","0","5,N","0","5,,N,30,+","16.0",",,N,10,","50.1",",,,N","0","5,,,N"
"US1TXGS0037","2013-07","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","4",",N","4",",N","0",",N","0","4,N","0","4,,N,31,+","5.8",",,N,18,+","20.0",",,,N","0","4,,,N"
"US1TXGS0037","2013-08","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","2",",N","2",",N","0",",N","0","2,N","0","2,,N,31,+","11.2",",,N,27,","19.1",",,,N","0","2,,,N"
"US1TXGS0037","2013-09","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","9",",N","3",",N","1",",N","","","","","40.6",",,N,21,","53.6",",,,N","",""
"US1TXGS0037","2013-10","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","8",",N","6",",N","2",",N","","","","","31.0",",,N,16,","91.6",",,,N","",""
"US1TXGS0037","2013-11","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","3",",N","3",",N","1",",N","0","3,N","0","3,,N,30,+","27.4",",,N,23,","43.4",",,,N","0","3,,,N"
"US1TXGS0037","2013-12","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","5",",N","2",",N","0",",N","0","5,N","0","5,,N,31,+","16.0",",,N,21,","25.6",",,,N","0","5,,,N"
"US1TXGS0037","2014-01","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","0.5",",,N,24,+","1.0",",,,N","0","2,,,N"
"US1TXGS0037","2014-02","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,28,+","2.8",",,N,26,","4.8",",,,N","0","2,,,N"
"US1TXGS0037","2014-03","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","5",",N","2",",N","0",",N","0","5,N","0","5,,N,31,+","2.8",",,N,09,","7.2",",,,N","0","5,,,N"
"US1TXGS0037","2014-04","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","7",",N","3",",N","0",",N","","","","","18.3",",,N,14,","29.8",",,,N","",""
"US1TXGS0037","2014-05","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","6",",N","5",",N","3",",N","","","","","50.8",",,N,27,","163.0",",,,N","",""
"US1TXGS0037","2014-07","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","5",",N","3",",N","0",",N","0","5,N","0","5,,N,31,+","5.8",",,N,18,","15.3",",,,N","0","5,,,N"
"US1TXGS0037","2014-08","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","3",",N","2",",N","0",",N","0","4,N","0","4,,N,31,+","23.1",",,N,19,","28.4",",,,N","0","4,,,N"
"US1TXGS0037","2014-09","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","9",",N","8",",N","2",",N","","","","","91.7",",,N,07,","196.9",",,,N","",""
"US1TXGS0037","2014-10","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","6",",N","2",",N","1",",N","","","","","78.7",",,N,11,","106.2",",,,N","",""
"US1TXGS0037","2014-12","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","7",",N","2",",N","0",",N","","","","","5.1",",,N,11,","12.7",",,,N","",""
"US1TXGS0037","2015-01","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","10",",N","5",",N","0",",N","","","","","19.8",",,N,23,","57.8",",,,N","",""
"US1TXGS0037","2015-02","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","5",",N","2",",N","0",",N","0","5,N","0","5,,N,28,+","5.6",",,N,01,","13.5",",,,N","0","5,,,N"
"US1TXGS0037","2015-03","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","9",",N","5",",N","0",",N","","","","","19.1",",,N,21,","45.5",",,,N","",""
"US1TXGS0037","2015-04","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","8",",N","4",",N","2",",N","","","","","39.4",",,N,19,","104.3",",,,N","",""
"US1TXGS0037","2015-05","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","14",",N","9",",N","6",",N","","","","","44.5",",,N,29,","236.7",",,,N","",""
"US1TXGS0037","2015-06","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","5","3,N","5","3,N","1","3,N","","","","","35.1","3,,N,17,","73.4",",a,,N","",""
"US1TXGS0037","2015-07","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","1",",N","0",",N","0",",N","0","4,N","0","4,,N,31,+","1.0",",,N,01,","1.0",",,,N","0","4,,,N"
"US1TXGS0037","2015-08","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","3",",N","1",",N","0",",N","","","","","20.3",",,N,01,","21.9",",,,N","",""
"US1TXGS0037","2015-09","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","2",",N","2",",N","0",",N","","","","","4.6",",,N,11,","8.2",",,,N","",""
"US1TXGS0037","2015-10","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","7",",N","6",",N","2",",N","","","","","50.8",",,N,24,","126.7",",,,N","",""
"US1TXGS0037","2015-11","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","11","1,N","9","1,N","2","1,N","","","","","41.7","1,,N,29,","106.0","1,,,N","",""
"US1TXGS0037","2015-12","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","3",",N","3",",N","0",",N","0","5,N","0","5,,N,31,+","24.1",",,N,13,","37.5",",,,N","0","5,,,N"
"US1TXGS0037","2016-01","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","4",",N","1",",N","0",",N","","","","","12.2",",,N,03,","15.7",",,,N","",""
"US1TXGS0037","2016-02","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","2",",N","1",",N","1",",N","0","4,N","0","4,,N,29,+","31.2",",,N,23,","32.0",",,,N","0","4,,,N"
"US1TXGS0037","2016-03","30.2656751","-98.8776652","533.4","FREDERICKSBURG 0.5 SW, TX US","8",",N","7",",N","1",",N","","","","","33.0",",,N,11,","83.2",",,,N","",""
