"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXGZ0028","2018-09","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","16",",N","11",",N","2",",N","","","","","43.7",",,N,30,","203.4",",,,N","",""
"US1TXGZ0028","2018-10","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","10",",N","8",",N","2",",N","","","","","35.8",",,N,15,","128.0",",,,N","",""
"US1TXGZ0028","2018-11","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","5",",N","4",",N","1",",N","0","5,N","0","5,,N,30,+","34.8",",,N,01,","70.9",",,,N","0","5,,,N"
"US1TXGZ0028","2019-04","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","3","4,N","3","4,N","1","4,N","0","4,N","0","4,,N,30,+","35.6","4,,N,18,","73.2","4,,,N","0","4,,,N"
"US1TXGZ0028","2019-05","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","7",",N","7",",N","2",",N","","","","","52.1",",,N,04,","142.1",",,,N","",""
"US1TXGZ0028","2019-06","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","6",",N","5",",N","1",",N","","","","","28.7",",,N,17,","69.6",",,,N","",""
"US1TXGZ0028","2019-07","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","1",",N","1",",N","0",",N","0","1,N","0","1,,N,31,+","2.5",",,N,11,","2.5",",,,N","0","1,,,N"
"US1TXGZ0028","2019-08","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","3",",N","1",",N","0",",N","0","4,N","0","4,,N,31,+","3.8",",,N,25,","7.3",",,,N","0","4,,,N"
"US1TXGZ0028","2019-09","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","6",",N","5",",N","0",",N","0","5,N","0","5,,N,30,+","5.6",",,N,11,","22.6",",,,N","0","5,,,N"
"US1TXGZ0028","2019-10","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","7",",N","6",",N","1",",N","","","","","34.8",",,N,29,","90.7",",,,N","",""
"US1TXGZ0028","2019-11","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","","","","","","","0","3,N","0","3,,N,30,+","","","","","0","3,,,N"
"US1TXGZ0028","2019-12","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","5.6",",,N,11,","7.6",",,,N","0","2,,,N"
"US1TXGZ0028","2020-01","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","7",",N","5",",N","0",",N","","","","","16.5",",,N,11,","48.3",",,,N","",""
"US1TXGZ0028","2020-02","29.3851","-97.4767","84.7","GONZALES 8.7 SSW, TX US","7",",N","3",",N","0",",N","","","","","10.7",",,N,20,","28.7",",,,N","",""
