"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXHDL041","2016-08","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","4","1,N","4","1,N","1","1,N","0","5,N","0","5,,N,31,+","32.5","1,,N,21,","55.3","1,,,N","0","5,,,N"
"US1TXHDL041","2016-09","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","2",",N","2",",N","1",",N","0","2,N","0","2,,N,30,+","26.7",",,N,05,","30.5",",,,N","0","2,,,N"
"US1TXHDL041","2016-11","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","6",",N","3",",N","1",",N","","","","","31.8",",,N,08,","46.4",",,,N","",""
"US1TXHDL041","2016-12","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,31,+","13.2",",,N,04,","20.0",",,,N","0","3,,,N"
"US1TXHDL041","2017-01","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","4",",N","2",",N","1",",N","0","4,N","0","4,,N,31,+","25.4",",,N,28,","28.5",",,,N","0","4,,,N"
"US1TXHDL041","2017-02","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,28,+","12.7",",,N,04,","24.2",",,,N","0","3,,,N"
"US1TXHDL041","2017-03","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","6","1,N","5","1,N","1","1,N","","","","","38.6","1,,N,05,","104.1","1,,,N","",""
"US1TXHDL041","2017-04","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,30,+","15.0",",,N,18,","27.9",",,,N","0","3,,,N"
"US1TXHDL041","2017-05","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","2",",N","1",",N","1",",N","0","2,N","0","2,,N,31,+","54.6",",,N,29,","55.4",",,,N","0","2,,,N"
"US1TXHDL041","2017-06","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","2",",N","2",",N","1",",N","0","2,N","0","2,,N,30,+","27.9",",,N,25,","45.7",",,,N","0","2,,,N"
"US1TXHDL041","2017-07","26.33077","-98.17097","29.0","EDINBURG 2.4 N, TX US","1",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.5",",,N,25,","0.5",",,,N","0",",,,N"
