"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXJD0001","2007-10","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","4","2,N","1","2,N","0","2,N","0","2,N","0","2,,N,31,+","8.6","2,,N,05,","9.7","2,,,N","0","2,,,N"
"US1TXJD0001","2007-11","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","1",",N","1",",N","0",",N","1",",N","117",",,N,25,","11.7",",,N,25,","11.7",",,,N","117",",,,N"
"US1TXJD0001","2007-12","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","3",",N","1",",N","0",",N","0",",N","3",",,N,26,","3.8",",,N,11,","4.6",",,,N","3",",,,N"
"US1TXJD0001","2008-01","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","2",",N","1",",N","0",",N","0",",N","0",",,N,31,+","8.1",",,N,25,","8.6",",,,N","0",",,,N"
"US1TXJD0001","2008-02","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","2",",N","0",",N","0",",N","0","1,N","5","1,,N,17,","0.5",",,N,17,+","1.0",",,,N","5","1,,,N"
"US1TXJD0001","2008-03","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","3",",N","0",",N","0",",N","0",",N","13",",,N,04,","1.3",",,N,04,","2.8",",,,N","18",",,,N"
"US1TXJD0001","2008-04","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1TXJD0001","2008-05","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","3",",N","0",",N","0",",N","0",",N","0",",,N,31,+","1.3",",,N,06,","2.8",",,,N","0",",,,N"
"US1TXJD0001","2008-08","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","18",",N","13",",N","2",",N","0",",N","0",",,N,31,+","39.1",",,N,19,","214.3",",,,N","0",",,,N"
"US1TXJD0001","2008-09","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","14",",N","6",",N","2",",N","0",",N","0",",,N,30,+","44.2",",,N,09,","134.3",",,,N","0",",,,N"
"US1TXJD0001","2008-10","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","6","1,N","2","1,N","0","1,N","0","1,N","0","1,,N,31,+","10.4","1,,N,14,","16.5","1,,,N","0","1,,,N"
"US1TXJD0001","2008-11","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","1",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.3",",,N,28,","0.3",",,,N","0",",,,N"
"US1TXJD0001","2008-12","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","1",",N","1",",N","0",",N","1",",N","38",",,N,10,","6.1",",,N,10,","6.1",",,,N","38",",,,N"
"US1TXJD0001","2009-01","30.5996124","-104.088989","1769.1","FORT DAVIS 11.6 W, TX US","1",",N","0",",N","0",",N","0","1,N","15","1,,N,07,","1.5",",,N,07,","1.5",",,,N","15","1,,,N"
