"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXJJ0008","2010-03","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","9","2,N","6","2,N","0","2,N","","","","","21.8","2,,N,02,","79.7","2,,,N","",""
"US1TXJJ0008","2010-04","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","5","4,N","1","4,N","0","4,N","","","","","2.5","4,,N,19,","7.4","4,,,N","",""
"US1TXJJ0008","2010-05","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","5","3,N","3","3,N","1","3,N","","","","","48.5","3,,N,31,","87.5","3,,,N","",""
"US1TXJJ0008","2010-08","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","8","2,N","6","2,N","1","2,N","","","","","28.4","2,,N,31,","77.2","2,,,N","",""
"US1TXJJ0008","2011-01","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","10","3,N","8","3,N","2","3,N","","","","","39.4","3,,N,05,","140.7","3,,,N","",""
"US1TXJJ0008","2011-08","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","1","4,N","1","4,N","0","4,N","0","5,N","0","5,,N,31,+","20.3","4,,N,26,","20.3","4,,,N","0","5,,,N"
"US1TXJJ0008","2011-09","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","7","2,N","5","2,N","1","2,N","","","","","36.8","2,,N,04,","71.7","2,,,N","",""
"US1TXJJ0008","2011-10","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","2",",N","2",",N","0",",N","0","3,N","0","3,,N,31,+","20.3",",,N,28,","25.4",",,,N","0","3,,,N"
"US1TXJJ0008","2011-11","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","4",",N","4",",N","0",",N","0","4,N","0","4,,N,30,+","21.1",",,N,23,","67.1",",,,N","0","4,,,N"
"US1TXJJ0008","2012-03","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","190.4","4,a,,N","",""
"US1TXJJ0008","2012-04","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","64.1","5,a,,N","",""
"US1TXJJ0008","2012-05","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","6","1,N","5","1,N","1","1,N","","","","","58.4","1,,N,11,","86.7","1,,,N","",""
"US1TXJJ0008","2012-06","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","6","5,N","6","5,N","2","5,N","","","","","53.3","5,,N,08,","154.4","3,a,,N","",""
"US1TXJJ0008","2012-11","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","4","3,N","2","3,N","0","3,N","","","","","5.6","3,,N,27,","12.7","3,,,N","",""
"US1TXJJ0008","2012-12","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","8","1,N","6","1,N","2","1,N","","","","","47.0","1,,N,28,","137.0","1,,,N","",""
"US1TXJJ0008","2013-01","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","9","5,N","8","5,N","2","5,N","","","","","86.4","5,,N,01,","193.3","5,,,N","",""
"US1TXJJ0008","2013-02","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","11","1,N","4","1,N","1","1,N","","","","","37.3","1,,N,05,","88.5","1,,,N","",""
"US1TXJJ0008","2013-03","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","2","2,N","2","2,N","0","2,N","0","3,N","0","3,,N,31,+","8.9","2,,N,11,","15.5","2,,,N","0","3,,,N"
"US1TXJJ0008","2013-04","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","8","3,N","7","3,N","2","3,N","","","","","71.1","3,,N,11,","170.9","3,,,N","",""
"US1TXJJ0008","2013-05","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","3","2,N","3","2,N","2","2,N","0","5,N","0","5,,N,31,+","99.1","2,,N,10,","145.8","2,,,N","0","5,,,N"
"US1TXJJ0008","2013-06","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","8","3,N","8","3,N","0","3,N","","","","","20.8","3,,N,10,","121.4","3,,,N","",""
"US1TXJJ0008","2013-07","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","10","3,N","9","3,N","2","3,N","","","","","34.3","3,,N,15,","100.6","3,,,N","",""
"US1TXJJ0008","2013-08","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","4","1,N","4","1,N","0","1,N","0","5,N","0","5,,N,31,+","16.5","1,,N,28,","34.3","1,,,N","0","5,,,N"
"US1TXJJ0008","2013-09","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","9","3,N","7","3,N","4","3,N","","","","","83.8","3,,N,21,","218.3","3,,,N","",""
"US1TXJJ0008","2013-11","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","8","2,N","6","2,N","2","2,N","","","","","126.0","2,,N,01,","210.1","2,,,N","",""
"US1TXJJ0008","2014-01","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","5","4,N","5","4,N","0","4,N","","","","","11.2","4,,N,11,","43.2","4,,,N","",""
"US1TXJJ0008","2014-03","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","11","2,N","7","2,N","0","2,N","","","","","20.3","2,,N,03,","84.7","2,,,N","",""
"US1TXJJ0008","2014-04","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","7","2,N","3","2,N","0","2,N","","","","","12.7","2,,N,15,","32.3","2,,,N","",""
"US1TXJJ0008","2014-05","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","5","5,N","5","5,N","1","5,N","","","","","65.0","5,,N,28,","111.2","5,,,N","",""
"US1TXJJ0008","2014-06","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","8","4,N","8","4,N","2","4,N","","","","","71.1","4,,N,25,","185.1","4,,,N","",""
"US1TXJJ0008","2014-07","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","8","5,N","7","5,N","5","5,N","","","","","149.9","5,,N,19,","300.8","5,,,N","",""
"US1TXJJ0008","2015-01","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","12","1,N","8","1,N","2","1,N","","","","","61.0","1,,N,23,","140.9","1,,,N","",""
"US1TXJJ0008","2015-06","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","10","1,N","8","1,N","2","1,N","","","","","110.5","1,,N,18,","226.3","1,,,N","",""
"US1TXJJ0008","2016-02","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","7","2,N","5","2,N","0","2,N","","","","","12.4","2,,N,24,","44.8","2,,,N","",""
"US1TXJJ0008","2016-04","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","15","2,N","11","2,N","2","2,N","","","","","44.5","2,,N,18,","186.1","2,,,N","",""
"US1TXJJ0008","2018-04","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","5","2,N","5","2,N","1","2,N","","","","","29.0","2,,N,22,","70.4",",a,,N","",""
"US1TXJJ0008","2018-05","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","6",",N","5",",N","0",",N","","","","","14.5",",,N,27,","43.7",",,,N","",""
"US1TXJJ0008","2018-07","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","100.0","1,a,,N","",""
"US1TXJJ0008","2018-08","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","107.5","1,a,,N","",""
"US1TXJJ0008","2018-09","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","451.4","2,a,,N","",""
"US1TXJJ0008","2018-10","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","19","3,N","11","3,N","0","3,N","","","","","17.8","3,,N,25,","106.5","3,,,N","",""
"US1TXJJ0008","2018-11","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","193.0","2,a,,N","",""
"US1TXJJ0008","2019-01","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","10","2,N","7","2,N","1","2,N","","","","","47.5","2,,N,03,","119.7","2,,,N","",""
"US1TXJJ0008","2019-02","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","13","4,N","5","4,N","0","4,N","","","","","12.7","4,,N,12,","43.8",",a,,N","",""
"US1TXJJ0008","2019-03","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","8","2,N","5","2,N","0","2,N","","","","","18.0","2,,N,01,","41.0",",a,,N","",""
"US1TXJJ0008","2019-04","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","106.2","1,a,,N","",""
"US1TXJJ0008","2019-05","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","9","1,N","6","1,N","2","1,N","","","","","94.5","1,,N,12,","237.0","1,,,N","",""
"US1TXJJ0008","2019-07","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","12","4,N","8","4,N","2","4,N","","","","","34.0","4,,N,04,","130.8","1,a,,N","",""
"US1TXJJ0008","2019-08","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","12","3,N","9","3,N","1","3,N","","","","","55.9","3,,N,17,","157.8","1,a,,N","",""
"US1TXJJ0008","2019-10","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","195.7",",a,,N","",""
"US1TXJJ0008","2019-11","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","54.0","3,a,,N","",""
"US1TXJJ0008","2019-12","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","4","5,N","4","5,N","1","5,N","","","","","36.3","5,,N,  ,","68.1","3,a,,N","",""
"US1TXJJ0008","2020-01","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","10","4,N","7","4,N","2","4,N","","","","","27.9","4,,N,  ,","123.6",",a,,N","",""
"US1TXJJ0008","2020-02","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","10","4,N","6","4,N","1","4,N","","","","","39.4","4,,N,25,","77.1","2,a,,N","",""
"US1TXJJ0008","2020-03","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","6","3,N","4","3,N","0","3,N","","","","","11.4","3,,N,  ,","24.1","1,a,,N","",""
"US1TXJJ0008","2020-04","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","9","2,N","5","2,N","1","2,N","","","","","59.2","2,,N,29,","96.1","2,,,N","",""
"US1TXJJ0008","2020-05","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","6","5,N","6","5,N","2","5,N","","","","","84.1","5,,N,15,","211.8","1,a,,N","",""
"US1TXJJ0008","2020-06","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","11",",N","6",",N","1",",N","","","","","75.7",",,N,23,","138.5",",,,N","",""
"US1TXJJ0008","2020-07","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","11",",N","9",",N","1",",N","","","","","36.3",",,N,22,","116.3",",,,N","",""
"US1TXJJ0008","2020-08","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","11","3,N","6","3,N","0","3,N","","","","","17.8","3,,N,29,","63.4","1,a,,N","",""
"US1TXJJ0008","2020-09","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","9","1,N","4","1,N","1","1,N","","","","","45.0","1,,N,23,","83.0","1,,,N","",""
"US1TXJJ0008","2020-10","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","8","2,N","8","2,N","2","2,N","","","","","74.4","2,,N,10,","147.8",",a,,N","",""
"US1TXJJ0008","2020-11","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","","","","","","","","","","","","","175.8",",a,,N","",""
"US1TXJJ0008","2020-12","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","7","1,N","6","1,N","3","1,N","","","","","51.1","1,,N,20,","157.5","1,,,N","",""
"US1TXJJ0008","2021-03","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","12",",N","2",",N","0",",N","","","","","17.8",",,N,02,","28.9",",,,N","",""
"US1TXJJ0008","2021-05","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","14",",N","9",",N","4",",N","","","","","110.5",",,N,17,","304.2",",,,N","",""
"US1TXJJ0008","2021-07","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","17","1,N","14","1,N","6","1,N","","","","","90.2","1,,N,01,","342.9","1,,,N","",""
"US1TXJJ0008","2021-10","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","6","1,N","5","1,N","2","1,N","","","","","131.3","1,,N,28,","188.2","1,,,N","",""
"US1TXJJ0008","2021-11","30.087384","-94.138878","5.5","BEAUMONT 0.3 E, TX US","7","2,N","4","2,N","0","2,N","","","","","24.4","2,,N,26,","63.8","2,,,N","",""
