"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXKN0028","2008-03","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","9","2,N","4","2,N","0","2,N","0","2,N","0","2,,N,31,+","21.6","2,,N,11,","43.6","2,,,N","0","2,,,N"
"US1TXKN0028","2008-04","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","4",",N","2",",N","0",",N","0",",N","0",",,N,30,+","16.3",",,N,18,","20.9",",,,N","0",",,,N"
"US1TXKN0028","2008-06","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","5",",N","1",",N","0",",N","0",",N","0",",,N,30,+","4.1",",,N,21,","7.2",",,,N","0",",,,N"
"US1TXKN0028","2008-07","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","7",",N","5",",N","1",",N","0",",N","0",",,N,31,+","25.9",",,N,25,","49.0",",,,N","0",",,,N"
"US1TXKN0028","2008-08","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","8",",N","5",",N","2",",N","0",",N","0",",,N,31,+","103.6",",,N,19,","157.4",",,,N","0",",,,N"
"US1TXKN0028","2008-09","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","4",",N","1",",N","0",",N","0",",N","0",",,N,30,+","3.3",",,N,10,","5.9",",,,N","0",",,,N"
"US1TXKN0028","2008-11","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","4","2,N","0","2,N","0","2,N","0","2,N","0","2,,N,30,+","1.3","2,,N,10,","2.9","2,,,N","0","2,,,N"
"US1TXKN0028","2008-12","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","7","1,N","1","1,N","0","1,N","","","","","5.8","1,,N,10,","9.0","1,,,N","",""
"US1TXKN0028","2009-01","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","6",",N","2",",N","0",",N","","","","","8.4",",,N,06,","19.2",",,,N","",""
"US1TXKN0028","2009-02","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","5",",N","1",",N","0",",N","","","","","4.8",",,N,09,","8.2",",,,N","",""
"US1TXKN0028","2009-03","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","9",",N","4",",N","1",",N","","","","","82.8",",,N,12,","98.9",",,,N","",""
"US1TXKN0028","2009-04","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","12",",N","4",",N","1",",N","","","","","25.9",",,N,28,","54.7",",,,N","",""
"US1TXKN0028","2009-05","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","6",",N","4",",N","0",",N","","","","","20.6",",,N,17,","53.6",",,,N","",""
"US1TXKN0028","2009-06","29.910117","-98.762533","485.5","BOERNE 8.5 NNW, TX US","3",",N","3",",N","0",",N","0","3,N","0","3,,N,30,+","18.0",",,N,03,","28.7",",,,N","0","3,,,N"
