"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXLP0002","2009-06","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","4",",N","3",",N","1",",N","0","4,N","0","4,,N,30,+","45.5",",,N,12,","56.8",",,,N","0","4,,,N"
"US1TXLP0002","2009-07","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","4","3,N","2","3,N","1","3,N","","","","","29.0","3,,N,30,","36.3","3,,,N","",""
"US1TXLP0002","2009-08","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","4",",N","4",",N","0",",N","0","4,N","0","4,,N,31,+","20.1",",,N,28,","52.6",",,,N","0","4,,,N"
"US1TXLP0002","2009-09","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","12","1,N","8","1,N","2","1,N","","","","","39.9","1,,N,22,","116.5","1,,,N","",""
"US1TXLP0002","2009-10","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","10",",N","9",",N","5",",N","","","","","94.0",",,N,22,","255.8",",,,N","",""
"US1TXLP0002","2009-12","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","5",",N","4",",N","0",",N","0","5,N","0","5,,N,31,+","13.7",",,N,02,","31.5",",,,N","0","5,,,N"
"US1TXLP0002","2010-01","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","4",",N","3",",N","2",",N","","","","","91.4",",,N,29,","130.8",",,,N","",""
"US1TXLP0002","2010-03","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","7","1,N","6","1,N","1","1,N","","","","","27.9","1,,N,09,","73.8","1,,,N","",""
"US1TXLP0002","2010-04","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","7",",N","4",",N","0",",N","","","","","21.6",",,N,24,","50.3",",,,N","",""
"US1TXLP0002","2010-05","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","6",",N","2",",N","0",",N","","","","","9.4",",,N,26,+","22.8",",,,N","",""
"US1TXLP0002","2010-06","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","4",",N","3",",N","0",",N","0","3,N","0","3,,N,30,+","17.3",",,N,29,","29.5",",,,N","0","3,,,N"
"US1TXLP0002","2010-07","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","10",",N","5",",N","1",",N","","","","","42.2",",,N,09,","66.2",",,,N","",""
"US1TXLP0002","2010-08","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","3","2,N","2","2,N","0","2,N","0","5,N","0","5,,N,31,+","6.6","2,,N,12,","10.4","2,,,N","0","5,,,N"
"US1TXLP0002","2010-10","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","4.3",",,N,24,","5.6",",,,N","0","2,,,N"
"US1TXLP0002","2010-11","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","3","2,N","3","2,N","0","2,N","","","","","12.7","2,,N,03,","20.0","2,,,N","",""
"US1TXLP0002","2010-12","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","2","1,N","2","1,N","0","1,N","0","3,N","0","3,,N,31,+","20.8","1,,N,25,","30.7","1,,,N","0","3,,,N"
"US1TXLP0002","2011-01","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","6","2,N","5","2,N","1","2,N","","","","","38.6","2,,N,09,","87.8","2,,,N","",""
"US1TXLP0002","2011-02","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","2","1,N","2","1,N","0","1,N","","","","","17.3","1,,N,01,","21.1","1,,,N","",""
"US1TXLP0002","2011-03","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","1","1,N","0","1,N","0","1,N","0","2,N","0","2,,N,31,+","2.0","1,,N,05,","2.0","1,,,N","0","2,,,N"
"US1TXLP0002","2011-04","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","2",",N","1",",N","0",",N","0","1,N","0","1,,N,30,+","13.7",",,N,11,","15.5",",,,N","0","1,,,N"
"US1TXLP0002","2011-05","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","8","1,N","7","1,N","0","1,N","","","","","24.4","1,,N,12,","77.2","1,,,N","",""
"US1TXLP0002","2011-06","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","1","1,N","1","1,N","1","1,N","0","2,N","0","2,,N,30,+","30.7","1,,N,22,","30.7","1,,,N","0","2,,,N"
"US1TXLP0002","2011-07","31.081452","-98.14087","310.9","LAMPASAS 2.7 ENE, TX US","1","1,N","0","1,N","0","1,N","0","3,N","0","3,,N,31,+","0.8","1,,N,19,","0.8","1,,,N","0","3,,,N"
