"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXMNG045","2013-10","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","12",",N","9",",N","3",",N","","","","","63.0",",,N,31,","169.8",",,,N","",""
"US1TXMNG045","2013-11","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","12","2,N","7","2,N","1","2,N","","","","","31.2","2,,N,26,","112.6","2,,,N","",""
"US1TXMNG045","2013-12","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","10","4,N","5","4,N","0","4,N","","","","","16.5","4,,N,22,","32.5",",a,,N","",""
"US1TXMNG045","2014-01","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","9","1,N","2","1,N","1","1,N","","","","","51.1","1,,N,10,","75.2","1,,,N","",""
"US1TXMNG045","2014-02","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","11","1,N","6","1,N","1","1,N","","","","","39.6","1,,N,26,","72.1","1,,,N","",""
"US1TXMNG045","2014-03","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","12","1,N","6","1,N","1","1,N","","","","","27.7","1,,N,09,","73.5","1,,,N","",""
"US1TXMNG045","2014-04","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","4","1,N","3","1,N","0","1,N","","","","","9.1","1,,N,15,","16.5","1,,,N","",""
"US1TXMNG045","2014-05","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","7","2,N","5","2,N","3","2,N","","","","","101.9","2,,N,13,","254.5","2,,,N","",""
"US1TXMNG045","2014-06","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","11","3,N","7","3,N","0","3,N","","","","","19.6","3,,N,27,","74.8","3,,,N","",""
"US1TXMNG045","2014-07","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","7","1,N","6","1,N","2","1,N","","","","","50.3","1,,N,04,","118.0","1,,,N","",""
"US1TXMNG045","2014-08","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","5","2,N","3","2,N","0","2,N","","","","","10.9","2,,N,21,","28.7","2,,,N","",""
"US1TXMNG045","2014-09","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","9",",N","5",",N","2",",N","","","","","87.9",",,N,19,","180.0",",,,N","",""
"US1TXMNG045","2014-10","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","8",",N","5",",N","1",",N","","","","","29.5",",,N,03,","75.3",",,,N","",""
"US1TXMNG045","2014-11","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","10",",N","6",",N","0",",N","","","","","19.6",",,N,06,","60.5",",,,N","",""
"US1TXMNG045","2014-12","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","11",",N","5",",N","1",",N","","","","","26.7",",,N,19,","77.9",",,,N","",""
"US1TXMNG045","2015-01","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","11",",N","6",",N","1",",N","","","","","30.2",",,N,23,","91.0",",,,N","",""
"US1TXMNG045","2015-02","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","8",",N","3",",N","0",",N","","","","","7.9",",,N,04,","21.2",",,,N","",""
"US1TXMNG045","2015-03","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","15",",N","9",",N","2",",N","","","","","51.6",",,N,09,","158.4",",,,N","",""
"US1TXMNG045","2015-04","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","15",",N","9",",N","1",",N","","","","","40.9",",,N,17,","103.1",",,,N","",""
"US1TXMNG045","2015-05","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","19",",N","14",",N","6",",N","","","","","92.5",",,N,27,","462.7",",,,N","",""
"US1TXMNG045","2015-06","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","10",",N","6",",N","1",",N","","","","","44.2",",,N,17,","98.6",",,,N","",""
"US1TXMNG045","2015-07","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","7",",N","2",",N","1",",N","","","","","37.3",",,N,01,","50.1",",,,N","",""
"US1TXMNG045","2015-08","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","4",",N","3",",N","0",",N","0","4,N","0","4,,N,31,+","15.0",",,N,26,","36.6",",,,N","0","4,,,N"
"US1TXMNG045","2015-09","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","8",",N","5",",N","1",",N","","","","","30.2",",,N,11,","66.0",",,,N","",""
"US1TXMNG045","2015-10","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","6",",N","3",",N","3",",N","","","","","85.1",",,N,25,","166.4",",,,N","",""
"US1TXMNG045","2015-11","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","9","2,N","6","2,N","2","2,N","","","","","46.0","2,,N,18,","117.4","2,,,N","",""
"US1TXMNG045","2015-12","30.276657","-95.553262","50.6","MONTGOMERY 11.6 SE, TX US","9","4,N","5","4,N","2","4,N","","","","","37.1","4,,N,13,","103.2","4,,,N","",""
