"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXPL0009","2010-10","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","5",",N","3",",N","0",",N","0","5,N","0","5,,N,31,+","10.2",",,N,12,","28.0",",,,N","0","5,,,N"
"US1TXPL0009","2010-11","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","14","1,N","14","1,N","1","1,N","","","","","58.4","1,,N,15,","142.0","1,,,N","",""
"US1TXPL0009","2010-12","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","6",",N","5",",N","0",",N","","","","","17.8",",,N,25,","43.2",",,,N","",""
"US1TXPL0009","2011-01","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","13",",N","11",",N","1",",N","","","","","45.7",",,N,24,","110.4",",,,N","",""
"US1TXPL0009","2011-02","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","6",",N","5",",N","0",",N","","","","","15.2",",,N,01,","30.6",",,,N","",""
"US1TXPL0009","2011-03","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","3","1,N","3","1,N","0","1,N","0","4,N","0","4,,N,31,+","7.6","1,,N,04,","12.6","1,,,N","0","4,,,N"
"US1TXPL0009","2011-04","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","4",",N","2",",N","1",",N","0","4,N","0","4,,N,30,+","45.7",",,N,26,","50.8",",,,N","0","4,,,N"
"US1TXPL0009","2011-05","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","3",",N","3",",N","2",",N","0","3,N","0","3,,N,31,+","96.5",",,N,12,","126.9",",,,N","0","3,,,N"
"US1TXPL0009","2011-06","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","4",",N","3",",N","0",",N","0","4,N","0","4,,N,30,+","15.2",",,N,22,","26.6",",,,N","0","4,,,N"
"US1TXPL0009","2011-07","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","8",",N","6",",N","0",",N","","","","","21.6",",,N,03,","72.4",",,,N","",""
"US1TXPL0009","2011-08","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","3",",N","2",",N","1",",N","0","3,N","0","3,,N,31,+","40.6",",,N,25,","47.8",",,,N","0","3,,,N"
"US1TXPL0009","2011-09","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","4",",N","4",",N","0",",N","0","3,N","0","3,,N,30,+","20.3",",,N,04,","43.2",",,,N","0","3,,,N"
"US1TXPL0009","2011-10","30.679886","-94.745568","95.1","LIVINGSTON 11.5 E, TX US","5","3,N","4","3,N","3","3,N","","","","","30.5","3,,N,23,","91.7","3,,,N","",""
