"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXSM0021","2016-10","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","1","2,N","1","2,N","0","2,N","","","","","2.5","2,,N,21,","51.3",",a,,N","",""
"US1TXSM0021","2016-11","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","8",",N","5",",N","1",",N","","","","","53.1",",,N,23,","68.3",",,,N","",""
"US1TXSM0021","2016-12","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","15",",N","6",",N","0",",N","","","","","21.3",",,N,03,","52.0",",,,N","",""
"US1TXSM0021","2017-01","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","10",",N","7",",N","1",",N","","","","","58.4",",,N,16,","137.7",",,,N","",""
"US1TXSM0021","2017-02","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","6",",N","5",",N","0",",N","","","","","24.1",",,N,20,","61.9",",,,N","",""
"US1TXSM0021","2017-04","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","8","2,N","7","2,N","0","2,N","","","","","21.6","2,,N,11,","93.7","2,,,N","",""
"US1TXSM0021","2017-07","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","11",",N","6",",N","1",",N","","","","","36.1",",,N,07,","91.4",",,,N","",""
"US1TXSM0021","2017-09","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","0",",N","0",",N","0",",N","","","","","0.0",",,N,30,+","0.0",",,,N","",""
"US1TXSM0021","2017-10","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","4","1,N","2","1,N","2","1,N","","","","","32.5","1,,N,04,","66.1","1,,,N","",""
"US1TXSM0021","2017-12","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","","","","","","","","","","","","","126.4",",a,,N","",""
"US1TXSM0021","2018-01","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","","","","","","","","","","","","","29.0",",a,,N","",""
"US1TXSM0021","2018-02","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","15",",N","8",",N","5",",N","","","","","83.6",",,N,07,","243.4",",,,N","",""
"US1TXSM0021","2018-03","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","7","3,N","5","3,N","1","3,N","","","","","57.4","3,,N,28,","109.4",",a,,N","",""
"US1TXSM0021","2018-04","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","7","2,N","4","2,N","0","2,N","","","","","15.5","2,,N,22,","42.5","2,,,N","",""
"US1TXSM0021","2018-05","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","","","","","","","","","","","","","24.6",",a,,N","",""
"US1TXSM0021","2018-06","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","6","3,N","3","3,N","0","3,N","","","","","24.9","3,,N,21,","66.9",",a,,N","",""
"US1TXSM0021","2018-07","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","6",",N","3",",N","0",",N","","","","","16.5",",,N,04,","32.9",",,,N","",""
"US1TXSM0021","2018-08","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","4",",N","3",",N","0",",N","","","","","24.1",",,N,11,","44.4",",,,N","",""
"US1TXSM0021","2018-09","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","15","1,N","10","1,N","1","1,N","","","","","31.5","1,,N,23,","123.6","1,,,N","",""
"US1TXSM0021","2018-10","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","11",",N","9",",N","5",",N","","","","","57.7",",,N,14,","269.3",",,,N","",""
"US1TXSM0021","2018-11","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","9",",N","5",",N","3",",N","","","","","46.0",",,N,12,","142.8",",,,N","",""
"US1TXSM0021","2018-12","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","10",",N","7",",N","2",",N","","","","","83.1",",,N,27,","186.3",",,,N","",""
"US1TXSM0021","2019-01","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","8","2,N","3","2,N","0","2,N","","","","","17.0","2,,N,23,","89.2",",a,,N","",""
"US1TXSM0021","2019-02","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","12",",N","6",",N","1",",N","","","","","34.3",",,N,20,","103.3",",,,N","",""
"US1TXSM0021","2019-03","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","8","5,N","3","5,N","0","5,N","","","","","24.4","5,,N,14,","53.8",",a,,N","",""
"US1TXSM0021","2019-04","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","8","1,N","7","1,N","4","1,N","","","","","59.9","1,,N,25,","239.3","1,,,N","",""
"US1TXSM0021","2019-05","32.504568","-95.369473","318.5","LINDALE 2.1 E, TX US","10",",N","8",",N","4",",N","","","","","96.3",",,N,02,","278.1",",,,N","",""
