"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXTT0006","2017-03","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","8","2,N","4","2,N","0","2,N","","","","","24.4","2,,N,25,","49.3","2,,,N","",""
"US1TXTT0006","2017-04","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","10","1,N","8","1,N","1","1,N","","","","","58.4","1,,N,03,","135.4","1,,,N","",""
"US1TXTT0006","2017-07","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","11",",N","8",",N","3",",N","","","","","33.0",",,N,24,+","135.7",",,,N","",""
"US1TXTT0006","2017-08","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","9",",N","9",",N","3",",N","","","","","213.4",",,N,28,","447.5",",,,N","",""
"US1TXTT0006","2017-09","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","2",",N","1",",N","1",",N","","","","","33.0",",,N,22,","34.0",",,,N","",""
"US1TXTT0006","2017-10","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","4","1,N","4","1,N","0","1,N","","","","","21.6","1,,N,22,","35.6","1,,,N","",""
"US1TXTT0006","2017-11","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","3","1,N","2","1,N","1","1,N","","","","","61.0","1,,N,01,","72.7","1,,,N","",""
"US1TXTT0006","2017-12","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","11","3,N","8","3,N","1","3,N","","","","","25.9","3,,N,17,","91.3","3,,,N","",""
"US1TXTT0006","2018-01","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","8","1,N","6","1,N","1","1,N","","","","","30.5","1,,N,12,","90.2","1,,,N","",""
"US1TXTT0006","2018-02","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","15",",N","8",",N","2",",N","","","","","43.2",",,N,26,","150.9",",,,N","",""
"US1TXTT0006","2018-03","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","5","1,N","2","1,N","1","1,N","","","","","188.0","1,,N,29,","202.0","1,,,N","",""
"US1TXTT0006","2018-04","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","5","1,N","4","1,N","1","1,N","","","","","40.6","1,,N,14,","80.7","1,,,N","",""
"US1TXTT0006","2018-05","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","4","1,N","2","1,N","0","1,N","","","","","19.6","1,,N,21,","29.1","1,,,N","",""
"US1TXTT0006","2018-06","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","6","1,N","5","1,N","1","1,N","","","","","61.0","1,,N,21,","93.7","1,,,N","",""
"US1TXTT0006","2018-07","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","7",",N","5",",N","1",",N","","","","","33.0",",,N,06,","64.5",",,,N","",""
"US1TXTT0006","2018-08","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","6","3,N","3","3,N","1","3,N","","","","","53.3","3,,N,01,","69.9","3,,,N","",""
"US1TXTT0006","2018-11","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","13",",N","7",",N","3",",N","","","","","38.1",",,N,01,","148.8",",,,N","",""
"US1TXTT0006","2018-12","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","10",",N","8",",N","2",",N","","","","","144.8",",,N,08,","331.7",",,,N","",""
"US1TXTT0006","2019-01","30.9441465139389","-95.3236739337444","52.7","TRINITY 2.9 E, TX US","11","2,N","6","2,N","2","2,N","","","","","45.7","2,,N,23,","123.5","2,,,N","",""
