"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1TXWM0016","2007-09","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","7",",N","5",",N","1",",N","0",",N","0",",,N,30,+","38.6",",,N,05,","82.0",",,,N","0",",,,N"
"US1TXWM0016","2007-10","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","2",",N","2",",N","0",",N","0",",N","0",",,N,31,+","10.2",",,N,02,","19.9",",,,N","0",",,,N"
"US1TXWM0016","2007-11","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","3","5,N","3","5,N","0","5,N","0","5,N","0","5,,N,30,+","16.8","5,,N,25,","34.6","5,,,N","0","5,,,N"
"US1TXWM0016","2007-12","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","4",",N","2",",N","0",",N","0",",N","0",",,N,31,+","10.2",",,N,15,","21.7",",,,N","0",",,,N"
"US1TXWM0016","2008-01","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","4",",N","4",",N","0",",N","0",",N","0",",,N,31,+","9.7",",,N,09,","24.9",",,,N","0",",,,N"
"US1TXWM0016","2008-02","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","0",",N","0",",N","0",",N","0",",N","0",",,N,29,+","0.0",",,N,29,+","0.0",",,,N","0",",,,N"
"US1TXWM0016","2008-03","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","5",",N","4",",N","1",",N","0",",N","0",",,N,31,+","46.5",",,N,19,","86.9",",,,N","0",",,,N"
"US1TXWM0016","2008-04","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","5","2,N","5","2,N","1","2,N","0","2,N","0","2,,N,30,+","25.9","2,,N,18,","72.1","2,,,N","0","2,,,N"
"US1TXWM0016","2008-05","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","3",",N","3",",N","0",",N","0",",N","0",",,N,31,+","24.9",",,N,15,","58.7",",,,N","0",",,,N"
"US1TXWM0016","2008-06","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","1","1,N","1","1,N","0","1,N","0","1,N","0","1,,N,30,+","17.0","1,,N,30,","17.0","1,,,N","0","1,,,N"
"US1TXWM0016","2008-07","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","2",",N","2",",N","0",",N","0",",N","0",",,N,31,+","18.5",",,N,25,","22.8",",,,N","0",",,,N"
"US1TXWM0016","2008-08","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","5",",N","4",",N","0",",N","0",",N","0",",,N,31,+","19.6",",,N,23,","39.3",",,,N","0",",,,N"
"US1TXWM0016","2008-09","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","2",",N","1",",N","0",",N","0",",N","0",",,N,30,+","4.6",",,N,10,","5.9",",,,N","0",",,,N"
"US1TXWM0016","2008-10","30.4779","-97.8474","303.9","CEDAR PARK 2.7 SSW, TX US","3",",N","3",",N","0",",N","0",",N","0",",,N,31,+","13.2",",,N,15,","32.7",",,,N","0",",,,N"
