"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1VABD0013","2011-05","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","18",",N","10",",N","2",",N","30.2",",,N,13,","142.6",",,,N"
"US1VABD0013","2011-06","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","11",",N","7",",N","3",",N","47.5",",,N,13,","158.9",",,,N"
"US1VABD0013","2011-07","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","8",",N","5",",N","1",",N","51.3",",,N,09,","91.4",",,,N"
"US1VABD0013","2011-09","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","13","2,N","7","2,N","2","2,N","100.1","2,,N,06,","181.7","2,,,N"
"US1VABD0013","2011-11","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","10","3,N","6","3,N","2","3,N","35.6","3,,N,29,","113.2","3,,,N"
"US1VABD0013","2011-12","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","9","3,N","6","3,N","3","3,N","51.8","3,,N,07,","142.5","3,,,N"
"US1VABD0013","2012-02","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","11",",N","5",",N","0",",N","17.5",",,N,20,","52.4",",,,N"
"US1VABD0013","2012-03","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","11","1,N","8","1,N","0","1,N","22.4","1,,N,24,","87.7","1,,,N"
"US1VABD0013","2012-04","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","7","1,N","5","1,N","0","1,N","12.4","1,,N,19,","55.6","1,,,N"
"US1VABD0013","2012-05","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","12","4,N","8","4,N","2","4,N","101.6","4,,N,15,","188.8","4,,,N"
"US1VABD0013","2012-07","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","9","3,N","8","3,N","1","3,N","31.2","3,,N,28,","70.4","3,,,N"
"US1VABD0013","2012-08","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","10","5,N","8","5,N","0","5,N","11.9","5,,N,01,","52.5","5,,,N"
"US1VABD0013","2012-09","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","11","2,N","5","2,N","0","2,N","17.8","2,,N,19,","62.3","2,,,N"
"US1VABD0013","2012-10","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","11","4,N","6","4,N","0","4,N","10.4","4,,N,02,","34.0","4,,,N"
"US1VABD0013","2012-11","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","3","3,N","2","3,N","0","3,N","9.9","3,,N,13,","15.0","3,,,N"
"US1VABD0013","2012-12","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","10","3,N","6","3,N","1","3,N","32.3","3,,N,26,","76.4","3,,,N"
"US1VABD0013","2013-01","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","11","1,N","9","1,N","4","1,N","55.1","1,,N,31,","204.6","1,,,N"
"US1VABD0013","2013-02","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","7","4,N","4","4,N","0","4,N","23.9","4,,N,27,","45.4","4,,,N"
"US1VABD0013","2013-03","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","8","3,N","6","3,N","0","3,N","23.6","3,,N,06,","81.6","3,,,N"
"US1VABD0013","2013-04","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","9","4,N","6","4,N","1","4,N","34.8","4,,N,12,","102.8","4,,,N"
"US1VABD0013","2013-05","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","13","2,N","10","2,N","1","2,N","42.9","2,,N,07,","135.9","2,,,N"
"US1VABD0013","2013-06","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","16","2,N","10","2,N","3","2,N","49.0","2,,N,07,","196.0","2,,,N"
"US1VABD0013","2013-07","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","15",",N","11",",N","2",",N","49.3",",,N,22,","160.9",",,,N"
"US1VABD0013","2013-09","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","5","4,N","1","4,N","1","4,N","44.5","4,,N,01,","47.1","4,,,N"
"US1VABD0013","2013-11","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","9",",N","4",",N","1",",N","56.9",",,N,27,","80.7",",,,N"
"US1VABD0013","2013-12","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","12","1,N","8","1,N","3","1,N","39.4","1,,N,23,","154.5","1,,,N"
"US1VABD0013","2014-02","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","10","3,N","5","3,N","2","3,N","42.9","3,,N,13,","93.9","3,,,N"
"US1VABD0013","2014-03","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","14","1,N","8","1,N","0","1,N","17.3","1,,N,03,","74.5","1,,,N"
"US1VABD0013","2014-04","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","10","5,N","6","5,N","3","5,N","38.4","5,,N,15,","120.8","5,,,N"
"US1VABD0013","2014-05","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","8","4,N","3","4,N","1","4,N","45.5","4,,N,16,","77.4","4,,,N"
"US1VABD0013","2014-06","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","10","3,N","4","3,N","0","3,N","13.7","3,,N,12,","35.4","3,,,N"
"US1VABD0013","2014-10","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","9","5,N","5","5,N","2","5,N","32.8","5,,N,15,","83.0","5,,,N"
"US1VABD0013","2014-12","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","13","5,N","8","5,N","0","5,N","15.7","5,,N,02,","68.5","5,,,N"
"US1VABD0013","2015-03","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","13","4,N","8","4,N","0","4,N","19.8","4,,N,06,","87.2","4,,,N"
"US1VABD0013","2016-08","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","15","2,N","10","2,N","0","2,N","16.5","2,,N,06,","79.5","2,,,N"
"US1VABD0013","2021-10","37.165763","-79.685523","267.9","MONETA 3.9 WSW, VA US","12","1,N","4","1,N","0","1,N","25.1","1,,N,26,","65.9","1,,,N"
