"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1VAFX0047","2010-06","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","7","1,N","5","1,N","0","1,N","15.5","1,,N,15,","38.8","1,,,N"
"US1VAFX0047","2010-07","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","8","2,N","6","2,N","2","2,N","47.0","2,,N,14,","113.3","2,,,N"
"US1VAFX0047","2010-10","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","","","","","","","","","156.2","4,a,,N"
"US1VAFX0047","2011-04","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","","","","","","","","","108.7","3,a,,N"
"US1VAFX0047","2011-05","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","","","","","","","","","114.3","4,a,,N"
"US1VAFX0047","2011-06","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","8","5,N","5","5,N","1","5,N","26.9","5,,N,17,","60.1",",a,,N"
"US1VAFX0047","2011-07","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","9",",N","7",",N","1",",N","31.2",",,N,26,","68.0",",,,N"
"US1VAFX0047","2011-08","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","13",",N","8",",N","1",",N","58.2",",,N,28,","122.1",",,,N"
"US1VAFX0047","2011-09","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","14","1,N","11","1,N","3","1,N","179.8","1,,N,09,","367.8","1,,,N"
"US1VAFX0047","2011-10","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","16",",N","9",",N","0",",N","22.9",",,N,14,","120.8",",,,N"
"US1VAFX0047","2011-11","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","7","2,N","5","2,N","0","2,N","14.7","2,,N,23,","51.7",",a,,N"
"US1VAFX0047","2011-12","38.7956","-77.2564","94.2","BURKE 1.4 NE, VA US","6",",N","5",",N","2",",N","45.2",",,N,08,","108.1",",,,N"
