"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1VTWS0003","2009-05","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","15",",N","11",",N","0",",N","","","","","","","","","21.8",",,N,17,","125.6",",,,N","",""
"US1VTWS0003","2009-06","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","19",",N","8",",N","1",",N","","","","","","","","","27.4",",,N,12,","112.8",",,,N","",""
"US1VTWS0003","2009-07","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","21","1,N","14","1,N","2","1,N","","","","","","","","","36.8","1,,N,04,","185.6","1,,,N","",""
"US1VTWS0003","2009-08","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","15",",N","8",",N","0",",N","","","","","","","","","20.8",",,N,03,","76.1",",,,N","",""
"US1VTWS0003","2009-09","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","11",",N","6",",N","2",",N","","","","","","","","","33.8",",,N,24,","81.6",",,,N","",""
"US1VTWS0003","2009-10","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","21",",N","13",",N","0",",N","","","","","","","","","18.3",",,N,08,","97.4",",,,N","",""
"US1VTWS0003","2009-11","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","11",",N","5",",N","2",",N","","","","","","","","","31.2",",,N,15,","99.8",",,,N","",""
"US1VTWS0003","2009-12","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","21",",N","12",",N","0",",N","26","5,N","7","5,N","292","5,,N,14,","145","5,,N,29,","22.4",",,N,04,","103.7",",,,N","652","5,,,N"
"US1VTWS0003","2010-01","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","15","1,N","4","1,N","1","1,N","30","1,N","7","3,N","254","1,,N,04,+","104","3,,N,03,","25.7","1,,N,26,","49.9","1,,,N","481","3,,,N"
"US1VTWS0003","2010-02","44.397021","-72.71777","236.8","WATERBURY 4.6 NNE, VT US","15",",N","4",",N","1",",N","28",",N","8","1,N","406",",,N,25,","269","1,,N,24,","27.4",",,N,25,","75.9",",,,N","766","1,,,N"
