"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WAIS0045","2019-05","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","8",",N","3",",N","0",",N","","","","","","","","","10.2",",,N,21,","25.6",",,,N","",""
"US1WAIS0045","2019-06","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","8",",N","3",",N","0",",N","","","0",",N","","","0",",,N,30,+","11.2",",,N,06,","26.6",",,,N","0",",,,N"
"US1WAIS0045","2019-07","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","7",",N","4",",N","0",",N","0","4,N","0",",N","0","4,,N,31,+","0",",,N,31,+","4.3",",,N,18,","13.9",",,,N","0",",,,N"
"US1WAIS0045","2019-08","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","6",",N","2",",N","0",",N","","","0",",N","","","0",",,N,31,+","6.9",",,N,22,","17.1",",,,N","0",",,,N"
"US1WAIS0045","2019-09","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","17",",N","11",",N","1",",N","0","2,N","0","2,N","0","2,,N,30,+","0","2,,N,30,+","30.5",",,N,10,","87.3",",,,N","0","2,,,N"
"US1WAIS0045","2019-10","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","16",",N","6",",N","1",",N","0","4,N","0",",N","0","4,,N,31,+","0",",,N,31,+","43.2",",,N,22,","94.2",",,,N","0",",,,N"
"US1WAIS0045","2019-11","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","14",",N","6",",N","0",",N","","","0",",N","","","0",",,N,30,+","13.5",",,N,17,","53.8",",,,N","0",",,,N"
"US1WAIS0045","2019-12","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","20",",N","8",",N","0",",N","0","3,N","0",",N","0","3,,N,31,+","0",",,N,31,+","17.8",",,N,21,","61.1",",,,N","0",",,,N"
"US1WAIS0045","2020-01","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","28",",N","16",",N","0",",N","3",",N","3",",N","114",",,N,15,","89",",,N,15,","12.2",",,N,01,","125.5",",,,N","177",",,,N"
"US1WAIS0045","2020-02","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","23",",N","11",",N","1",",N","0",",N","0",",N","0",",,N,29,+","0",",T,N,05,+","51.6",",,N,06,","146.5",",,,N","0",",T,,N"
"US1WAIS0045","2020-03","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","17",",N","6",",N","0",",N","","","0",",N","","","0",",,N,31,+","19.6",",,N,03,","56.3",",,,N","0",",,,N"
"US1WAIS0045","2020-04","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","11",",N","1",",N","0",",N","","","0",",N","","","0",",,N,30,+","20.1",",,N,23,","29.9",",,,N","0",",,,N"
"US1WAIS0045","2020-05","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","12",",N","7",",N","0",",N","","","0",",N","","","0",",,N,31,+","22.4",",,N,31,","71.7",",,,N","0",",,,N"
"US1WAIS0045","2020-06","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","17",",N","7",",N","0",",N","","","0","1,N","","","0","1,,N,30,+","20.3",",,N,13,","69.3",",,,N","0","1,,,N"
"US1WAIS0045","2020-07","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","7",",N","3",",N","0",",N","","","0",",N","","","0",",,N,31,+","5.6",",,N,02,","17.3",",,,N","0",",,,N"
"US1WAIS0045","2020-08","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","6",",N","3",",N","0",",N","","","0",",N","","","0",",,N,31,+","3.3",",,N,31,+","15.3",",,,N","0",",,,N"
"US1WAIS0045","2020-09","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","8",",N","2",",N","0",",N","","","0",",N","","","0",",,N,30,+","8.1",",,N,26,+","21.6",",,,N","0",",,,N"
"US1WAIS0045","2020-10","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","14",",N","9",",N","0",",N","","","0",",N","","","0",",,N,31,+","21.1",",,N,18,","79.6",",,,N","0",",,,N"
"US1WAIS0045","2020-11","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","20",",N","11",",N","0",",N","","","0",",N","","","0",",,N,30,+","14.0",",,N,17,","66.3",",,,N","0",",,,N"
"US1WAIS0045","2020-12","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","20",",N","11",",N","0",",N","","","0",",N","","","0",",,N,31,+","23.6",",,N,22,","94.2",",,,N","0",",,,N"
"US1WAIS0045","2021-01","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","16",",N","9",",N","0",",N","","","0","1,N","","","0","1,,N,31,+","24.6",",,N,05,","80.1",",,,N","0","1,,,N"
"US1WAIS0045","2021-02","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","23",",N","12",",N","1",",N","4","3,N","2",",N","241","3,,N,14,","191",",,N,13,","27.7",",,N,01,","143.8",",,,N","283",",,,N"
"US1WAIS0045","2021-03","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","13",",N","5",",N","0",",N","","","0",",N","","","0",",,N,31,+","7.6",",,N,25,","31.5",",,,N","0",",,,N"
"US1WAIS0045","2021-04","48.292615","-122.520825","13.4","OAK HARBOR 4.7 E, WA US","7",",N","4",",N","0",",N","","","0",",N","","","0",",,N,30,+","10.7",",,N,25,","30.8",",,,N","0",",,,N"
