"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WAJF0029","2015-11","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","13","1,N","9","1,N","1","1,N","","","","","28.2","1,,N,15,","95.1","1,,,N","",""
"US1WAJF0029","2015-12","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","24","1,N","14","1,N","1","1,N","","","","","26.2","1,,N,09,","123.3","1,,,N","",""
"US1WAJF0029","2016-01","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","16",",N","8",",N","0",",N","","","","","7.9",",,N,22,","49.7",",,,N","",""
"US1WAJF0029","2016-02","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","19",",N","5",",N","0",",N","","","","","15.0",",,N,16,","59.3",",,,N","",""
"US1WAJF0029","2016-03","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","19","1,N","9","1,N","0","1,N","","","","","25.1","1,,N,10,","77.5","1,,,N","",""
"US1WAJF0029","2016-04","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","9","1,N","5","1,N","0","1,N","","","","","10.4","1,,N,24,","33.6","1,,,N","",""
"US1WAJF0029","2016-05","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","8","1,N","3","1,N","0","1,N","","","","","4.6","1,,N,15,","16.5","1,,,N","",""
"US1WAJF0029","2016-06","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","13",",N","4",",N","0",",N","","","","","22.4",",,N,24,","54.9",",,,N","",""
"US1WAJF0029","2016-07","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","3","4,N","2","4,N","0","4,N","","","","","5.3","4,,N,22,","8.4","4,,,N","",""
"US1WAJF0029","2016-08","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","2","3,N","0","3,N","0","3,N","0","5,N","0","5,,N,31,+","0.8","3,,N,29,","1.1","3,,,N","0","5,,,N"
"US1WAJF0029","2016-09","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","10","3,N","4","3,N","0","3,N","","","","","5.6","3,,N,03,","20.6","3,,,N","",""
"US1WAJF0029","2016-10","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","21","3,N","7","3,N","0","3,N","","","","","14.0","3,,N,16,","77.7","3,,,N","",""
"US1WAJF0029","2016-11","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","21","2,N","14","2,N","0","2,N","","","","","18.3","2,,N,27,","81.2","2,,,N","",""
"US1WAJF0029","2016-12","48.1354956328869","-122.800800427794","28.3","PORT TOWNSEND 1.4 NW, WA US","20",",N","6",",N","0",",N","","","","","11.9",",,N,23,","45.1",",,,N","",""
