"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WAPR0033","2008-09","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","5",",N","1",",N","0",",N","","","0",",N","","","0",",,N,30,+","2.5",",,N,21,","5.8",",,,N","0",",,,N"
"US1WAPR0033","2008-10","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","14",",N","9",",N","0",",N","","","0",",N","","","0",",,N,31,+","16.8",",,N,04,","61.9",",,,N","0",",,,N"
"US1WAPR0033","2008-11","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","16",",N","13",",N","2",",N","","","0",",N","","","0",",,N,30,+","81.5",",,N,07,","211.6",",,,N","0",",,,N"
"US1WAPR0033","2008-12","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","21","1,N","11","1,N","0","1,N","","","4","1,N","","","97","1,,N,21,","16.8","1,,N,21,","94.6","1,,,N","304","1,,,N"
"US1WAPR0033","2009-01","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","12","1,N","7","1,N","2","1,N","","","1","1,N","","","38","1,,N,05,","66.3","1,,N,07,","174.4","1,,,N","46","1,,,N"
"US1WAPR0033","2009-02","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","10",",N","4",",N","0",",N","0",",N","0",",N","8",",,N,26,","18",",,N,11,","10.9",",,N,25,","38.6",",,,N","26",",,,N"
"US1WAPR0033","2009-03","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","22","3,N","11","3,N","0","3,N","","","0","3,N","","","0","3,T,N,15,","22.6","3,,N,29,","128.7",",a,,N","0","3,T,,N"
"US1WAPR0033","2009-04","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","14",",N","7",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","14.5",",,N,29,","72.5",",,,N","0",",,,N"
"US1WAPR0033","2009-05","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","14",",N","8",",N","0",",N","","","","","","","","","17.0",",,N,07,","86.5",",,,N","",""
"US1WAPR0033","2009-06","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","3",",N","1",",N","0",",N","","","0","4,N","","","0","4,,N,30,+","4.6",",,N,22,","7.4",",,,N","0","4,,,N"
"US1WAPR0033","2009-07","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","1","5,N","1","5,N","0","5,N","","","","","","","","","5.1","5,,N,13,","5.1","5,,,N","",""
"US1WAPR0033","2009-08","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","8",",N","5",",N","0",",N","","","","","","","","","6.4",",,N,12,+","26.5",",,,N","",""
"US1WAPR0033","2009-09","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","11",",N","5",",N","0",",N","","","","","","","","","25.1",",,N,07,","48.5",",,,N","",""
"US1WAPR0033","2009-10","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","16",",N","11",",N","0",",N","","","","","","","","","17.5",",,N,18,+","102.6",",,,N","",""
"US1WAPR0033","2009-11","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","22",",N","16",",N","2",",N","","","","","","","","","33.5",",,N,07,","216.2",",,,N","",""
"US1WAPR0033","2010-01","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","20",",N","17",",N","0",",N","","","","","","","","","23.1",",,N,09,","174.6",",,,N","",""
"US1WAPR0033","2010-02","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","16",",N","14",",N","0",",N","","","","","","","","","14.5",",,N,13,","104.0",",,,N","",""
"US1WAPR0033","2010-04","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","19",",N","10",",N","0",",N","","","","","","","","","24.1",",,N,03,","92.7",",,,N","",""
"US1WAPR0033","2010-06","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","15",",N","9",",N","0",",N","","","","","","","","","14.5",",,N,02,","67.2",",,,N","",""
"US1WAPR0033","2010-07","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","3",",N","1",",N","0",",N","","","0","3,N","","","0","3,,N,31,+","10.4",",,N,02,","12.7",",,,N","0","3,,,N"
"US1WAPR0033","2010-08","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","2",",N","1",",N","0",",N","","","0","5,N","","","0","5,,N,31,+","4.6",",,N,08,","5.9",",,,N","0","5,,,N"
"US1WAPR0033","2010-09","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","13","5,N","10","5,N","1","5,N","","","","","","","","","44.5","5,,N,18,","127.7",",a,,N","",""
"US1WAPR0033","2010-10","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","10","5,N","6","5,N","2","5,N","","","","","","","","","33.5","5,,N,25,","110.7","5,,,N","",""
"US1WAPR0033","2010-11","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","22","1,N","13","1,N","1","1,N","","","","","","","","","27.7","1,,N,02,","119.1","1,,,N","",""
"US1WAPR0033","2010-12","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","20","3,N","13","3,N","1","3,N","","","","","","","","","35.6","3,,N,12,","176.5","1,a,,N","",""
"US1WAPR0033","2011-01","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","17","2,N","11","2,N","2","2,N","","","","","","","","","35.3","2,,N,16,","142.1",",a,,N","",""
"US1WAPR0033","2011-02","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","14","3,N","6","3,N","0","3,N","","","","","","","","","17.5","3,,N,13,","66.9","3,,,N","",""
"US1WAPR0033","2011-03","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","27","2,N","17","2,N","1","2,N","","","","","","","","","39.6","2,,N,10,","168.7","2,,,N","",""
"US1WAPR0033","2011-04","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","21",",N","11",",N","0",",N","","","","","","","","","22.9",",,N,02,","112.3",",,,N","",""
"US1WAPR0033","2011-05","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","15",",N","7",",N","1",",N","","","","","","","","","39.9",",,N,15,","94.5",",,,N","",""
"US1WAPR0033","2011-06","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","13",",N","1",",N","0",",N","","","","","","","","","4.6",",,N,18,","17.0",",,,N","",""
"US1WAPR0033","2011-07","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","8","3,N","2","3,N","0","3,N","","","","","","","","","7.4","3,,N,13,","31.5",",a,,N","",""
"US1WAPR0033","2011-08","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","1",",N","1",",N","0",",N","","","0","2,N","","","0","2,,N,31,+","8.1",",,N,23,","8.1",",,,N","0","2,,,N"
"US1WAPR0033","2011-09","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","6",",N","4",",N","0",",N","","","","","","","","","11.4",",,N,18,","25.4",",,,N","",""
"US1WAPR0033","2011-11","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","18",",N","11",",N","1",",N","","","","","","","","","61.5",",,N,23,","170.1",",,,N","",""
"US1WAPR0033","2011-12","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","13",",N","5",",N","0",",N","","","","","","","","","20.8",",,N,30,","73.5",",,,N","",""
"US1WAPR0033","2012-01","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","23",",N","17",",N","0",",N","","","","","","","","","24.1",",,N,25,","183.5",",,,N","",""
"US1WAPR0033","2012-02","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","18",",N","15",",N","0",",N","","","","","","","","","21.1",",,N,18,","92.8",",,,N","",""
"US1WAPR0033","2012-03","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","22",",N","16",",N","1",",N","","","","","","","","","38.9",",,N,30,","183.9",",,,N","",""
"US1WAPR0033","2012-04","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","","","","","","","","","","","","","","","","","83.7","2,a,,N","",""
"US1WAPR0033","2012-05","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","","","","","","","","","","","","","","","","","39.3","4,a,,N","",""
"US1WAPR0033","2012-06","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","17",",N","8",",N","0",",N","","","","","","","","","9.4",",,N,24,","60.6",",,,N","",""
"US1WAPR0033","2012-07","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","7",",N","3",",N","0",",N","","","","","","","","","7.4",",,N,21,","22.4",",,,N","",""
"US1WAPR0033","2012-08","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","0",",N","0",",N","0",",N","","","0",",N","","","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1WAPR0033","2012-09","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","1",",N","0",",N","0",",N","","","0","1,N","","","0","1,,N,30,+","0.3",",,N,10,","0.3",",,,N","0","1,,,N"
"US1WAPR0033","2012-11","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","20",",N","15",",N","2",",N","","","","","","","","","31.5",",,N,20,","180.7",",,,N","",""
"US1WAPR0033","2012-12","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","26",",N","18",",N","2",",N","","","","","","","","","40.6",",,N,01,","229.8",",,,N","",""
"US1WAPR0033","2013-01","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","16",",N","8",",N","1",",N","","","","","","","","","34.8",",,N,09,","71.3",",,,N","",""
"US1WAPR0033","2013-02","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","14","2,N","5","2,N","0","2,N","","","","","","","","","15.2","2,,N,23,","46.7",",a,,N","",""
"US1WAPR0033","2013-03","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","18",",N","10",",N","0",",N","","","","","","","","","21.6",",,N,07,","95.1",",,,N","",""
"US1WAPR0033","2013-04","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","12",",N","10",",N","1",",N","","","","","","","","","27.4",",,N,07,","98.5",",,,N","",""
"US1WAPR0033","2013-05","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","14","4,N","8","4,N","0","4,N","","","","","","","","","14.0","4,,N,21,","84.9",",a,,N","",""
"US1WAPR0033","2013-06","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","9",",N","6",",N","0",",N","","","","","","","","","14.7",",,N,24,","39.4",",,,N","",""
"US1WAPR0033","2013-07","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","0",",N","0",",N","0",",N","","","0",",N","","","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1WAPR0033","2013-08","47.173931","-122.597814","18.9","STEILACOOM 0.4 NW, WA US","8",",N","3",",N","0",",N","","","","","","","","","20.8",",,N,30,","38.0",",,,N","",""
