"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WASM0007","2019-10","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","","","","","","","","","","","","","68.0","4,a,,N","",""
"US1WASM0007","2019-11","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","9","1,N","2","1,N","0","1,N","","","","","8.9","1,,N,19,","19.4","1,,,N","",""
"US1WASM0007","2019-12","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","15","5,N","9","5,N","0","5,N","","","","","22.1","5,,N,20,+","105.8","1,a,,N","",""
"US1WASM0007","2020-01","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","31",",N","26",",N","4",",N","","","","","32.0",",,N,13,","308.9",",,,N","",""
"US1WASM0007","2020-02","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","14",",N","13",",N","0",",N","","","","","20.6",",,N,24,","104.9",",,,N","",""
"US1WASM0007","2020-03","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","10",",N","5",",N","1",",N","","","","","30.5",",,N,31,","65.0",",,,N","",""
"US1WASM0007","2020-04","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","10",",N","3",",N","0",",N","","","","","10.2",",,N,01,","28.2",",,,N","",""
"US1WASM0007","2020-05","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","17",",N","5",",N","0",",N","","","","","13.2",",,N,03,","42.9",",,,N","",""
"US1WASM0007","2020-06","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","9",",N","7",",N","0",",N","","","","","9.9",",,N,12,","39.3",",,,N","",""
"US1WASM0007","2020-07","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","0",",N","0",",N","0",",N","0","1,N","0","1,,N,31,+","0.0",",T,N,02,","0.0",",T,,N","0","1,,,N"
"US1WASM0007","2020-08","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1WASM0007","2020-09","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","3","2,N","1","2,N","0","2,N","","","","","6.6","2,,N,24,","20.8",",a,,N","",""
"US1WASM0007","2020-10","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","11",",N","6",",N","1",",N","","","","","30.5",",,N,11,","97.0",",,,N","",""
"US1WASM0007","2020-11","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","21",",N","16",",N","0",",N","","","","","25.1",",,N,19,","186.0",",,,N","",""
"US1WASM0007","2020-12","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","","","","","","","","","","","","","169.2","1,a,,N","",""
"US1WASM0007","2021-01","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","25",",N","12",",N","2",",N","","","","","45.7",",,N,13,","162.6",",,,N","",""
"US1WASM0007","2021-02","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","23",",N","16",",N","0",",N","","","","","21.3",",,N,26,","165.1",",,,N","",""
"US1WASM0007","2021-04","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","6","2,N","1","2,N","0","2,N","","","","","3.6","2,,N,08,","7.8","2,,,N","",""
"US1WASM0007","2021-05","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","8",",N","5",",N","0",",N","","","","","5.1",",,N,07,","19.6",",,,N","",""
"US1WASM0007","2021-06","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","7",",N","4",",N","0",",N","","","","","15.2",",,N,14,","29.2",",,,N","",""
"US1WASM0007","2021-07","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1WASM0007","2021-08","45.7364","-121.5305","151.2","UNDERWOOD 0.5 NNW, WA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
