"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WASN0038","2008-11","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","18","2,N","13","2,N","1","2,N","0","2,N","0","2,,N,30,+","26.2","2,,N,07,","125.0","2,,,N","0","2,,,N"
"US1WASN0038","2009-02","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","12","2,N","7","2,N","0","2,N","","","","","10.2","2,,N,24,","41.0","2,,,N","",""
"US1WASN0038","2009-04","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","18","2,N","6","2,N","0","2,N","","","","","23.6","2,,N,03,","69.9","2,,,N","",""
"US1WASN0038","2009-05","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","10","2,N","7","2,N","1","2,N","","","","","25.4","2,,N,05,","84.4","2,,,N","",""
"US1WASN0038","2010-01","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","","","","","","","","","","","","","149.0","4,a,,N","",""
"US1WASN0038","2010-03","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","","","","","","","","","","","","","94.4","2,a,,N","",""
"US1WASN0038","2010-04","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","","","","","","","","","","","","","68.7","2,a,,N","",""
"US1WASN0038","2010-05","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","","","","","","","","","","","","","58.4",",a,,N","",""
"US1WASN0038","2010-06","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","12","4,N","7","4,N","0","4,N","","","","","11.2","4,,N,09,","62.6","1,a,,N","",""
"US1WASN0038","2010-10","47.808963","-122.346579","121.3","EDMONDS 1.5 SE, WA US","13","5,N","8","5,N","1","5,N","","","","","27.2","5,,N,24,","80.7","5,,,N","",""
