"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WAWC0029","2009-06","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","4",",N","2",",N","0",",N","","","","","14.7",",,N,25,","19.5",",,,N","",""
"US1WAWC0029","2009-09","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","13","3,N","7","3,N","0","3,N","","","","","11.7","3,,N,19,","52.9",",a,,N","",""
"US1WAWC0029","2009-10","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","15",",N","13",",N","2",",N","","","","","33.8",",,N,17,","158.0",",,,N","",""
"US1WAWC0029","2009-11","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","25",",N","20",",N","3",",N","","","","","36.1",",,N,26,","219.2",",,,N","",""
"US1WAWC0029","2009-12","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","12","1,N","10","1,N","0","1,N","","","","","12.7","1,,N,17,","62.7","1,,,N","",""
"US1WAWC0029","2010-01","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","20","1,N","16","1,N","1","1,N","","","","","26.4","1,,N,02,","155.3","1,,,N","",""
"US1WAWC0029","2010-02","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","19",",N","9",",N","0",",N","","","","","16.8",",,N,16,","92.4",",,,N","",""
"US1WAWC0029","2010-03","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","18",",N","11",",N","1",",N","","","","","32.8",",,N,26,","123.7",",,,N","",""
"US1WAWC0029","2010-05","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","17",",N","9",",N","0",",N","","","","","20.1",",,N,28,","96.8",",,,N","",""
"US1WAWC0029","2010-06","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","14","2,N","7","2,N","0","2,N","","","","","10.4","2,,N,09,","67.3","2,,,N","",""
"US1WAWC0029","2010-07","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","2","5,N","0","5,N","0","5,N","","","","","0.3","5,,N,03,+","0.6","5,,,N","",""
"US1WAWC0029","2010-08","48.962273","-122.654498","25.9","CUSTER 3.0 NNW, WA US","6","4,N","1","4,N","0","4,N","","","","","8.4","4,,N,08,","11.3","4,,,N","",""
