"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIGN0005","2015-04","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","9","1,N","6","1,N","0","1,N","0","1,N","0","1,N","0","1,,N,30,+","0","1,T,N,23,+","12.7","1,,N,20,","48.1","1,,,N","0","1,T,,N"
"US1WIGN0005","2015-05","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","19",",N","7",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","22.9",",,N,25,","87.4",",,,N","0",",,,N"
"US1WIGN0005","2015-06","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","12",",N","10",",N","1",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","49.5",",,N,12,","139.4",",,,N","0",",,,N"
"US1WIGN0005","2015-07","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","9",",N","4",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","40.9",",,N,19,","93.3",",,,N","0",",,,N"
"US1WIGN0005","2015-08","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","8","3,N","2","3,N","2","3,N","","","0","3,N","","","0","3,,N,31,+","46.0","3,,N,29,","78.9",",a,,N","0","3,,,N"
"US1WIGN0005","2015-09","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","11",",N","9",",N","1",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","74.9",",,N,18,","151.2",",,,N","0",",,,N"
"US1WIGN0005","2015-10","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","8",",N","3",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","40.4",",,N,28,","58.5",",,,N","0",",,,N"
"US1WIGN0005","2015-11","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","8","3,N","7","3,N","1","3,N","","","1","3,N","","","307","3,,N,21,","46.0","3,,N,18,","145.4",",a,,N","307","3,,,N"
"US1WIGN0005","2015-12","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","13",",N","6",",N","2",",N","3",",N","1",",N","102",",,N,31,+","102",",,N,29,","42.4",",,N,14,","114.2",",,,N","120",",,,N"
"US1WIGN0005","2016-01","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","6",",N","2",",N","0",",N","29","2,N","2",",N","102","2,,N,28,+","36",",,N,26,","4.6",",,N,09,","11.6",",,,N","80",",,,N"
"US1WIGN0005","2016-02","42.7199","-89.5636","269.7","MONTICELLO 2.2 SE, WI US","9",",N","3",",N","0",",N","16","4,N","1",",N","140","4,,N,18,+","86",",,N,15,","5.6",",,N,03,","15.4",",,,N","122",",,,N"
