"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WILC0022","2020-07","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","14",",N","4",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","29.5",",,N,10,","82.4",",,,N","0",",,,N"
"US1WILC0022","2020-08","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","8",",N","5",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","21.1",",,N,28,","65.0",",,,N","0",",,,N"
"US1WILC0022","2020-09","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","12",",N","7",",N","1",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","46.2",",,N,01,","110.8",",,,N","0",",,,N"
"US1WILC0022","2020-10","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","11",",N","7",",N","0",",N","2",",N","1",",N","51",",,N,26,","64",",,N,26,","14.2",",,N,23,","50.5",",,,N","72",",,,N"
"US1WILC0022","2020-11","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","7",",N","3",",N","1",",N","0",",N","1",",N","0",",T,N,25,","36",",,N,25,","38.6",",,N,10,","69.1",",,,N","46",",,,N"
"US1WILC0022","2020-12","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","3",",N","1",",N","0",",N","7",",N","3",",N","76",",,N,31,+","51",",,N,30,","4.1",",,N,30,","8.4",",,,N","112",",,,N"
"US1WILC0022","2021-01","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","7",",N","3",",N","0",",N","31",",N","4",",N","127",",,N,31,","71",",,N,24,","6.6",",,N,15,","20.4",",,,N","211",",,,N"
"US1WILC0022","2021-02","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","6",",N","2",",N","0",",N","28",",N","2",",N","254",",,N,23,+","132",",,N,05,","10.7",",,N,05,","15.6",",,,N","219",",,,N"
"US1WILC0022","2021-03","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","8",",N","6",",N","0",",N","7",",N","1",",N","51",",,N,17,+","81",",,N,16,","8.4",",,N,28,","38.9",",,,N","86",",,,N"
"US1WILC0022","2021-04","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","9",",N","3",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",T,N,20,+","13.2",",,N,09,","35.4",",,,N","0",",T,,N"
"US1WILC0022","2021-05","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","11",",N","6",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","41.1",",,N,03,","108.1",",,,N","0",",,,N"
"US1WILC0022","2021-06","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","10",",N","7",",N","3",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","71.4",",,N,27,","182.5",",,,N","0",",,,N"
"US1WILC0022","2021-07","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","9",",N","5",",N","3",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","44.5",",,N,28,","125.8",",,,N","0",",,,N"
"US1WILC0022","2021-08","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","12",",N","8",",N","5",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","92.2",",,N,08,","240.7",",,,N","0",",,,N"
"US1WILC0022","2021-09","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","6",",N","5",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","19.1",",,N,21,","43.0",",,,N","0",",,,N"
"US1WILC0022","2021-10","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","11",",N","4",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","10.7",",,N,29,","33.7",",,,N","0",",,,N"
"US1WILC0022","2021-11","43.9344","-91.2449","215.2","HOLMEN 1.7 SSE, WI US","1","4,N","1","4,N","1","4,N","0","4,N","0","4,N","0","4,,N,30,+","0","4,T,N,26,+","31.2","4,,N,11,","31.2","4,,,N","0","4,T,,N"
