"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WISB0017","2017-04","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","13","4,N","9","4,N","2","4,N","","","","","","","","","30.7","4,,N,15,","118.8","4,,,N","",""
"US1WISB0017","2017-05","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","10",",N","8",",N","0",",N","","","","","","","","","18.0",",,N,24,","80.8",",,,N","",""
"US1WISB0017","2017-06","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","16","3,N","8","3,N","1","3,N","","","","","","","","","29.2","3,,N,04,","130.9",",a,,N","",""
"US1WISB0017","2017-07","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","15",",N","10",",N","0",",N","","","","","","","","","14.7",",,N,27,","73.9",",,,N","",""
"US1WISB0017","2017-10","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","14",",N","6",",N","1",",N","","","","","","","","","26.9",",,N,15,","84.3",",,,N","",""
"US1WISB0017","2017-11","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","9",",N","3",",N","0",",N","","","","","","","","","11.4",",,N,18,","27.7",",,,N","",""
"US1WISB0017","2018-01","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","9",",N","5",",N","0",",N","17",",N","2","3,N","234",",,N,16,","203","3,,N,16,","15.5",",,N,23,","36.5",",,,N","260","3,,,N"
"US1WISB0017","2018-02","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","11",",N","4",",N","0",",N","17",",N","2",",N","132",",,N,11,","104",",,N,04,","11.4",",,N,04,","40.2",",,,N","183",",,,N"
"US1WISB0017","2018-03","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","5",",N","2",",N","0",",N","16","4,N","2",",N","122","4,,N,07,","94",",,N,06,","10.9",",,N,27,","22.3",",,,N","173",",,,N"
"US1WISB0017","2018-04","43.842981","-87.81936","215.2","HOWARDS GROVE 1.0 NNE, WI US","11","1,N","6","1,N","0","1,N","","","4","4,N","","","140","4,,N,04,","20.6","1,,N,15,","68.4","1,,,N","335","4,,,N"
